Raman shift cm-1,4ATP_1uM_rep1_acc1_processed_intensity
568.597293,17740.272310926495
573.3568844,17711.82048495218
578.1092263,17490.972097985796
582.8543308,17327.08147308506
587.5922101,17166.794198435175
592.322876,16697.605512985498
597.0463405,16637.05174859619
601.7626157,16489.60150776826
606.4717135,16065.048130895568
611.1736458,15664.899899720513
615.8684246,15451.710764010075
620.5560617,15364.977259269133
625.2365691,15167.84512852229
629.9099585,14718.126381294649
634.5762419,14206.123500142709
639.2354312,14182.837824619608
643.887538,13626.2400144775
648.5325743,13021.548983886087
653.1705518,12956.79294154475
657.8014823,12455.99451353508
662.4253775,12010.840687250668
667.0422493,11785.812598984892
671.6521092,11593.195602094038
676.2549691,11263.864237459073
680.8508407,10910.21383094763
685.4397355,10844.366141937779
690.0216654,10829.097613278267
694.5966419,10825.815240592983
699.1646767,11381.155997389771
703.7257814,12133.034828978907
708.2799676,12982.868614500952
712.827247,13956.45748541662
717.367631,13253.98976865509
721.9011314,11310.918328152024
726.4277595,9658.246358686207
730.9475271,8613.100319368597
735.4604456,7977.415335007701
739.9665264,7606.771892490074
744.4657813,7475.308186652809
748.9582215,6975.082760944788
753.4438587,6544.824347962423
757.9227042,6185.813456676123
762.3947696,5724.695769947275
766.8600662,5421.2445958999015
771.3186056,5123.2052653230185
775.770399,4911.953808220263
780.215458,4511.398839153109
784.6537939,4423.547158124711
789.0854181,4671.463163057946
793.510342,4347.492538668232
797.9285769,4266.3360091489285
802.3401342,4345.607205883909
806.7450253,3741.607689022243
811.1432614,3179.0492933056594
815.5348538,2879.272310136839
819.9198139,2542.7819092532245
824.2981531,2155.6976031433132
828.6698824,1609.1306929435323
833.0350133,953.9004195410726
837.393557,627.5380168960182
841.7455248,405.03657874642704
846.0909278,264.66207486741587
850.4297774,263.7862241575931
854.7620848,14.515244687374434
859.0878611,-3.0125148620481923
863.4071176,11.740660072035098
867.7198655,123.63257232810065
872.026116,244.7557853251692
876.3258802,111.91153183482493
880.6191693,329.45048894993124
884.9059946,239.33485514482618
889.186367,-26.89474307376622
893.4602979,-28.129919694259115
897.7277982,43.940026290473725
901.9888793,390.1715526779826
906.2435521,639.4036762103051
910.4918277,1003.9294384538025
914.7337174,1461.508224487673
918.9692321,1668.8691588530091
923.1983831,1687.596710879413
927.4211813,1329.680448404084
931.6376378,1224.4330522347336
935.8477637,1280.3147863154863
940.0515701,1259.5879088636248
944.249068,1499.2283454481885
948.4402684,1302.7796039088562
952.6251825,1242.4274803354374
956.8038212,1561.515204094444
960.9761955,1483.062757205129
965.1423166,1509.8720121696788
969.3021953,1483.9763660235012
973.4558427,1325.3421319479512
977.6032699,1237.2890918921184
981.7444877,1094.1098327881527
985.8795072,1202.3335838547173
990.0083394,1019.8472155426643
994.1309953,975.3157614715028
998.2474857,1891.6067455632256
1002.357822,2939.2675166861045
1006.462014,3373.4355528127335
1010.560075,2186.4592871320037
1014.652013,529.6769248620967
1018.737841,108.76075879216569
1022.81757,-2.974088865138583
1026.891209,147.9890915509568
1030.958771,228.1462114947044
1035.020266,352.8870232053723
1039.075705,585.8947673449566
1043.1251,860.6638850452746
1047.16846,1627.767777058919
1051.205797,2881.905658356397
1055.237121,6282.7578673351
1059.262444,12079.548491403373
1063.281777,21946.440238654883
1067.295131,31562.93528376007
1071.302515,34633.32595459985
1075.303942,33306.31798154959
1079.299422,25976.489891564743
1083.288966,15771.126547777569
1087.272585,8177.500789184904
1091.250289,3940.7084907975723
1095.222091,2651.303611771337
1099.187999,1780.453929467436
1103.148026,2078.376547213652
1107.102183,2389.1177740752505
1111.050479,3024.3278976466954
1114.992927,4814.323391355099
1118.929536,7730.637883251622
1122.860318,12521.333582821493
1126.785283,20568.972670567673
1130.704443,31439.55276781806
1134.617808,35163.79104727245
1138.52539,35540.44964760202
1142.427198,34965.08017211162
1146.323244,24795.84080363693
1150.213538,14627.063109050456
1154.098093,9517.508563002939
1157.976917,6098.822595779065
1161.850023,4692.551780837715
1165.717421,3581.221002150528
1169.579121,3249.8914237587614
1173.435135,3613.933184475858
1177.285474,4177.575033345673
1181.130148,5305.455394275533
1184.969169,6359.8450727563595
1188.802547,6925.234186063596
1192.630292,6241.628784049485
1196.452416,4356.364967013771
1200.26893,2630.7253928545465
1204.079844,1300.729850901978
1207.88517,686.995878828112
1211.684917,343.6860079392163
1215.479098,-2.2813017658966146
