record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,raman_shift_cm-1,intensity_mean,intensity_sd,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,530.87880172461689,329.86871189436835,190.66591735862397,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,534.58218172275406,413.94026249108282,124.29332989181147,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,538.28556172089134,513.49445913402246,254.70508821704021,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,541.98894171902862,470.70682160171691,359.21330746081645,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,545.69232171716578,384.21606369486938,242.75300563213747,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,549.39570171530295,195.2571336942043,217.1509352870745,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,553.09908171344023,60.764557871652961,30.287322251483769,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,556.80246171157751,3.563713036558954,120.24339380047708,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,560.50584170971467,128.03782127636379,155.73946467450654,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,564.20922170785195,192.93770019271912,104.93366483367889,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,567.91260170598912,138.71375281467118,165.11735316775628,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,571.6159817041264,62.002416921893506,137.12742682150332,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,575.31936170226368,95.35073433510847,162.68405406409815,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,579.02274170040084,197.49014194440537,161.72741499643539,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,582.72612169853812,332.51267195444962,366.44044679393693,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,586.42950169667529,347.42689409039281,391.57932299003221,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,590.13288169481257,346.05503240114274,275.48272207764171,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,593.83626169294985,382.27161456816032,250.57657175726843,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,597.53964169108701,374.58171502507065,279.8873727785292,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,601.24302168922418,479.35074639687025,441.74632402470542,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,604.94640168736146,497.83412271064151,378.54784014893926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,608.64978168549874,529.93961834511879,307.60544133312595,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,612.35316168363602,514.68400454510834,240.80610824899017,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,616.05654168177318,495.36371474812967,258.13681097080104,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,619.75992167991035,567.19871051128689,350.66535311584391,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,623.46330167804763,704.25986838587448,444.64244959457636,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,627.16668167618491,876.66328432697014,609.15468674581621,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,630.87006167432219,958.98952122150945,789.9892373730421,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,634.57344167245935,1048.8048664006642,813.15820033420823,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,638.27682167059652,1160.4590079565496,679.36982629564591,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,641.9802016687338,1138.3254930738037,512.4975686409897,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,645.68358166687108,985.75164963207521,303.45787377949665,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,649.38696166500836,885.25750735422173,231.27143538345979,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,653.09034166314552,824.09504712619457,312.55906902814064,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,656.79372166128269,724.90365516459383,413.10709452678879,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,660.49710165941997,661.59721962041181,571.1238809241371,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,664.20048165755725,673.14930661291123,655.36943724527737,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,667.90386165569441,670.7469451656649,676.8608920945212,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,671.60724165383169,667.70105919988805,750.26727026398623,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,675.31062165196886,734.59716267041165,744.24325510356209,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,679.01400165010614,810.7099302855089,728.3343234286325,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,682.71738164824342,943.21956644141721,742.37590463428012,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,686.42076164638058,1063.0217265698125,731.30081655076094,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,690.12414164451775,1241.4562861551487,683.3455346788345,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,693.82752164265503,1569.515164079882,568.39734679865626,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,697.53090164079231,1842.170594863846,444.78285759550653,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,701.23428163892959,2131.5031659808851,381.84520652296044,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,704.93766163706675,2478.6161480562273,398.15616833751704,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,708.64104163520392,2754.3416705312038,446.43833919495881,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,712.3444216333412,3081.0415087608926,599.19567996111743,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,716.04780163147848,3115.5977355649607,540.23082241859083,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,719.75118162961576,2925.6832872329969,463.72978345200505,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,723.45456162775292,2705.0293884310249,570.07569592343361,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,727.15794162589009,2388.3633856724714,846.40366464439398,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,730.86132162402737,2215.0425459248481,915.4286878990282,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,734.56470162216465,2195.0789245834412,1007.256886625599,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,738.26808162030193,2364.1586258757711,1021.5765226519181,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,741.97146161843909,2461.8030684809241,1054.1030336287843,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,745.67484161657626,2517.4840267281334,1107.9696129840459,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,749.37822161471354,2267.4630557143269,1227.5912332987541,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,753.08160161285082,2000.9100885835651,1346.4554011240918,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,756.78498161098798,1787.166321414895,1425.6185310082828,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,760.48836160912526,1663.8683787278146,1331.0140031156454,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,764.19174160726243,1528.8801669119209,1212.8232913862248,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,767.89512160539971,1438.381771443245,1228.9488593504896,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,771.59850160353699,1719.2154101705723,1119.9001927097486,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,775.30188160167415,1491.1418105599757,1248.1353821955054,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,779.00526159981132,1302.6379796138269,1090.4629123451684,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,782.7086415979486,1113.095713369054,1025.806671873876,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,786.41202159608588,1158.1435911777328,1012.003775089493,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,790.11540159422316,1262.6001722303797,945.61587716769509,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,793.81878159236032,1279.5338643191049,925.26158264642413,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,797.52216159049749,1513.6541628123211,755.90463834496245,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,801.22554158863477,1608.8006749225933,645.09952433823037,5
