record_group,sample_type,concentration_molar,concentration_label,instrument,raman_shift_cm-1,intensity_mean,intensity_sd,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,719.75118162961576,1479.4556076147919,1378.2775940079721,3,93.161132170099989
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,723.45456162775292,1304.5327915683777,1251.6068241104999,3,95.942917817018042
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,727.15794162589009,1125.4936324886892,1100.8897706237394,3,97.81394926148576
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,730.86132162402737,949.52433610919991,1101.4671731678393,3,116.00199502850502
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,734.56470162216465,947.55628224683744,1097.1631163991335,3,115.78870162704739
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,738.26808162030193,1013.5264886262416,1199.5172022067823,3,118.35084881033913
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,741.97146161843909,1026.0742702019068,1273.4971354267038,3,124.11354347440272
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,745.67484161657626,1052.6812082525551,1285.0669932805602,3,122.07560876039236
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,749.37822161471354,911.59238169593084,1176.6273026577837,3,129.07384114693681
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,753.08160161285082,815.93350206598382,1028.1799176257455,3,126.01270998461801
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,756.78498161098798,748.49965227010614,909.68503728005214,3,121.53446357938724
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,760.48836160912526,628.09104929436296,905.26525080295073,3,144.12962130569807
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,764.19174160726243,654.81146798733391,757.80203562878637,3,115.72827793593936
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,767.89512160539971,657.18538931673913,688.65381657955913,3,104.78836379724402
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,771.59850160353699,664.70175867287469,952.59864462520477,3,143.31218959419292
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,775.30188160167415,683.65401052991763,750.90233719012554,3,109.83660237845778
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,779.00526159981132,630.5939484472965,612.19493951254401,3,97.082273152151856
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,782.7086415979486,532.58614523925155,512.92930082103931,3,96.309170902412063
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,786.41202159608588,602.25151859649475,483.79899642860039,3,80.331718806796914
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,790.11540159422316,703.67987468042566,497.96846029292891,3,70.766335404871427
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,793.81878159236032,821.64924120980777,520.8805702485746,3,63.394517285943429
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,797.52216159049749,974.59396333527559,742.15784134497881,3,76.150465657015857
