Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
958.6128824257415,1mM,0.001,2804.950828606424,2804.950828606424,0.0
962.5385691178898,1mM,0.001,2795.6810149469234,2795.6810149469234,0.0
966.464255810038,1mM,0.001,2783.6691924687225,2783.6691924687225,0.0
970.3899425021863,1mM,0.001,2698.7010485601363,2698.7010485601363,0.0
974.3156291943345,1mM,0.001,2638.990076535597,2638.990076535597,0.0
978.241315886483,1mM,0.001,2554.103006560843,2554.103006560843,0.0
982.1670025786312,1mM,0.001,2457.293505451728,2457.293505451728,0.0
986.0926892707795,1mM,0.001,2394.2929428948896,2394.2929428948896,0.0
990.0183759629277,1mM,0.001,2610.4137943033043,2610.4137943033043,0.0
993.944062655076,1mM,0.001,3407.876655432339,3407.876655432339,0.0
997.8697493472245,1mM,0.001,4819.790200625446,4819.790200625446,0.0
1001.7954360393727,1mM,0.001,6433.194351376312,6433.194351376312,0.0
1005.721122731521,1mM,0.001,7044.022243832911,7044.022243832911,0.0
1009.6468094236692,1mM,0.001,6175.172613272032,6175.172613272032,0.0
1013.5724961158174,1mM,0.001,4326.108585235647,4326.108585235647,0.0
1017.4981828079659,1mM,0.001,2519.3116374067567,2519.3116374067567,0.0
1021.4238695001142,1mM,0.001,1519.9606594905893,1519.9606594905893,0.0
1025.3495561922625,1mM,0.001,1174.0086527748185,1174.0086527748185,0.0
1029.2752428844108,1mM,0.001,1245.3297154601091,1245.3297154601091,0.0
1033.200929576559,1mM,0.001,1513.4020756848745,1513.4020756848745,0.0
1037.1266162687073,1mM,0.001,1940.8147829212214,1940.8147829212214,0.0
1041.0523029608557,1mM,0.001,2526.403495583645,2526.403495583645,0.0
1044.977989653004,1mM,0.001,3257.278966471024,3257.278966471024,0.0
1048.9036763451522,1mM,0.001,4405.515413723032,4405.515413723032,0.0
1052.8293630373005,1mM,0.001,6552.569921326435,6552.569921326435,0.0
1056.7550497294487,1mM,0.001,10347.725688782242,10347.725688782242,0.0
1060.6807364215972,1mM,0.001,15959.107735681317,15959.107735681317,0.0
1064.6064231137454,1mM,0.001,22527.378347374244,22527.378347374244,0.0
1068.5321098058937,1mM,0.001,28243.441640280882,28243.441640280882,0.0
1072.457796498042,1mM,0.001,31931.264436459714,31931.264436459714,0.0
1076.3834831901902,1mM,0.001,32914.42366447548,32914.42366447548,0.0
1080.3091698823384,1mM,0.001,30181.94768873507,30181.94768873507,0.0
1084.234856574487,1mM,0.001,23792.333525411013,23792.333525411013,0.0
1088.1605432666352,1mM,0.001,15798.388586064899,15798.388586064899,0.0
1092.0862299587834,1mM,0.001,9112.87562985054,9112.87562985054,0.0
1096.0119166509317,1mM,0.001,5198.245230510508,5198.245230510508,0.0
1099.93760334308,1mM,0.001,3571.755998477482,3571.755998477482,0.0
