type,concentration_M,concentration_label,replicate,peak_392.32_height_mean,peak_392.32_height_std,peak_392.32_height_count,peak_1078.5_height_mean,peak_1078.5_height_std,peak_1078.5_height_count,peak_1589.62_height_mean,peak_1589.62_height_std,peak_1589.62_height_count
sample,1e-06,1µM,2,5680.311514227347,343.98233360706354,5,7467.7159833667465,464.12531818649455,5,2446.2528883085506,55.946502470200954,5
sample,1e-06,1µM,3,6247.146983065538,170.8010689299502,5,8898.26207007818,173.3776888910029,5,3579.680157749693,74.15530114793002,5
sample,1e-05,10µM,1,24762.550355185223,3184.280804786888,5,37016.72508914823,1200.5131848921396,5,11684.92109001826,566.6090407136512,5
sample,1e-05,10µM,2,13003.735528202382,494.2470846851592,5,11551.725545828365,461.9581830753454,5,5155.875647186461,131.5469398964622,5
sample,1e-05,10µM,3,5017.0692529898115,166.12750857890137,5,3629.7633694404904,140.72012098632945,5,1869.835807072964,134.48129792464917,5
sample,0.0001,100µM,1,5253.214935307546,47.44338738102254,5,6982.479883530558,123.0076232753675,5,2580.6690403899465,57.03253440249086,5
sample,0.0001,100µM,2,7049.114503129417,483.0284879277657,5,7167.570528202139,686.0601852133128,5,2843.1930374176227,247.4610432204622,5
sample,0.0001,100µM,3,25103.00839879702,2163.3506013125298,5,37109.9097866394,657.1240013592242,5,30117.00259081531,908.3399574080362,5
sample,0.001,1mM,1,16939.844215955578,407.820547615821,5,40505.409613739794,2703.1885066503887,5,18396.528937653307,1612.0965892963773,5
sample,0.001,1mM,2,22239.00509595358,469.4459422483733,5,38412.670666803,1401.992648463329,5,23762.982376435764,645.6751409536924,5
sample,0.001,1mM,3,15303.991373326524,593.2042163970448,5,20485.858520067417,765.0962406714197,5,7703.332617659411,367.0400902677586,5
