file,type,concentration_M,concentration_label,replicate,accumulation,peak_392.32_height,peak_1078.5_height,peak_1589.62_height
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc5.csv,sample,0.001,1mM,1,5,16714.32525157107,37796.77174626277,19243.013439717888
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc1.csv,sample,0.001,1mM,2,1,21546.22463874442,40680.4017505335,22869.93387285417
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc2.csv,sample,0.001,1mM,2,2,22533.67979874052,37496.603815192066,23854.06961584821
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc3.csv,sample,0.001,1mM,2,3,22112.10923213832,38567.719240071594,24142.89816725702
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc4.csv,sample,0.001,1mM,2,4,22785.076106778128,37058.72330446581,24534.520874149097
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc5.csv,sample,0.001,1mM,2,5,22217.935703366526,38259.905223752015,23413.489352070337
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc1.csv,sample,0.001,1mM,3,1,14566.764295784455,19600.622489824054,7216.887758428333
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc2.csv,sample,0.001,1mM,3,2,14805.823340369914,19813.02308762039,7411.238137149274
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc3.csv,sample,0.001,1mM,3,3,15726.921418013886,21050.88971938208,7881.785482079888
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc4.csv,sample,0.001,1mM,3,4,15941.49242138578,21365.010291207196,7953.233003950312
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc5.csv,sample,0.001,1mM,3,5,15478.955391078596,20599.74701230336,8053.518706689249
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep1_acc1.csv,sample,0.0001,100µM,1,1,5276.021946051168,7029.138845274702,2545.6960845414815
