Raman_shift_cm-1,1mM,100uM,10uM,1uM,100nM,10nM,1nM,100pM,10pM,1pM,100fM,10fM,1fM,Blank
664.1863805146198,177.58233613168912,150.9589592292397,146.69305217150549,816.1989711987893,130.174564030703,150.44172526180054,108.27377056946524,162.26130411171187,117.43507409732628,114.87852697058955,186.38285484854185,116.98933455285966,159.29795382914628,10.275962437070875
668.1120672067681,153.00671007045514,122.23578531754154,141.55322603836072,849.6210592916934,164.4638560572467,179.69751717285777,133.76579740397295,187.80376188441113,170.05356173099395,161.0127021334578,208.8660864528689,162.9183258307002,179.30896301477284,59.97915073242784
672.0377538989163,161.89475161843023,159.93475918776872,177.73305620386557,884.7887719332268,191.05779711230392,196.14443312485864,170.50609158070537,205.87744466962155,201.5748162327304,205.81828078514323,211.62739174945645,193.8366587723274,204.1284536457878,120.28843023487177
675.9634405910647,142.54762199035673,187.13927868726032,182.73064149055799,872.016122885182,202.51613935327333,209.08584846773192,193.48618225784668,222.8416964325621,209.9480534760198,214.07836991989305,207.7474358149162,187.4770583009378,231.61824659102896,193.74550675144604
679.8891272832129,148.6073789818791,234.40258555791308,202.60221914974264,883.7761614411534,209.8947484972584,201.1968791709429,188.6492210191103,228.58488082445723,197.0833193587673,203.33606708161034,194.98564391617776,191.05293301082176,218.65568206676636,208.51692341372978
683.8148139753612,201.89583560347117,300.9510428858641,239.42682542265382,933.646139007409,203.08527435726876,188.49018193837256,172.29053674383596,216.9179610307177,184.05351404842006,182.51925842476092,182.45126531651303,181.06140550038623,189.6562883479849,183.85731361975874
687.7405006675095,315.52002803917577,370.32071866839095,260.05094454983276,986.8000476501901,199.20772787337458,199.59663643945495,158.40400111157743,205.35161118390053,196.82163361218127,181.0409654432859,181.39412654069457,169.23400338282758,189.5021276072395,200.14123933294186
691.6661873596578,621.6197259454461,568.9793848488139,374.7099728673105,1117.0619194096523,213.5689745150796,205.48318137788291,145.1594137879176,185.00410546507362,173.61006694655504,181.91145229944607,166.21193990138173,155.55398470529516,178.7265103372086,204.46920781665582
695.5918740518061,1057.2676839243543,899.3233276826021,577.6291293980328,1336.0718486587216,256.5391827255384,233.1351163331071,157.25413316536722,184.3814047033667,186.03835118114242,211.95390728186192,165.21643741601787,160.6661317094539,179.6840016856242,249.28192728477143
699.5175607439544,1510.1679391668447,1391.3192529842463,825.9930594178943,1623.6424603615887,319.78502363141735,280.71163776497787,191.04845633057715,212.7006707092791,244.59908382341726,262.90388671834614,182.49809638090238,193.66264249163527,199.01790246455283,327.7816988700961
703.4432474361026,2011.8154953860353,2218.087894369892,1151.5602995949728,2014.328985017197,369.69170838266564,294.03100319287097,210.12389497403007,238.13877390800025,245.6997531531821,276.0936894841868,177.58045996078408,196.43227406157834,209.28028200628796,299.89303065856234
707.368934128251,2410.8617443040744,3227.911919119111,1379.39568616866,2411.9385706664757,360.0214818883714,291.92979644359286,203.7350353880514,253.61171636706163,259.7193120567109,269.42541786727367,180.26092986760415,198.56986038448414,233.0234397660009,300.66321414775996
711.2946208203992,2615.516045843312,4100.916387974477,1457.490182226168,2748.0243305636595,331.8005018375182,293.19611045141744,201.71608802902975,259.5861931846226,277.35733786169465,265.1598996081078,193.49323717621533,221.5595789553613,242.00492199356225,346.29184942919716
715.2203075125475,2547.2824197322407,4411.7262387549135,1408.624194871473,2864.043938896347,327.3460039690913,282.8960221303889,194.19957604029747,246.94375774213728,249.397141291864,259.17081885637606,181.08868658019432,231.31027025663948,216.2598675696703,319.500629900107
719.1459942046959,2066.9170697369486,3814.4192742374007,1131.835524158683,2554.9746338713453,280.1222842335902,270.63421362936134,157.90774352110103,213.1971908744687,231.25846517273717,217.27580550850965,171.2865111927341,219.2751059097423,191.63379149544627,278.9798627224908
723.0716808968441,1441.9578962532225,2675.628716757411,799.6835844982409,2046.271125691078,189.9533074799089,228.43454976993536,101.74743988352061,153.92049222135998,144.26037550990492,128.51712341597653,136.46590440429696,154.83158965408543,143.82361245534523,175.3410478809211
726.9973675889925,922.4246011118063,1551.7084083283387,529.5886839345945,1614.2303588061698,159.33827537468883,205.14699983049567,98.53449489118879,139.0686867038308,88.39306075586907,110.74293718057855,132.7419544848922,148.45411373167047,128.90914104162124,131.2017330742417
730.9230542811407,616.150207815028,801.4825035320229,337.0950669121233,1361.742172937142,200.9444888356418,242.06469014776292,170.0001318713765,196.49795411579,176.21445440743076,194.72911920099708,192.80285336748173,233.88462508565286,195.28742255474577,244.3146395891358
734.848740973289,619.7530684520364,561.262749414213,294.1205616351878,1301.8649752202907,238.18109138527942,252.49193909345584,212.37432118799987,240.90789410633184,231.01200847783474,256.5815511428263,201.12840420821004,266.1144797415569,232.70861178927436,338.67849875958524
738.7744276654373,715.5103313983307,529.4240924029666,261.5058193546187,1267.3999631681922,246.88265812550918,260.05785350754087,219.45078745277127,264.5241313846078,256.5087463781988,263.67268091512307,205.22444729984656,286.1609010917793,244.37170113561262,412.98100572429473
742.7001143575856,770.0100335659006,527.5106093259463,235.35500230088488,1231.3749273979195,230.70010665178523,252.36976309517982,197.590170487695,240.85911554062952,230.743007782082,244.74371396141999,200.2510228319704,277.65587332280313,238.69198791447286,397.37743680414525
746.6258010497338,705.4257098137109,491.1167912804366,211.20206966256677,1156.356950904845,198.59052084573094,214.46744170320198,141.7353888301401,187.6139821300998,174.63374320251896,210.53240460751275,171.89948548263928,218.77679756434352,196.61112846069815,288.38467672407006
750.5514877418822,484.28913152486217,375.2539589267368,125.10164561131573,982.0082777606573,142.88867012857085,190.3223817504384,95.67481941320675,148.4309465203349,159.42615347251706,136.25607164873014,166.17330010038182,161.79402399847658,155.7427513572218,201.7422330800895
754.4771744340304,330.98472620011034,354.1031956866226,129.71083526435868,902.6584600693042,118.81438991388977,165.6174456134317,66.80882959964612,121.31539244689067,103.04850315452016,106.14024664054577,147.1650168348695,143.00243369041476,114.93488912610461,75.80409600098149
758.4028611261788,159.86763191029831,292.320088357833,92.21962912605213,843.5084593604498,134.31603099024895,191.56597186265893,93.67116665008407,142.99952426941383,147.36554568883955,150.02727964131537,171.59248404937426,180.97882045505256,143.23164349558863,112.59001889770948
762.328547818327,82.97055977584861,281.8571762409029,103.57688657329884,813.0712937977452,160.40774968377855,226.10805910989592,147.7178069516656,176.47799068520408,199.73604151703657,181.34920194890975,196.53106128482435,170.07371969557977,193.88170086583733,206.46715751909286
766.2542345104753,149.7148870609366,374.92505506709693,217.78789168369394,854.5913922622359,214.75645287223176,230.568268494796,191.2683049854704,214.7187747414503,186.67117139570442,226.67706638316164,191.02637304268507,180.63302271190966,211.30424904971662,273.688258642497
770.1799212026236,109.4964472956146,331.5320624567546,201.03576306885523,822.8449346268916,269.63385241548553,271.2557078208167,256.89471099070136,280.7840349263066,286.6799734652267,301.5230347249908,233.13932149096883,283.2731858402171,266.3176327337956,490.3259305271368
774.1056078947719,180.38257140840523,382.92441974575826,279.7896735949225,857.4218748495693,312.0784130460945,286.1403390212599,281.88556324629275,309.962369671916,309.8462938625047,335.41707040605144,233.28583679120388,308.7142175577289,273.29419011531746,501.13993513248613
778.0312945869201,216.80021121674096,392.94666747686716,324.32763587025886,816.3980635631058,279.2453343662752,242.24491703979524,240.83134102665625,273.09555500903025,247.7315098538761,270.0645543962855,198.44864417751785,232.3921627827506,232.92832004836907,404.548222187531
781.9569812790685,214.3460430274586,350.03998073826995,316.3671010360135,744.0179355798638,267.71625796361906,239.87657625910958,206.1621973307911,256.1887419309374,259.27498870128727,261.1989680908608,218.32053407090845,220.04777761347475,225.2002669128566,307.3084474796941
