Ramanshift[cm-1],Intensity,,,,,,,,
1491.773368,13822.2,,,,,,,,
1495.166904,14503.2,,,,,,,,
1498.555739,13735.2,,,,,,,,
1501.939883,13767.6,,,,,,,,
1505.319349,13300.8,,,,,,,,
1508.694146,13669.4,,,,,,,,
1512.064286,13714.8,,,,,,,,
1515.429781,13709.2,,,,,,,,
1518.790642,13464.4,,,,,,,,
1522.146879,13826.4,,,,,,,,
1525.498505,13253,,,,,,,,
1528.845529,13187.2,,,,,,,,
1532.187965,13846.4,,,,,,,,
1535.525822,13494.2,,,,,,,,
1538.859112,13432,,,,,,,,
1542.187846,14195.2,,,,,,,,
1545.512036,13208.4,,,,,,,,
1548.831693,14530.2,,,,,,,,
1552.146829,13951.6,,,,,,,,
1555.457453,13335.2,,,,,,,,
1558.763579,12914.4,,,,,,,,
1562.065216,13320.4,,,,,,,,
1565.362377,13679.8,,,,,,,,
1568.655073,13959.6,,,,,,,,
1571.943315,13646.4,,,,,,,,
1575.227114,13603.8,,,,,,,,
1578.506482,13629.6,,,,,,,,
1581.781431,14270.4,,,,,,,,
1585.051971,13825,,,,,,,,
1588.318114,13916.6,,,,,,,,
1591.579872,13941,,,,,,,,
1594.837255,13667.6,,,,,,,,
1598.090275,13416,,,,,,,,
1601.338945,13351,,,,,,,,
1604.583274,13761.4,,,,,,,,
1607.823275,13376.4,,,,,,,,
1611.058959,12923,,,,,,,,
1614.290338,13643.6,,,,,,,,
1617.517422,12899,,,,,,,,
1620.740224,13253.2,,,,,,,,
1623.958755,12944.6,,,,,,,,
1627.173027,12973.2,,,,,,,,
1630.38305,12712,,,,,,,,
1633.588838,13097.2,,,,,,,,
1636.7904,12891.6,,,,,,,,
1639.987749,13096,,,,,,,,
1643.180896,13140.4,,,,,,,,
1646.369853,12695.4,,,,,,,,
1649.554632,13508.6,,,,,,,,
1652.735244,12804.6,,,,,,,,
1655.9117,12420.2,,,,,,,,
1659.084013,12729.2,,,,,,,,
1662.252193,13399.8,,,,,,,,
1665.416254,12574.6,,,,,,,,
1668.576205,12869,,,,,,,,
1671.732059,13151.8,,,,,,,,
1674.883828,13117.8,,,,,,,,
1678.031523,12606.8,,,,,,,,
1681.175157,12764.6,,,,,,,,
1684.314739,12805.2,,,,,,,,
1687.450284,12780,,,,,,,,
1690.581801,12658.2,,,,,,,,
1693.709304,12479.6,,,,,,,,
1696.832803,12530,,,,,,,,
1699.952311,12756,,,,,,,,
1703.067839,12739.8,,,,,,,,
1706.179399,12792.2,,,,,,,,
1709.287003,13073.2,,,,,,,,
1712.390663,12628.8,,,,,,,,
1715.49039,12722.4,,,,,,,,
1718.586197,13066.8,,,,,,,,
1721.678095,12885,,,,,,,,
1724.766096,12948.4,,,,,,,,
1727.850213,12374.8,,,,,,,,
1730.930456,12624,,,,,,,,
1734.006838,12461.8,,,,,,,,
1737.079372,12826,,,,,,,,
1740.148067,12459,,,,,,,,
1743.212938,13495,,,,,,,,
1746.273996,12643.4,,,,,,,,
1749.331252,12579.8,,,,,,,,
1752.384718,12668.2,,,,,,,,
1755.434408,12731.8,,,,,,,,
1758.480332,12659.6,,,,,,,,
1761.522503,12591.6,,,,,,,,
1764.560933,12382.8,,,,,,,,
1767.595634,12087,,,,,,,,
1770.626618,12886.2,,,,,,,,
1773.653896,12820,,,,,,,,
1776.677482,12502.6,,,,,,,,
1779.697388,12391.4,,,,,,,,
1782.713625,12927.4,,,,,,,,
1785.726205,12968.2,,,,,,,,
1788.735141,12834.6,,,,,,,,
1791.740445,12407.2,,,,,,,,
1794.742129,12354.2,,,,,,,,
1797.740206,12877.6,,,,,,,,
1800.734687,12897.8,,,,,,,,
1803.725585,12705.2,,,,,,,,
1806.712912,12711.8,,,,,,,,
1809.69668,12359.2,,,,,,,,
1812.676902,12434,,,,,,,,
1815.65359,12123.6,,,,,,,,
1818.626756,12120.4,,,,,,,,
1821.596413,12363.4,,,,,,,,
1824.562573,11980.4,,,,,,,,
1827.525247,12393.6,,,,,,,,
1830.48445,12195.8,,,,,,,,
1833.440192,12383,,,,,,,,
1836.392487,12216.8,,,,,,,,
1839.341347,12436.8,,,,,,,,
1842.286784,12571.4,,,,,,,,
1845.22881,11989.6,,,,,,,,
1848.167439,12499.2,,,,,,,,
1851.102682,12357,,,,,,,,
1854.034553,12354.2,,,,,,,,
1856.963063,12209.4,,,,,,,,
1859.888226,12989,,,,,,,,
1862.810053,12463.2,,,,,,,,
1865.728557,12376,,,,,,,,
1868.643751,12116.2,,,,,,,,
1871.555648,12101.4,,,,,,,,
1874.46426,11866.8,,,,,,,,
1877.369599,12502.4,,,,,,,,
1880.271679,12314.8,,,,,,,,
1883.170512,12106.4,,,,,,,,
1886.06611,12597.8,,,,,,,,
1888.958487,12225.8,,,,,,,,
1891.847655,12159.8,,,,,,,,
1894.733626,12435.8,,,,,,,,
1897.616414,12394,,,,,,,,
1900.496032,11967.8,,,,,,,,
1903.372491,12171.8,,,,,,,,
1906.245805,12623.6,,,,,,,,
1909.115987,12616.6,,,,,,,,
1911.983049,12463,,,,,,,,
1914.847004,12459.4,,,,,,,,
1917.707866,12597,,,,,,,,
1920.565646,12609.6,,,,,,,,
1923.420359,12088.6,,,,,,,,
1926.272016,12363.4,,,,,,,,
1929.120631,12140.2,,,,,,,,
1931.966216,12262,,,,,,,,
1934.808786,12293.4,,,,,,,,
1937.648351,12535.4,,,,,,,,
1940.484927,12373,,,,,,,,
1943.318525,12417.6,,,,,,,,
1946.149158,12697.2,,,,,,,,
1948.97684,13779,,,,,,,,
1951.801584,12745.4,,,,,,,,
1954.623403,12516.8,,,,,,,,
1957.44231,12575.8,,,,,,,,
1960.258318,12066.6,,,,,,,,
1963.071439,12084,,,,,,,,
1965.881688,12267.8,,,,,,,,
1968.689078,12443.6,,,,,,,,
1971.493621,12210.4,,,,,,,,
