Raman shift (cm-1),Intensity (a.u.),,,,
,Intensity 1,Intensity 2,Intensity 3,Intensity 4,Intensity 5
1467.88604,10056.4,10040.6,10134.2,10092.4,10189.6
1471.31279,10148.2,10127.4,10153.2,10292.2,10278.6
1474.73477,9874.8,9878,9923.6,9944.8,9952.4
1478.15198,10594.6,10554,10584.4,10678.6,10670.6
1481.56444,10272.4,10314.2,10312.8,10303.4,10379.6
1484.97215,10100.8,10229.4,10190.2,10359.4,10293
1488.37512,9896.2,9986.2,10053,10051.4,10024
1491.77337,10208.6,10194.6,10233.2,10273,10347.4
1495.1669,10812.2,10860.2,10878.4,10866.8,10919.6
1498.55574,10089.6,10159.6,10143.6,10169.6,10193.2
1501.93988,10197.4,10289.2,10220.4,10248.2,10312.2
1505.31935,9917.8,9927,9850.2,9957.4,9981.6
1508.69415,10221.2,10209,10274,10273.2,10261.4
1512.06429,10259.2,10319.4,10291.6,10346.8,10401.8
1515.42978,10111,10240.4,10214.4,10193.6,10241.6
1518.79064,10075,10058.8,10084,10094.2,10073.2
1522.14688,10238.2,10301.8,10309,10347.6,10305.4
1525.4985,9861,9901.6,9911.6,9893,9957.2
1528.84553,9920.8,9903.2,9939.2,9922.2,10011
1532.18796,10488.2,10539.2,10595.2,10510.2,10602.4
1535.52582,10176.6,10176.2,10164.2,10108.6,10256.2
1538.85911,10196.6,10184.6,10132,10234.2,10233
1542.18785,10683.4,10711.8,10745,10806.2,10871.8
1545.51204,9903.4,9891.4,10001.2,9986.6,9956.2
1548.83169,11094,11107,11107.2,11163.2,11237.4
1552.14683,10507.2,10635.4,10611,10651.2,10698.2
1555.45745,9898.2,9866.4,9914,9952.4,9976.4
1558.76358,9591.4,9641.6,9591.8,9635.2,9672.4
1562.06522,9981.6,10063.4,10025.6,10065.8,10050
1565.36238,10196.8,10308.8,10246,10341.6,10242.8
1568.65507,10418.8,10475.2,10525.2,10559.4,10529.2
1571.94331,10213.6,10240.6,10163.2,10332,10306.8
1575.22711,10175,10187,10271,10182.2,10253.8
1578.50648,10042,10140,10068,10138.8,10261.2
1581.78143,10558,10499.8,10520.6,10683.2,10642.6
1585.05197,9953.6,10108.6,10052,10124.6,10203.4
1588.31811,10134.6,10245.6,10164,10196,10162
1591.57987,10120,10097.8,10087.2,10219,10124.4
1594.83725,10012.8,10076.2,10124,10188.2,10161
1598.09028,10033.4,10050,10039.2,10091.6,10145.2
1601.33894,10063,10120.4,10088.6,10109.4,10180.2
1604.58327,10381.4,10467.6,10524.2,10537,10687
1607.82327,10255,10153.6,10239,10302.6,10293.2
