Wavelength,AAB_4 ATP_10^-10M_750_5_5_L_S1_I1,AAB_4 ATP_10^-10M_750_5_5_L_S1_I2,AAB_4 ATP_10^-10M_750_5_5_L_S1_I3,AAB_4 ATP_10^-10M_750_5_5_L_S1_I4,AAB_4 ATP_10^-10M_750_5_5_L_S1_I5
1047.56782970403,86.31500015468625,278.99830319723975,191.86909770046955,221.5062670807746,211.54356014174613
1051.60516660314,84.07183138490592,223.7676653042397,119.55131326560809,107.96855700092097,193.7340376452739
1055.63649124187,-70.58993418396219,79.14511956628824,8.522907246324955,-1.5489845077957796,-12.091604541218942
1059.66181452483,-87.53507304374654,-24.645862186273973,-33.86463166433063,-10.025625722061108,-35.3338883740287
1063.68114735294,-80.6898913672074,114.89817512291421,121.95381409793963,168.7066974707645,2.0354295637253585
1067.69450062355,403.27023655375444,534.737009207686,484.32892327132873,526.4446152815857,460.0490018465159
1071.70188523054,936.6818692766667,1007.2744928756283,905.7215529682563,939.4479843219901,1092.0627097933088
1075.70331206442,1016.0338115780803,1281.8399597697696,1198.4898747529983,1237.2851127833112,1110.2955629759326
1079.69879201248,1425.42862237629,1299.870130079032,1257.4140274650244,1299.8778685866023,1189.289195762377
1083.68833595885,1188.9985065066307,1109.756247676882,1087.5925363069823,1114.5649221286276,1112.053900833851
1087.67195478464,435.46569654274873,779.9237297516438,781.2511141787946,775.1589442894656,604.0856967414913
1091.64965936803,400.5114793940464,432.57543845409043,469.4134275770235,426.94631253404305,360.1497414275299
1095.62146058439,216.3604805949125,205.90184031731297,246.32657001595985,185.80622308129702,73.31252132229244
1099.58736930637,28.71492211707182,136.3681989948018,124.41111270306065,87.01491586484056,-57.56637498336772
1103.54739640402,90.05196143702764,123.31938773093854,60.77493697073647,91.61243942257991,128.2745810462015
1107.5015527449,-12.117829879232097,69.36910820221745,17.13901420118184,129.71708592600652,58.37263820676129
1111.44984919419,-11.571279533546655,7.762259535122039,-8.598077714395986,144.75519238452998,-12.73175220227495
1115.39229661475,-47.81776587381972,1.403338477214856,-4.6435915589054755,114.89021685086188,-11.81839195486825
1119.32890586729,-86.86834891784805,12.567987077183474,15.717512194762397,54.692333755858456,3.773873460437409
1123.25968781045,3.6835836069332686,-8.525384077437215,32.71162092423526,14.142148919120586,42.97830810925388
1127.18465330088,-63.178552851776516,16.808280251580644,86.30877251113918,64.49490144568048,-126.09020491321755
1131.10381319339,68.89373876791204,205.1819053369802,254.55343137188558,245.37108667879016,115.15658410681456
1135.01717834101,505.54839971375924,497.63341280281963,527.4454437312376,508.87720733031,611.1009060942515
1138.92475959512,571.8688987633477,696.4123613943366,773.7789808854847,736.7638048975878,697.2968288515851
1142.82656780556,599.3945715046352,711.1144285706789,870.6255104601364,827.8073668919627,733.7527774361814
1146.72261382071,552.0792425490138,619.1606763639281,809.2173530366088,765.656263377678,470.30121558741183
1150.61290848762,240.8760074922517,501.31312036328495,657.6879575950113,610.3195104677827,319.28028484990585
1154.49746265207,259.88424781827626,367.13278456688226,486.25384855456167,442.7572358467428,473.7821321334154
1158.37628715874,52.1936259738668,262.09626985655893,359.7619367098424,320.94750131644525,26.396326431104825
1162.24939285125,-112.25501701087214,274.4847911058983,328.5630389116125,267.061958834715,-44.15636121226446
1166.11679057228,97.49595832106684,368.71266130647854,366.3244649706416,270.0843580610048,211.74494266233793
1169.97849116371,68.79154214956102,391.5465433526389,378.7963435865219,300.32688513510675,75.499209931025
1173.83450546665,59.73697504611886,298.7632428597015,326.5952078681288,337.17795057711464,156.29009866230172
1177.68484432161,-43.22124556675621,240.51947885231945,284.06296647714726,381.5638512055539,41.34656473822713
1181.52951856857,42.54937237635821,351.85763280559377,329.9965878170089,430.21747954280295,58.026443954794914
1185.36853904707,366.2838570386479,517.6216235634353,423.9636287604864,447.9072464509266,373.1700122144134
1189.20191659634,382.37424469199664,505.4251959836024,451.0579137045386,390.9814891570875,336.35859226320565
1193.02966205537,228.0077474997314,308.1817987166456,364.5429714009254,261.2400236839226,109.74944964459311
1196.85178626303,59.17916222593948,120.37545874543142,219.4950164323345,114.10392500621663,16.55366466947649
1200.66830005817,-0.4806349218408812,28.823960914646488,86.29350371552452,9.18960393059091,42.6870957434533
1204.47921427972,-117.10681894346085,-27.238500708115303,1.0657761033250495,-28.93129012306203,-127.1123418668508
1208.28453976677,-82.7912313687231,-55.56576628086642,-7.760423786044257,-6.4472297387172155,-104.7432396425994
1212.08428735869,9.34316803619354,21.616996204803065,76.72642132286002,52.29868618216,-63.764693185922184
1215.87846789522,139.97417552993565,182.135719050377,203.28531524516188,106.8042116881233,74.25140636325955
1219.66709221657,319.3893078876599,240.9614418792463,272.2773933136236,119.32220073585444,350.51192946804906
1223.45017116353,-21.445226694454334,124.76145313009383,254.46761268037804,86.86695827040424,26.981041449612746
1227.22771557754,-21.127912199450122,36.102151452247526,214.6573784864957,41.21938194047993,-1.5987759352344213
1230.99973630081,207.62147878222194,115.92125166336723,194.20137128160184,13.641524686858306,181.10357280564457
1234.76624417643,173.86178277471777,206.5932801375723,173.70908122336792,14.607526642058918,123.74011643394127
1238.52725004843,227.6388826168923,174.8274386945343,161.4982065355299,43.05738863365111,136.83897784256965
1242.2827647619,37.725834222914905,142.26633450833788,196.8594478806703,87.72877686720012,49.064872380912995
1246.0327991631,196.9875154848154,193.04467367079343,247.7166218258938,116.74929558314889,242.34060035882524
1249.77736409951,348.368948765018,188.06772686359082,225.4398382322925,98.45317181856126,217.31420762850698
1253.51647042001,2.7290512422206206,67.1920037129384,132.70439482737783,44.195610191094495,-90.96980762420606
1257.25012897487,-1.7474785784670814,0.8783327138097974,78.56079320594402,1.4136992346475765,81.17350411809015
1260.97835061592,53.537547062980096,83.6731354245638,108.68092389004482,-4.202500751119816,165.37064734898607
1264.70114619665,18.13715574456997,170.12192984721815,138.53748351003514,8.846446062409651,9.411261617108835
1268.41852657223,72.41774035503789,109.98959484011196,104.16009098252604,17.628915327024075,70.78309266261672
1272.13050259971,-9.868198515735799,-18.211862478758157,72.74940925646689,28.0445739957852,-13.094500385461274
1275.83708513802,-45.70388910224742,-4.321978240007624,126.6177866634441,54.75909978726658,-49.786878554478044
1279.53828504814,144.31996663088597,156.44532354906102,211.58500616702958,84.03947230213534,253.10770046311512
1283.23411319314,296.3520024289569,212.31617413443774,206.0682968818215,80.59923393694316,283.27661811427106
1286.9245804383,16.696115508764777,75.1704436647964,103.53619124693094,35.321936981373355,24.053150293451793
1290.6096976512,-210.20316300923025,-22.01756952905121,9.71104735449918,-16.115296339248694,-146.55330717551402
1294.28947570181,60.484496417985866,34.98331366023643,-16.48916395450867,-31.505322655949357,65.6864458436281
1297.9639254626,92.18227085673722,58.99956275521233,5.500635201337615,-0.661622748503909,197.8483103357992
1301.63305780862,-68.77330411132415,-16.835515958536487,70.8753877805804,55.6928055853979,-44.6596102314924
1305.29688361757,64.32382835403463,-5.521636659755998,172.78582111738774,102.39180647950357,62.149317894341586
1308.95541376995,278.8271036060786,114.69370641461079,232.00273493775086,109.6854417252949,286.4783218882073
1312.60865914909,233.93169113206304,141.25623143549365,188.62388070849389,86.05785805021037,229.56649597351824
1316.2566306413,-103.05281785284156,75.32777450134535,128.25559395989671,88.00492673762729,-10.301299271406272
1319.89933913592,31.41195799405181,120.7719238081183,182.374272420493,164.92833630538604,1.6925888228929722
1323.53679552544,274.4983642406272,280.432649448421,339.6107928924583,294.37575613860207,310.8032473716329
1327.16901070555,251.285701876244,378.34298222903294,469.41202780430774,396.42550352201897,337.3504767571177
1330.79599557529,383.65441955755045,352.3834923924458,492.2492754420292,407.713547679873,335.1420578063786
1334.4177610371,169.9954100052076,252.18350229643437,440.0933393688805,326.07562330736096,309.2435778347682
1338.03431799694,43.26232842207632,142.95606773721792,380.84305600059395,196.9334993222988,191.10254223461249
1341.64567736434,57.71562957389787,94.95211140549725,338.3246352803605,76.59752804838791,164.31969947621226
1345.25185005254,-71.27803167988901,98.70207012993941,289.6065042590777,4.099643199669018,61.048999829977106
1348.85284697853,38.12008040302703,64.31566979273697,226.55874454788747,-10.482341654573986,7.745807872655888
1352.44867906319,-24.986984547059436,4.639977347054781,187.57768165707142,16.878621902808376,-89.44855835617233
1356.03935723136,35.67947371670317,32.68063969476319,206.3624621090799,56.659614836537045,-28.123980273276374
1359.62489241191,89.9208773726641,128.06948592241213,256.7977010805954,79.86893786730117,219.99277242182555
1363.20529553785,-31.82268762027715,144.34867392262123,276.3504379463251,70.9891049389567,78.13103872386999
1366.78057754642,159.22432207601253,53.333302800243786,232.98452906858654,37.16276192559921,52.852526126861335
1370.3507493792,18.999200719433773,-17.99434688078314,162.3712374626142,8.104639649561761,124.6331791127329
1373.91582198213,-94.7423791803926,27.28085948678796,141.80458266412532,19.306754357983834,-18.914438183995273
1377.47580630568,219.40624361155042,144.9850310599653,211.04199603720704,83.29722781441464,183.16377517459318
1381.0307133049,290.1942462546457,242.56074091307738,323.6229274458262,175.3812051525045,321.62207228799207
1384.5805539395,272.0898920362858,307.74981535945744,400.46240506461436,253.86272341813134,330.3149282374425
1388.12533917395,378.2070958022719,354.9832847077082,416.31315871366064,295.4726257538726,510.6931941609281
1391.66507997758,377.270977714138,361.2402683910927,409.3961571091842,308.69636721128796,423.72982672553985
1395.19978732466,277.23829912104384,347.13927540912266,415.55727377636606,309.7765745740215,369.306275293158
1398.72947219447,341.2763712061939,361.1904867629619,412.90421857512547,290.49999788369956,524.5493523129843
1402.25414557141,350.4512998720386,352.6417992760595,345.58230979569043,225.16042711683434,410.8089670526895
1405.77381844509,208.8130453266958,220.2370021218807,203.22671699184414,114.6176349283477,281.6520889517075
