Name,HS_AAB_P2_750_5_5_H_S1.csv,,,,
Date,25/09/2024 10:54,,,,
Tag,HS_AAB_P2_750_5_5_H_S1,,,,
Comment,,,,,
Peak raman shift[cm-1],351.7585072,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7253398,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
639.1818586,13742.6,13606.2,13493,13441.8,13393.8
643.8339654,14093.6,13856.2,13686.8,13628.4,13581
648.4790017,13887.4,13582.6,13560.2,13494.4,13404.2
653.1169792,13816.4,13586.2,13516.2,13467.6,13233.6
657.7479097,13898.2,13705.4,13641.8,13550,13447.8
662.3718049,13342.4,13252.4,13154.6,12935.6,12951.6
666.9886767,13749.8,13475,13313.6,13220,13240
671.5985366,13556.8,13409.6,13262.4,13331.6,13213.4
676.2013965,13817.4,13594.2,13486.8,13473.4,13367.6
680.7972681,13765.4,13520.2,13482.8,13356,13298.8
685.386163,13619.6,13368.2,13264,13278.6,13171.6
689.9680928,13687.4,13633.8,13415.6,13404.8,13276
694.5430693,13512,13420,13192.2,13199,13038.4
699.1111041,13901.4,13717.8,13511.6,13565.8,13497.2
703.6722088,13653.4,13441.6,13341,13327.6,13245.4
708.226395,13831.6,13635.8,13479.6,13376.8,13274.2
712.7736744,13790,13749.2,13596.2,13440.2,13450.6
717.3140584,13742,13378,13404,13342.8,13339.8
721.8475588,13689.6,13496.2,13327.2,13319,13073.6
726.3741869,13128,12897.8,12797.8,12756,12759.8
730.8939545,13677.8,13351,13294.2,13230.4,13197
735.406873,13518.4,13307,13156,13042.8,13041.6
739.9129539,13872.2,13629.8,13600.4,13557.6,13337.8
744.4122087,13461.6,13284,13160.8,13078.8,13003.6
748.9046489,13431.4,13278.4,13184.6,13094,12992.8
753.3902861,13112,12915.6,12797,12671.8,12656.6
757.8691316,12958.2,12797.6,12718.4,12629.6,12448.8
762.341197,13404,13161.2,13219.8,13103,13030.2
766.8064936,13043.8,12781,12741.6,12693,12602.2
771.265033,14091.8,13878,13748.2,13665.2,13657.6
775.7168264,13232.2,13131,13033.2,12929.6,12821
780.1618854,13458.8,13375.4,13251.6,13236.2,13089
784.6002213,13016.8,12798.4,12727.6,12679.6,12546
789.0318455,12907.8,12756.8,12670,12581.8,12462.6
793.4567694,12931,12735.8,12610,12532.8,12531.4
797.8750043,13302.4,13124.4,13043.2,12993.4,12776.2
802.2865616,12815.8,12635.4,12570.8,12564.6,12403.4
806.6914527,13026.6,12850.6,12738.6,12749.8,12609.8
811.0896888,13039.8,12845.8,12683.6,12691.4,12540.4
815.4812812,12810.6,12735.2,12652.8,12649.6,12404
819.8662414,12738.4,12531,12402.6,12424,12238
824.2445805,12889.6,12753.8,12599.4,12515.6,12432.6
828.6163098,13022.6,12767.6,12743.6,12704.4,12499.4
832.9814407,13007,12660.8,12642.2,12552.4,12455.6
837.3399844,12595.6,12460.2,12347,12355.6,12185.6
841.6919522,12818.2,12717.8,12628.6,12627.8,12587.2
846.0373552,12679,12510.4,12483,12391.4,12316.4
850.3762048,12698.6,12468,12416.4,12325.8,12282.6
854.7085122,12637.2,12600.2,12517.8,12419.4,12244.4
