Name,HS_AAB_P3_750_5_5_H_S1.csv,,,,
Date,30/09/2024 12:42,,,,
Tag,HS_AAB_P3_750_5_5_H_S1,,,,
Comment,,,,,
Peak raman shift[cm-1],377.1881577,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7220408,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
811.1432614,11995.8,12029.4,11856.2,11773,11804.2
815.5348538,11912,11870.2,11806.8,11705,11753.8
819.9198139,11795.2,11679,11557,11424,11512.2
824.2981531,11938.4,11868.4,11717.8,11673,11730.8
828.6698824,12018,11983.6,11901.8,11783.8,11762.4
833.0350133,11856.2,11822.2,11718.6,11697,11678.2
837.393557,11653.2,11621.8,11545.2,11421.4,11398.2
841.7455248,11946.4,11834,11767.6,11785,11723
846.0909278,11759,11718.2,11676.8,11624,11530.2
850.4297774,11754.6,11648.8,11497,11547.8,11550.4
854.7620848,11799,11686.4,11599.2,11512.8,11553.2
859.0878611,12007.6,11823.4,11977.4,11764.8,11819
863.4071176,11455,11360.2,11420.8,11276.4,11250.4
867.7198655,11849.2,11867.4,11704.4,11684.4,11670.4
872.026116,12090.4,11997,11895.8,11894.8,11877.8
876.3258802,12347.4,12309.4,12217.4,12215,12085.8
880.6191693,12060.6,12017.2,11863.4,11903.6,11742.8
884.9059946,12097.2,11936.4,11895.4,11754.8,11792.4
889.186367,12458,12349.2,12340,12228.8,12198.2
893.4602979,11505.4,11409.4,11402.4,11243.4,11344.4
897.7277982,11466.8,11354.2,11347.8,11384.2,11280.6
901.9888793,11798.8,11730.6,11703,11548.8,11564.6
906.2435521,12182.6,12016.6,11790.8,11901.8,11720
910.4918277,11668.2,11599.4,11409,11464.6,11401.8
914.7337174,11627,11513.8,11513.4,11404.6,11280.6
918.9692321,11453,11475.6,11374,11305.4,11243.2
923.1983831,11958.2,11983,11761.4,11721.6,11747.6
927.4211813,11649.2,11533.6,11403.8,11363.8,11409.6
931.6376378,12065.6,12036,11981.4,11901.8,11902.4
935.8477637,11691.4,11624,11495.2,11506,11567.6
940.0515701,11743.6,11872.8,11738.6,11622.8,11567.4
944.249068,11787.4,11823.2,11865.4,11700.8,11698.4
948.4402684,11205.2,11236,11142,11129.4,11054.6
952.6251825,11932,11771.8,11657.4,11658.6,11635.8
956.8038212,11552.6,11509,11375.4,11279.2,11377.2
960.9761955,12087.2,11938.8,11795.2,11862.6,11783.6
965.1423166,11582.6,11594.4,11498.4,11396,11492.6
969.3021953,11696.4,11623.8,11545.4,11422.2,11446.6
973.4558427,11789.6,11694.4,11525.6,11449.6,11451.8
977.6032699,11532,11503,11336.4,11272,11261.4
981.7444877,11638.6,11627.8,11430.4,11369,11419.6
985.8795072,11561.8,11494,11362.2,11316.2,11235.8
990.0083394,11617.4,11582.2,11485.4,11481.4,11470
994.1309953,11271.6,11371.4,11214.4,11182,11181.2
998.2474857,11792.4,11712.8,11560.8,11509,11533.4
1002.357822,11001.8,11013.4,10958.4,10794.2,10880.8
1006.462014,11514.4,11414,11314.4,11387.2,11227.4
1010.560075,11395.2,11322.8,11132.8,11135.6,11183
1014.652013,11578,11600.2,11577.8,11440.6,11433.2
1018.737841,11927.2,11931.8,11821.6,11731.8,11759.2
1022.81757,11480,11481,11357.6,11360,11327
1026.891209,11535.2,11367.8,11350,11323,11339.2
1030.958771,11402.4,11281.4,11174,11202.6,11180.8
1035.020266,11713.2,11645.8,11556.6,11425.8,11474.8
1039.075705,11489.8,11459,11303.4,11299.4,11264.2
1043.1251,11325.2,11203.2,11116.8,11094.4,11165.8
1047.16846,11462,11428.4,11253.6,11327.4,11291
1051.205797,11423.2,11382.2,11262,11287.4,11249.4
1055.237121,11240.2,11182.2,11059.4,11091.4,11006.4
1059.262444,11316,11205.8,11155.2,11021.8,11151.2
1063.281777,11080,11177,11023.4,10998.4,10915.4
1067.295131,11170.2,11252.6,11008.6,10982.8,10968.8
1071.302515,11892.6,12073.8,11818.2,11784.2,11818.8
1075.303942,11423.4,11500.6,11291.6,11276.6,11158
1079.299422,11943.8,11964.6,11924.6,11818.8,11744
1083.288966,11554.4,11505.6,11428.8,11415.2,11306.6
1087.272585,11414,11405.6,11401.6,11322.6,11350.8
1091.250289,11470.2,11580.4,11390.6,11321.2,11263.2
1095.222091,11726.2,11602.2,11472.4,11443.4,11464.4
1099.187999,11386.2,11383.6,11198.6,11242.6,11178.4
1103.148026,11465.2,11461.2,11359.4,11216.2,11220.4
1107.102183,11426.8,11266.6,11226.8,11172.2,11152.2
1111.050479,11535,11511,11347.2,11311.2,11278.4
1114.992927,11486.6,11441.4,11229,11263.8,11216
1118.929536,11401.2,11451.8,11181.8,11161.8,11190
1122.860318,11640.6,11583.2,11531,11531.2,11453.6
1126.785283,11346,11337.6,11137,11149.4,11109.8
1130.704443,11220.2,11411.4,11208.2,11058.2,11129.8
1134.617808,11911,12240.8,11905.8,11788.2,11841.4
1138.52539,11852.8,12182.8,11772,11722.6,11700.2
1142.427198,11714,11986.8,11689,11644.4,11712.4
1146.323244,11776.8,12007.4,11652.2,11558.4,11552
1150.213538,11379,11443.2,11206.2,11209.6,11193
1154.098093,11509.8,11534.2,11307,11390.8,11216.4
1157.976917,11039.4,11061,10898.4,10870.6,10964.8
1161.850023,11019.8,10946.2,10845.6,10871.6,10835.2
1165.717421,11336.8,11349.8,11216.4,11185,11158.2
1169.579121,11092.6,11076.8,10940.4,10950.8,10904.6
1173.435135,11405,11417.8,11163,11263.6,11233.8
1177.285474,10744.4,10609.6,10575.4,10565.6,10520.2
1181.130148,10733.4,10794.4,10694.6,10600,10579.2
1184.969169,11116.2,11141.2,11003.2,10955,10904.2
1188.802547,11052.6,11166,11040.4,10963.2,11006.4
1192.630292,10856.6,10938.4,10783.8,10720.6,10783.2
1196.452416,10765.4,10709.4,10572.2,10592,10534.4
1200.26893,10844.6,10790.8,10763.2,10741.8,10693.2
1204.079844,10665.2,10633.8,10477.6,10567,10507.4
1207.88517,10342.6,10211.4,10193.2,10105.2,10116
1211.684917,10810.4,10823.8,10680.6,10757.8,10623.2
1215.479098,10474.6,10538.8,10383,10368.4,10388
1219.267722,11793,11637,11596.8,11618.8,11548.8
1223.050801,10655,10535.4,10466.8,10460.8,10455.8
1226.828346,10611.2,10572.6,10472,10503.2,10436.4
1230.600366,10833.2,10794.8,10686.6,10683,10623
1234.366874,10972.8,10895,10805.8,10757.6,10723.8
1238.12788,10607,10593.4,10472.8,10485.8,10539
1241.883395,10675,10588,10546,10475.6,10510
1245.633429,10852.8,10832.4,10780.2,10715,10747.2
1249.377994,10843,10879,10692.2,10673.4,10658.2
1253.1171,10343.2,10298.2,10182.8,10052.6,10136.6
1256.850759,10590.4,10582.4,10551.6,10507.2,10464.4
