comparison_id,left_lineage,right_lineage,interpretation,level,file,concentration_molar,concentration_label,replicate,accumulation,band,center_cm-1,window_cm-1,left_peak_value,right_peak_value,absolute_change,percent_change_from_left,left_observed_shift_cm-1,right_observed_shift_cm-1,left_n_points,right_n_points
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc5.csv,1e-13,100 fM,2,5,peak_1078.5_height,1078.5,7,1509.9003354726647,1440.0283845283714,-69.871950944293303,-4.6275869541031884,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc5.csv,1e-13,100 fM,2,5,peak_1589.62_height,1589.6199999999999,8,858.45493535289575,738.15168030204018,-120.30325505085557,-14.013927825040811,1585.0519710000001,1585.0519710000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc1.csv,1e-13,100 fM,3,1,peak_392.32_height,392.31999999999999,10,34817.470957798541,30869.997484761621,-3947.47347303692,-11.337622648760338,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc1.csv,1e-13,100 fM,3,1,peak_1078.5_height,1078.5,7,4878.3249171103598,4989.4085349300994,111.08361781973963,2.2770852640446755,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc1.csv,1e-13,100 fM,3,1,peak_1589.62_height,1589.6199999999999,8,2290.665203704486,2050.4748530906472,-240.19035061383875,-10.485615716578772,1585.0519710000001,1581.7814310000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc2.csv,1e-13,100 fM,3,2,peak_392.32_height,392.31999999999999,10,34930.879009843447,30438.022485512462,-4492.8565243309858,-12.862134168066335,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc2.csv,1e-13,100 fM,3,2,peak_1078.5_height,1078.5,7,4112.7981248737033,4372.689044259716,259.89091938601268,6.3190779487625219,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc2.csv,1e-13,100 fM,3,2,peak_1589.62_height,1589.6199999999999,8,2265.6156619942985,1888.4133535759152,-377.20230841838338,-16.64899809557075,1585.0519710000001,1585.0519710000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc3.csv,1e-13,100 fM,3,3,peak_392.32_height,392.31999999999999,10,34654.824117041426,31659.626366382097,-2995.1977506593284,-8.6429460456746252,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc3.csv,1e-13,100 fM,3,3,peak_1078.5_height,1078.5,7,3837.5119438884835,3770.763341957012,-66.748601931471512,-1.7393718353834313,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc3.csv,1e-13,100 fM,3,3,peak_1589.62_height,1589.6199999999999,8,2493.4949627254682,1998.8023174050932,-494.69264532037505,-19.839328040176206,1581.7814310000001,1581.7814310000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc4.csv,1e-13,100 fM,3,4,peak_392.32_height,392.31999999999999,10,32493.34860022572,31747.344489815332,-746.00411041038751,-2.2958671314202603,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc4.csv,1e-13,100 fM,3,4,peak_1078.5_height,1078.5,7,3285.0444254166205,3376.9105899133842,91.866164496763759,2.7964968688395433,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc4.csv,1e-13,100 fM,3,4,peak_1589.62_height,1589.6199999999999,8,2139.8156889831375,1911.3547280256835,-228.46096095745406,-10.676665384485572,1581.7814310000001,1581.7814310000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc5.csv,1e-13,100 fM,3,5,peak_392.32_height,392.31999999999999,10,34871.604083245249,29145.924966084833,-5725.6791171604164,-16.419316712509453,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc5.csv,1e-13,100 fM,3,5,peak_1078.5_height,1078.5,7,3118.478584697767,3366.8585295881931,248.37994489042603,7.9647795597896733,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc5.csv,1e-13,100 fM,3,5,peak_1589.62_height,1589.6199999999999,8,2471.013957273984,1508.9788966756544,-962.03506059832966,-38.932805610683161,1581.7814310000001,1581.7814310000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc1.csv,1e-07,100 nM,1,1,peak_392.32_height,392.31999999999999,10,8169.7308128842387,6136.8783287875021,-2032.8524840967366,-24.882735192336884,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc1.csv,1e-07,100 nM,1,1,peak_1078.5_height,1078.5,7,3566.7870560113925,3663.7995268602481,97.012470848855628,2.7198840111677742,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc1.csv,1e-07,100 nM,1,1,peak_1589.62_height,1589.6199999999999,8,1613.8616389115916,1396.9523176986834,-216.90932121290825,-13.440391417890979,1585.0519710000001,1585.0519710000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc2.csv,1e-07,100 nM,1,2,peak_392.32_height,392.31999999999999,10,7361.0666097929734,6556.2848299034522,-804.7817798895212,-10.932950651728381,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc2.csv,1e-07,100 nM,1,2,peak_1078.5_height,1078.5,7,3276.2546888315755,3315.1495755805099,38.894886748934368,1.1871753097072442,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc2.csv,1e-07,100 nM,1,2,peak_1589.62_height,1589.6199999999999,8,1296.8470490738309,1403.7244832072649,106.87743413343401,8.2413291690614283,1591.579872,1588.3181139999999,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc3.csv,1e-07,100 nM,1,3,peak_392.32_height,392.31999999999999,10,7293.2818115177315,6082.012877336655,-1211.2689341810765,-16.608009473433626,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc3.csv,1e-07,100 nM,1,3,peak_1078.5_height,1078.5,7,3299.9403643534365,3055.077165247912,-244.86319910552447,-7.4202310366145356,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc3.csv,1e-07,100 nM,1,3,peak_1589.62_height,1589.6199999999999,8,1607.4654367076705,1456.99532859285,-150.4701081148205,-9.3607056598993363,1585.0519710000001,1585.0519710000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc4.csv,1e-07,100 nM,1,4,peak_392.32_height,392.31999999999999,10,7484.577267175232,6133.6763374498378,-1350.9009297253942,-18.049127980146302,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc4.csv,1e-07,100 nM,1,4,peak_1078.5_height,1078.5,7,3407.1051983770217,3104.1508307618724,-302.95436761514929,-8.8918407262406216,1079.299422,1079.299422,3,3
