comparison_id,left_lineage,right_lineage,interpretation,file,concentration_molar,concentration_label,replicate,accumulation,grid_basis,n_points,x_min_cm-1,x_max_cm-1,axis_max_abs_difference_cm-1,rmse,mae,max_abs,mean_signed_difference,pearson_r,nrmse_percent_of_left_range,relative_l2_percent
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc3.csv,1e-07,100 nM,2,3,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,214.28021857373417,95.454737221447814,1238.4313923971033,-17.995119927786718,0.98320560930688272,2.3717617277220429,19.982481306098091
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc4.csv,1e-07,100 nM,2,4,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,213.20744675019725,87.566209808165553,1260.0684663189797,-28.832645068606588,0.98281263460556423,2.4619581632688501,20.689051042326184
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc5.csv,1e-07,100 nM,2,5,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,235.56452973877083,79.067657812873492,1327.3042874280184,-54.913916922537339,0.98120759495002841,2.7493201227430912,22.877130309939126
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc1.csv,1e-07,100 nM,3,1,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,465.83303756765474,214.67803574396166,1965.2976111371463,-121.67867155754359,0.99984567193548102,1.0165390694127325,4.8682161616390749
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc2.csv,1e-07,100 nM,3,2,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,359.62235828446012,163.60380402743019,1622.7859326734397,-64.544774235965292,0.99994681233439642,0.77024254047136598,3.7684975275775829
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc3.csv,1e-07,100 nM,3,3,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,3543.5457099397631,1608.7490866960675,10821.748496746037,1539.6420223912269,0.9673154801017152,7.5510396733267644,30.484884054009704
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc4.csv,1e-07,100 nM,3,4,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,3728.9045362163392,1699.0009190747555,12621.183292741505,-1671.9773475090433,0.96069444282774652,7.9227103159752348,31.982580071998932
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc5.csv,1e-07,100 nM,3,5,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,321.07745826151864,135.50438864176186,1458.2435545848857,-101.49079164163334,0.9999709707933534,0.68258023114938082,3.3421499009773181
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc1.csv,1e-10,100 pM,1,1,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,209.86317378828224,99.765299686273252,1182.0396457219213,-2.7731619012212114,0.99719235000546902,2.2819938302649754,11.879696642506316
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc2.csv,1e-10,100 pM,1,2,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,879.61858102962753,290.40231218633005,3715.5125171135733,-269.68818245053239,0.942563026932288,8.8509382686585543,43.814965542097248
