record_id,file,source_sha256,source_intensity_column,source_intensity_column_index,processed_file,sample_type,analyte,matrix,concentration_molar,concentration_label,replicate,accumulation,instrument,acquisition,analysis_lineage,baseline_lambda,blank_replication_design,manifest_row,provenance_status,record_group,source_axis_status,source_record_group
row00022__4ATP_100nM_rep2_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc1.csv,725fc0376c9197d12dd054cc0b19d9abb958351fb5d2b54b6e8b8441b8a78e2b,Intensity,1,processed_spectra/4ATP_100nM_rep2_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,2,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,22,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00023__4ATP_100nM_rep2_acc2__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc2.csv,779915021bda01b950189763574c6fc5ce85e6f91cc668fb43a04276ff1ba21a,Intensity,1,processed_spectra/4ATP_100nM_rep2_acc2_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,2,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,23,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00024__4ATP_100nM_rep2_acc3__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc3.csv,9fbdd909d3722a51024d2b02f2e3e0e987f33575272530c657d16ff2803c8e44,Intensity,1,processed_spectra/4ATP_100nM_rep2_acc3_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,2,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,24,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00025__4ATP_100nM_rep2_acc4__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc4.csv,3a620b959ac2752783a486eb6034927809dea9ed010d306e3bc58c1670ee6b8a,Intensity,1,processed_spectra/4ATP_100nM_rep2_acc4_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,2,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,25,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00026__4ATP_100nM_rep2_acc5__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc5.csv,423e45af1568c8676db562792acff421a352bca37ae8e594e35d79a91b0b1b6b,Intensity,1,processed_spectra/4ATP_100nM_rep2_acc5_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,2,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,26,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00027__4ATP_100nM_rep3_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc1.csv,4d7bf603d248f4373913398a0671aa906dd283632069953368c86688502a066d,Intensity,1,processed_spectra/4ATP_100nM_rep3_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,3,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,27,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00028__4ATP_100nM_rep3_acc2__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc2.csv,287852dc9d5e96f7c2b64fec7130e6c054543f966d517c13dfcf27304d6c38b1,Intensity,1,processed_spectra/4ATP_100nM_rep3_acc2_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,3,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,28,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00029__4ATP_100nM_rep3_acc3__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc3.csv,09ed767c0da70e630977bbc1a93630d9f8114ffb3b7424fc89bdd061d6723ac1,Intensity,1,processed_spectra/4ATP_100nM_rep3_acc3_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,3,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,29,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00030__4ATP_100nM_rep3_acc4__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc4.csv,dfe3e648f4844861b183ae41a0b9397f70ca3a68d02b00fcb7559f806af0fe79,Intensity,1,processed_spectra/4ATP_100nM_rep3_acc4_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,3,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,30,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00031__4ATP_100nM_rep3_acc5__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep3_acc5.csv,42d994581dd83f434494232a68cefea5d3cd1c1646e31a8138a77b91c4b3fd29,Intensity,1,processed_spectra/4ATP_100nM_rep3_acc5_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,9.9999999999999995e-08,100 nM,3,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,31,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00032__4ATP_100pM_rep1_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc1.csv,ca1f1dd190db8e9245baa0a348813c6f989132f3788295262d22d6f576765d6c,Intensity,1,processed_spectra/4ATP_100pM_rep1_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-10,100 pM,1,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,32,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00033__4ATP_100pM_rep1_acc2__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc2.csv,b2890da0845bc97633627460584ac3b721d0cf2f03b65b156c71fcb00fbb1f2c,Intensity,1,processed_spectra/4ATP_100pM_rep1_acc2_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-10,100 pM,1,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,33,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00034__4ATP_100pM_rep1_acc3__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc3.csv,2a8dcd84e9f6145cd1394f6eb3710da18dcc35220b2fe066e6703d5ec3760ed4,Intensity,1,processed_spectra/4ATP_100pM_rep1_acc3_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-10,100 pM,1,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,34,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00035__4ATP_100pM_rep1_acc4__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc4.csv,9388d134fb070fd4dc1087ffdb22eac81c624e12361931ee0a4ab5ed0685386b,Intensity,1,processed_spectra/4ATP_100pM_rep1_acc4_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-10,100 pM,1,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,35,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00036__4ATP_100pM_rep1_acc5__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc5.csv,9314714b70b5b3ee5d1a728eff0b68f076bc0cbfa68517c9b884a28bf517839e,Intensity,1,processed_spectra/4ATP_100pM_rep1_acc5_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-10,100 pM,1,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,36,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
row00037__4ATP_100pM_rep2_acc1__Intensity,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc1.csv,3777f468a5e08d139835ee34ae2c370a0b504e237ac1048f054c01b07cbdaa63,Intensity,1,processed_spectra/4ATP_100pM_rep2_acc1_blank_subtracted_processed.csv,4atp,4-ATP,AuAgBC substrate,1e-10,100 pM,2,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,37,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h
