record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,band,center_cm-1,window_cm-1,method,peak_value_mean,peak_value_sd,observed_shift_mean_cm-1,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,34139.052563135709,5585.9148251793622,391.31343559999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2133.4743776659589,257.29344698951218,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1026.6642616331189,23.668142695064528,1582.4355390000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,8039.8488243178335,940.74398383091909,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,2,peak_1078.5_height,1078.5,7,height,3403.8854624635833,149.55065692941983,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,1504.5033125718962,125.45655247768062,1586.3557924000002,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,7143.4216537950397,585.40598695682661,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,3,peak_1078.5_height,1078.5,7,height,1992.0120751296392,315.81111689019968,1076.9021339999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,826.55875532741322,200.06767941074793,1581.7814310000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,28669.762279305502,5021.5119134068273,388.2915572,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2182.0268243111359,47.661373554838491,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1034.033937991238,44.477983379575846,1587.0099003999999,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,3030.6841794064308,313.45570089473836,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,2,peak_1078.5_height,1078.5,7,height,1485.7796444806443,56.894938271169408,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,757.11585604483446,22.118404775041821,1587.6640083999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,1898.6951516417114,80.782111818054588,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,3,peak_1078.5_height,1078.5,7,height,3975.3260081296808,699.36405455915678,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1871.6048297545985,213.03393763660321,1582.4355390000003,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,30772.183158511267,1061.1835109324525,392.32072840000001,5
