Wavelength,4ATP_10nM_rep3_acc1_I1
1245.633429,285.5532396813487
1249.377994,335.0922616007074
1253.1171,55.34641889130853
1256.850759,149.92146787526053
1260.578981,5.815751096589338
1264.301776,20.971180222507428
1268.019157,39.53999460140676
1271.731133,-84.19439079613312
1275.437715,-46.77633147191227
1279.138915,160.02068643967777
1282.834743,180.24179685420313
1286.52521,-4.319611173636986
1290.210328,26.723166382191266
1293.890106,-13.419808212633143
1297.564555,375.16078206292786
1301.233688,-19.41209521901601
1304.897514,168.00341663341715
1308.556044,272.468526271271
1312.209289,183.68380474868172
1315.857261,3.716446846224244
1319.499969,-32.87317065385287
1323.137425,264.0679783668138
1326.769641,28.27140651591162
1330.396626,228.8010099626208
1334.018391,98.23792332884841
1337.634948,6.295715502700659
1341.246307,-95.89140981536639
1344.85248,15.019521157872077
1348.453477,22.639471529671027
1352.049309,41.9531126086913
1355.639987,-142.89351639562483
1359.225522,12.71292339257252
1362.805925,52.71075159493557
1366.381207,14.16158352587172
1369.951379,51.55099756601612
1373.516452,-184.0183272938384
1377.076436,34.98118848888862
1380.631343,45.53483031126234
1384.181184,251.452496505638
1387.725969,244.35907353636594
1391.26571,107.01643807362325
1394.800417,53.78616181351754
1398.330102,116.21794906904779
1401.854776,98.60496792363301
1405.374448,-10.009397266046108
1408.889132,-102.58732101887017
1412.398837,-300.31007327371753
1415.903574,19.133237967537752
1419.403355,318.1063109984334
1422.89819,249.64087391392331
1426.388091,426.43983911739633
1429.873069,507.0865421405979
1433.353134,288.87089352617477
1436.828298,196.5997536426039
1440.298571,196.96413523563842
1443.763965,32.12270516077115
1447.224491,57.473734425599105
1450.68016,-19.794765584993
1454.130983,32.02218035129317
1457.576971,-62.8356807290902
1461.018135,55.91003665950029
1464.454486,277.8940258625562
1467.886036,-4.8182524008771
1471.312794,37.80332757382075
1474.734774,-65.44339502770254
1478.151985,267.5781752906796
1481.564439,210.43478027128367
1484.972146,200.88998122322937
1488.375119,-4.218654750941823
1491.773368,206.53644665001593
1495.166904,455.6854381679441
1498.555739,-48.70119577118203
1501.939883,162.94962404449507
1505.319349,22.212840422980662
1508.694146,98.00123649221223
1512.064286,182.17144064692548
1515.429781,80.27685408067464
1518.790642,-49.40092376792927
1522.146879,33.066717987477205
1525.498505,-96.58034714777477
1528.845529,-176.9923107497707
1532.187965,6.656260834300156
1535.525822,-13.47697627287016
1538.859112,107.33338351625662
1542.187846,198.34874945240608
1545.512036,65.36629252297462
1548.831693,278.35252994204166
1552.146829,307.17897370521587
1555.457453,-27.642195331904077
1558.763579,41.91869233784291
1562.065216,3.3111233466506746
1565.362377,350.5140447475969
1568.655073,561.1652603817265
1571.943315,628.490868151378
1575.227114,648.3486039183326
1578.506482,779.6171141437571
1581.781431,1380.5074426626616
1585.051971,1334.6115700827568
1588.318114,1235.9280435007267
1591.579872,1497.5587797923372
1594.837255,904.9307231661078
1598.090275,669.1047926654419
1601.338945,246.67850517336865
1604.583274,337.0551437800341
1607.823275,39.16253597191189
1611.058959,-62.38965375544103
1614.290338,639.4566601930346
1617.517422,-59.338763344287145
1620.740224,37.50363189416203
1623.958755,-10.084104461510833
1627.173027,25.391623623686428
1630.38305,-97.24323625660963
1633.588838,93.3621465147944
1636.7904,-9.293664705827723
1639.987749,146.93467207953108
1643.180896,200.2047085924396
1646.369853,-42.849749687403346
1649.554632,372.98245503889757
1652.735244,47.48038378488127
1655.9117,5.989278413232569
1659.084013,70.8924053377832
1662.252193,262.76707058782995
1665.416254,-78.3408330918096
1668.576205,8.366369836122885
1671.732059,186.9475610724653
1674.883828,87.71048268103505
1678.031523,-65.19484982442464
1681.175157,73.6218353096865
1684.314739,-43.453723097864895
1687.450284,-40.27883523532
1690.581801,105.29026438757182
