Wavelength,4ATP_1fM_rep3_acc2_I1
1454.130983,202.27394735573034
1457.576971,37.85214431020404
1461.018135,191.92734092724368
1464.454486,296.86003905050757
1467.886036,23.07624142054283
1471.312794,-23.70380984828671
1474.734774,36.49525161707243
1478.151985,234.1854745365381
1481.564439,141.0939088319501
1484.972146,18.71673584027758
1488.375119,-41.65015906736426
1491.773368,170.47416751155606
1495.166904,289.36140780193364
1498.555739,-6.355957477105676
1501.939883,48.55812263867438
1505.319349,4.735473278604786
1508.694146,12.912399912179353
1512.064286,128.83918780571912
1515.429781,66.29625630712144
1518.790642,-8.642743577959664
1522.146879,1.0609670438620924
1525.498505,-57.9488306524504
1528.845529,-66.74870949131082
1532.187965,231.36768280577098
1535.525822,168.6462842818837
1538.859112,223.0855281558588
1542.187846,359.4469230947193
1545.512036,186.71676637464952
1548.831693,477.44619429594695
1552.146829,419.24634550847713
1555.457453,-6.796230014642333
1558.763579,13.700678285863432
1562.065216,221.809786397459
1565.362377,538.6281072492238
1568.655073,653.9538523116762
1571.943315,799.2337742936948
1575.227114,838.3094270184429
1578.506482,1061.3634754456025
1581.781431,1665.273809283863
1585.051971,1567.7274999479191
1588.318114,1720.2923976057332
1591.579872,1691.6238272014843
1594.837255,1147.9523185032986
1598.090275,760.2691479595405
1601.338945,205.42883307999045
1604.583274,351.9266326112788
1607.823275,80.76135102775424
1611.058959,-15.221140723939243
1614.290338,382.4243348756886
1617.517422,-31.396666974634627
1620.740224,-7.1900732771637195
1623.958755,82.6276949913381
1627.173027,-65.92614990929042
1630.38305,-48.00213177058822
1633.588838,-5.670596005241805
1636.7904,4.580045824092849
1639.987749,171.25930976140353
1643.180896,123.49813369929097
1646.369853,-2.8628933811683055
1649.554632,328.8989424721667
1652.735244,81.10009147687606
1655.9117,-77.04791941728217
1659.084013,273.28007767827967
1662.252193,232.8832688953662
1665.416254,0.8846771269645615
1668.576205,-1.2192481220140508
1671.732059,258.3417282347823
1674.883828,180.20020202073192
1678.031523,-19.185657623993393
1681.175157,87.70044842477637
1684.314739,31.56361137615022
1687.450284,21.684137029507838
1690.581801,53.289991308812205
1693.709304,-92.20213073711739
1696.832803,-100.76398473364316
1699.952311,13.765823499009912
1703.067839,132.1049620231297
1706.179399,175.7080901540644
1709.287003,167.50111372676156
1712.390663,-14.505353328914225
1715.49039,64.15922796378527
1718.586197,324.35357278292213
1721.678095,160.41652087584407
1724.766096,-11.834831954275614
1727.850213,-101.90154015570442
1730.930456,-30.53249171764992
1734.006838,86.19364272815255
1737.079372,-70.25477877087178
1740.148067,58.18741688669479
1743.212938,293.4004326838117
1746.273996,100.21320876772415
1749.331252,-6.873972718414279
1752.384718,5.2532457414331475
1755.434408,-14.174226789426484
1758.480332,28.320049055515028
1761.522503,36.959632658724786
1764.560933,-1.7929005523023989
1767.595634,-145.1377154462616
1770.626618,21.901776036758292
1773.653896,242.512828587513
1776.677482,-23.409082471896454
1779.697388,-34.76917157227672
1782.713625,241.68808146026186
1785.726205,192.31873582953722
1788.735141,103.44535033216243
1791.740445,-19.394994260399926
1794.742129,14.876936761053912
1797.740206,332.5342172231567
1800.734687,287.65099188684144
1803.725585,191.00926945871697
1806.712912,168.1077161048379
1809.69668,90.23488635917283
1812.676902,38.71766053829788
1815.65359,-170.63634062016263
1818.626756,-52.621237402177485
1821.596413,44.73515399760072
1824.562573,-9.873943816891824
1827.525247,124.56520604909792
1830.48445,3.1091813898228793
1833.440192,-18.012128665113778
1836.392487,18.00529798569596
1839.341347,-14.226925688897609
1842.286784,129.89064888170697
1845.22881,96.26949155815646
1848.167439,81.80132255293802
1851.102682,19.66884350989585
1854.034553,-168.739156761927
1856.963063,54.51602615931233
1859.888226,305.0329260370545
1862.810053,143.62554825863072
1865.728557,-33.97466232598754
1868.643751,104.03432243478437
1871.555648,-68.65149355189078
1874.46426,-185.03482898232278
1877.369599,231.8510865601379
1880.271679,77.7063348529714
1883.170512,1.0946274135867498
1886.06611,147.14172357979032
1888.958487,96.03085931017904
1891.847655,70.96683631919905
1894.733626,-33.77195201369932
1897.616414,40.6885154054612
1900.496032,-135.97299305951856
1903.372491,-34.03472307795482
1906.245805,137.96999817624828
1909.115987,6.708065773198541
1911.983049,65.84252038407249
1914.847004,-17.090909224455572
1917.707866,60.60234169515343
1920.565646,43.45709209410643
1923.420359,-1.7418512077078958
1926.272016,28.7731696235428
1929.120631,-128.73743705036077
1931.966216,-22.50075432018957
1934.808786,-29.002018744415636
1937.648351,-97.26968125731264
1940.484927,103.7005227107984
1943.318525,58.52662213111944
1946.149158,234.71843713436465
1948.97684,622.8979017594424
1951.801584,250.2188845018195
1954.623403,-5.053739600835797
1957.44231,83.40892835220939
1960.258318,-23.316968694898605
1963.071439,-23.056262450089434
1965.881688,-71.62448335393674
1968.689078,17.076318991840253
1971.493621,19.5109671197406
