Wavelength,4ATP_10pM_rep2_acc3_I1
1341.246307,133.54934668218903
1344.85248,182.65592009501688
1348.453477,37.92241601584283
1352.049309,-111.86975826296293
1355.639987,25.5047328810424
1359.225522,236.5739377234022
1362.805925,269.9176764651602
1366.381207,259.9518676627267
1369.951379,169.17268997333213
1373.516452,79.34487836670996
1377.076436,201.8234538181432
1380.631343,366.56400227616086
1384.181184,532.122633342613
1387.725969,619.54392024969
1391.26571,401.1799374438242
1394.800417,270.25631256960514
1398.330102,389.4143330102361
1401.854776,336.102423628834
1405.374448,181.87556445136124
1408.889132,5.68389167985606
1412.398837,-125.27686972452102
1415.903574,151.14928053285257
1419.403355,427.01389584712433
1422.89819,370.1219860253068
1426.388091,474.62444328608854
1429.873069,586.5969996617268
1433.353134,357.92546260014115
1436.828298,170.98171995419398
1440.298571,146.66740341126115
1443.763965,70.54688926617928
1447.224491,-19.27951684556774
1450.68016,-3.434981049191265
1454.130983,30.402971853811323
1457.576971,-10.651718212331616
1461.018135,87.00719577660493
1464.454486,202.95625427914092
1467.886036,13.17830293566567
1471.312794,-116.87152121538384
1474.734774,33.13120176626853
1478.151985,142.50460966590708
1481.564439,143.04642277343646
1484.972146,-4.185517912573232
1488.375119,-158.1611842514676
1491.773368,51.805437318206714
1495.166904,216.5073624501565
1498.555739,42.80391625441371
1501.939883,9.027729562992135
1505.319349,78.84883692747098
1508.694146,123.67516464751952
1512.064286,197.00010607146032
1515.429781,47.45565582566451
1518.790642,-10.837949914071942
1522.146879,146.1844623916195
1525.498505,-10.254484050210522
1528.845529,-80.28528682898195
1532.187965,210.97250281217293
1535.525822,338.3359735391641
1538.859112,410.5430570426988
1542.187846,480.85871246683746
1545.512036,465.5558701193786
1548.831693,639.4432629293469
1552.146829,711.4557902286615
1555.457453,482.63757726421227
1558.763579,412.48744121494383
1562.065216,619.0697103900575
1565.362377,873.165763505709
1568.655073,1133.3873598467653
1571.943315,1287.9525443402272
1575.227114,1285.1048194472596
1578.506482,1488.6280428957061
1581.781431,1803.9402064530395
1585.051971,1819.3528495292794
1588.318114,1770.3385783635185
1591.579872,1678.661725540559
1594.837255,1244.831345793913
1598.090275,754.036617932331
1601.338945,584.8316735592598
1604.583274,483.724983084021
1607.823275,153.24089861649372
1611.058959,12.5705793445768
1614.290338,91.60254267146593
1617.517422,-55.97282703035398
1620.740224,-36.282163860862966
1623.958755,178.0454399529226
1627.173027,44.60364930509695
1630.38305,-96.74266784387692
1633.588838,-39.79468010443179
1636.7904,6.500411915324548
1639.987749,116.60713916845998
1643.180896,89.78455917917563
1646.369853,40.16819143096109
1649.554632,187.01191243625817
1652.735244,58.032501424614566
1655.9117,-138.46791795087393
1659.084013,86.04827522674077
1662.252193,200.20453799386996
1665.416254,-14.64538214442382
1668.576205,-3.816187011123475
1671.732059,160.46458238947525
1674.883828,49.08054114747574
1678.031523,-55.140868475798015
1681.175157,31.377188067827774
1684.314739,17.140219013377646
1687.450284,-35.02163439724063
1690.581801,-50.55440677631941
1693.709304,-116.26801379011158
1696.832803,-49.03178371953436
1699.952311,86.5238483279345
1703.067839,45.86085712631848
1706.179399,62.92342229318183
1709.287003,158.49912427679828
1712.390663,40.50193417786795
1715.49039,5.020958026635526
1718.586197,181.63928306439084
1721.678095,164.5229090853927
1724.766096,-30.478139094433573
1727.850213,-116.36490251926807
1730.930456,-2.3709153031595633
1734.006838,72.46718178462197
1737.079372,-39.05580748318789
1740.148067,33.54954737448861
1743.212938,245.18386195291805
1746.273996,204.15208018542762
1749.331252,50.51588626815828
1752.384718,-1.7943225146327677
1755.434408,49.93924017654081
1758.480332,121.18232327442638
1761.522503,80.02197284418435
1764.560933,-98.0497457998681
1767.595634,-179.21392211333568
1770.626618,40.90716058248927
1773.653896,163.9727917634218
1776.677482,8.306209218213553
1779.697388,5.224632103250769
1782.713625,134.12221798156497
1785.726205,188.58825432329013
1788.735141,153.15690835443002
1791.740445,18.306548543481767
1794.742129,38.81938655596241
1797.740206,188.4840543173932
1800.734687,163.46903850282615
1803.725585,75.77446663795217
1806.712912,73.85853581132415
1809.69668,76.18911251047302
1812.676902,-30.49039458800962
1815.65359,-168.572907443825
1818.626756,-132.4089602557542
1821.596413,-7.026894918526523
1824.562573,28.62805054855562
1827.525247,34.745140575304504
1830.48445,107.36890379009856
1833.440192,76.95442937140979
1836.392487,-55.105657654195056
