Wavelength,4ATP_1uM_rep2_acc5_I1
1219.267722,306.2889502654343
1223.050801,-149.8677042164236
1226.828346,-115.27690562373755
1230.600366,27.690811293272418
1234.366874,-58.98115878061253
1238.12788,76.75762750614376
1241.883395,18.31418550046328
1245.633429,308.5037660030994
1249.377994,260.8029401253825
1253.1171,99.64842447343108
1256.850759,117.35303490065053
1260.578981,56.485753163857225
1264.301776,127.26950957290137
1268.019157,61.61265737953727
1271.731133,-144.3324721787012
1275.437715,-168.63983566814204
1279.138915,180.48334705375783
1282.834743,311.31688903727445
1286.52521,59.72435289470741
1290.210328,-243.8192649939865
1293.890106,41.83656470487222
1297.564555,313.9460437438902
1301.233688,109.43286281204928
1304.897514,383.5379570777659
1308.556044,567.1008122561725
1312.209289,353.29139968983327
1315.857261,-33.188531078834785
1319.499969,-1.49307691732065
1323.137425,192.07282318581565
1326.769641,68.6236707173939
1330.396626,123.22900759368167
1334.018391,-24.49441424163524
1337.634948,-3.6918169723448955
1341.246307,24.39612387507441
1344.85248,-159.00679448957817
1348.453477,-55.299189200208275
1352.049309,-108.48845623632042
1355.639987,-72.19003341726966
1359.225522,217.48307198533803
1362.805925,80.57114517284572
1366.381207,42.00838688620752
1369.951379,123.61755016785355
1373.516452,145.8027338990887
1377.076436,646.6675559026753
1380.631343,1033.3618684569665
1384.181184,1564.7793210111395
1387.725969,2193.167112237439
1391.26571,2270.790705628455
1394.800417,1971.8582904481227
1398.330102,1335.4189115454865
1401.854776,817.0724924231836
1405.374448,521.6470348902203
1408.889132,55.007460537950465
1412.398837,-235.7845421405218
1415.903574,283.48201543228424
1419.403355,1112.5068039377747
1422.89819,1752.9593203564727
1426.388091,2651.8716980788704
1429.873069,3352.392482207497
1433.353134,3141.745708280867
1436.828298,2736.4322686707674
1440.298571,2128.552253668313
1443.763965,1215.022804378028
1447.224491,673.7422536258946
1450.68016,494.4717866806859
1454.130983,376.14747257128874
1457.576971,-2.7833235012858495
1461.018135,118.77549591399111
1464.454486,235.19989354326754
1467.886036,-46.48770647582751
1471.312794,67.66553557978841
1474.734774,53.46138581542618
1478.151985,176.63705662276152
1481.564439,253.93940887658027
1484.972146,-20.329437450052865
1488.375119,-172.56718282700058
1491.773368,105.88187539357386
1495.166904,291.88068589940485
1498.555739,-53.240003576866
1501.939883,-67.52785402803056
1505.319349,21.09873663124563
1508.694146,-14.41082631021527
1512.064286,74.70708780289533
1515.429781,63.300080663349945
1518.790642,91.51832827643011
1522.146879,195.71705478161857
1525.498505,-131.37818445880475
1528.845529,-342.3640438971888
1532.187965,62.02080845983801
1535.525822,27.804216917407757
1538.859112,-12.547427187186258
1542.187846,133.25114687025234
1545.512036,-17.21996204727293
1548.831693,222.7599217073257
1552.146829,313.8738169393
1555.457453,88.51925660893903
1558.763579,103.23226542769953
1562.065216,352.9600862365587
1565.362377,863.4296266882593
1568.655073,1228.694852698598
1571.943315,1427.5354475832864
1575.227114,1431.9842096672237
1578.506482,1652.3281817400202
1581.781431,2003.2319454871067
1585.051971,1780.760965270425
1588.318114,1828.722877289647
1591.579872,1734.9067572307194
1594.837255,1215.7373186722762
1598.090275,808.1642034788874
1601.338945,461.9703349649262
1604.583274,371.5778354396516
1607.823275,34.47855394133785
1611.058959,-73.7355951323625
1614.290338,31.81460943106049
1617.517422,-85.9682233753174
1620.740224,-44.13600939063872
1623.958755,23.245685533871438
1627.173027,4.0440615018287644
1630.38305,-80.26432927197129
1633.588838,66.9126673088249
1636.7904,82.18224127192843
1639.987749,180.13339070828624
1643.180896,218.11171100515185
1646.369853,13.806044934563033
1649.554632,277.23782294065495
1652.735244,75.59444609323054
1655.9117,-176.62386296732893
1659.084013,213.57613606649193
1662.252193,228.9006123318295
1665.416254,-68.10764825020124
1668.576205,46.55818727289716
1671.732059,313.6514858512719
1674.883828,121.96903752021899
1678.031523,19.2678609843324
1681.175157,68.27600294755302
1684.314739,-68.56020288298532
1687.450284,22.075272919583767
1690.581801,51.86795252934735
1693.709304,-157.63142506992244
1696.832803,-169.09104528635362
1699.952311,36.27392979683191
1703.067839,58.47255474981375
1706.179399,123.20720011603134
1709.287003,234.16513839745494
1712.390663,-63.534396160661345
1715.49039,49.36943349999092
1718.586197,247.07051217378284
1721.678095,41.0610326775095
1724.766096,12.229688659369458
1727.850213,-124.0964727106848
1730.930456,-45.43842301497625
1734.006838,91.62697288655636
1737.079372,-68.74421370126129
1740.148067,55.770055666098415
1743.212938,274.3099975321775
1746.273996,117.98950658960439
1749.331252,-61.68415620596625
1752.384718,4.762733150993881
1755.434408,31.83386783082824
1758.480332,113.73328216360187
1761.522503,55.17390809391145
1764.560933,-213.57388827229806
