Ramanshift[cm-1],Intensity,,,,,,,,
1043.1251,13508.6,,,,,,,,
1047.16846,13869,,,,,,,,
1051.205797,13804,,,,,,,,
1055.237121,13449.4,,,,,,,,
1059.262444,13495,,,,,,,,
1063.281777,13171.4,,,,,,,,
1067.295131,13203.4,,,,,,,,
1071.302515,14284.8,,,,,,,,
1075.303942,13901.2,,,,,,,,
1079.299422,14845.8,,,,,,,,
1083.288966,14341.6,,,,,,,,
1087.272585,14034.6,,,,,,,,
1091.250289,14058.2,,,,,,,,
1095.222091,13940.4,,,,,,,,
1099.187999,13671,,,,,,,,
1103.148026,13745.2,,,,,,,,
1107.102183,13785.6,,,,,,,,
1111.050479,13924.8,,,,,,,,
1114.992927,13694.2,,,,,,,,
1118.929536,13615,,,,,,,,
1122.860318,13978.2,,,,,,,,
1126.785283,13343.6,,,,,,,,
1130.704443,13255.4,,,,,,,,
1134.617808,14045.6,,,,,,,,
1138.52539,13838.6,,,,,,,,
1142.427198,13733.8,,,,,,,,
1146.323244,13902.6,,,,,,,,
1150.213538,13591,,,,,,,,
1154.098093,13943.2,,,,,,,,
1157.976917,13417.8,,,,,,,,
1161.850023,13368,,,,,,,,
1165.717421,13915.4,,,,,,,,
1169.579121,13690.8,,,,,,,,
1173.435135,13995.4,,,,,,,,
1177.285474,13118.2,,,,,,,,
1181.130148,13339,,,,,,,,
1184.969169,13739,,,,,,,,
1188.802547,13639,,,,,,,,
1192.630292,13334.6,,,,,,,,
1196.452416,13155,,,,,,,,
1200.26893,13281.4,,,,,,,,
1204.079844,12975.6,,,,,,,,
1207.88517,12633.2,,,,,,,,
1211.684917,13310.4,,,,,,,,
1215.479098,12910,,,,,,,,
1219.267722,14571.6,,,,,,,,
1223.050801,12932.6,,,,,,,,
1226.828346,13043.8,,,,,,,,
1230.600366,13258.2,,,,,,,,
1234.366874,13235.8,,,,,,,,
1238.12788,13044.2,,,,,,,,
1241.883395,13066.8,,,,,,,,
1245.633429,13496.2,,,,,,,,
1249.377994,13422,,,,,,,,
1253.1171,12623.6,,,,,,,,
1256.850759,13110.2,,,,,,,,
1260.578981,13032,,,,,,,,
1264.301776,13083.6,,,,,,,,
1268.019157,13050.4,,,,,,,,
1271.731133,12829.2,,,,,,,,
1275.437715,12638,,,,,,,,
1279.138915,13322.6,,,,,,,,
1282.834743,13361.2,,,,,,,,
1286.52521,12907.4,,,,,,,,
1290.210328,12783.6,,,,,,,,
1293.890106,12977,,,,,,,,
1297.564555,13447.6,,,,,,,,
1301.233688,12744.6,,,,,,,,
1304.897514,13191,,,,,,,,
1308.556044,13195.4,,,,,,,,
1312.209289,13224,,,,,,,,
1315.857261,12690.2,,,,,,,,
1319.499969,12919.2,,,,,,,,
1323.137425,13676.4,,,,,,,,
1326.769641,13078.4,,,,,,,,
1330.396626,13735.8,,,,,,,,
1334.018391,13054.2,,,,,,,,
1337.634948,13149.8,,,,,,,,
1341.246307,12896.2,,,,,,,,
1344.85248,12810.2,,,,,,,,
1348.453477,12719.8,,,,,,,,
1352.049309,12674,,,,,,,,
1355.639987,12764.8,,,,,,,,
1359.225522,13462,,,,,,,,
1362.805925,13003.2,,,,,,,,
1366.381207,12912.2,,,,,,,,
1369.951379,13078.6,,,,,,,,
1373.516452,13077.8,,,,,,,,
1377.076436,13269.4,,,,,,,,
1380.631343,13129.4,,,,,,,,
1384.181184,12851,,,,,,,,
1387.725969,12997.2,,,,,,,,
1391.26571,12741,,,,,,,,
1394.800417,12646.2,,,,,,,,
1398.330102,12841.2,,,,,,,,
1401.854776,13117.8,,,,,,,,
1405.374448,12922.8,,,,,,,,
1408.889132,12482.8,,,,,,,,
1412.398837,12150.2,,,,,,,,
1415.903574,12619,,,,,,,,
1419.403355,13207.8,,,,,,,,
1422.89819,12669.4,,,,,,,,
1426.388091,12598,,,,,,,,
1429.873069,13050.2,,,,,,,,
