duplicate_group,sha256,copies,source,relative_path
20,07c4d0c3da8941c05348e0c5f8953362c5f8835eb7319f9915c7f350ed156343,3,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_100fM_rep2_acc2.csv
20,07c4d0c3da8941c05348e0c5f8953362c5f8835eb7319f9915c7f350ed156343,3,curated,Raman_spectra_data/Stability/03_07_24/4ATP_100fM_rep2_acc2.csv
20,07c4d0c3da8941c05348e0c5f8953362c5f8835eb7319f9915c7f350ed156343,3,curated,Raman_spectra_data/Stability/19_05_24/4ATP_10fM_rep2_acc2.csv
21,07f4d156045eeded7889d7f103014540cd5462c35195275495f3c6eb24234540,2,master_portable,Precision y exactitud/10-09-24/Elegidos/Sustrato AAG/AAB_4 ATP_Sig_750_5_5_L_S1.csv
21,07f4d156045eeded7889d7f103014540cd5462c35195275495f3c6eb24234540,2,master_portable,Precision y exactitud/10-09-24/Sustrato AAG/AAB_4 ATP_Sig_750_5_5_L_S1.csv
22,0830996777c275bde9a2dbdc5855cca6ee11cc2989e096120984fae02b63f2cb,2,curated,Raman_spectra_data/Blind samples/Processed spectra/blank_rep1_acc1_blank_subtracted_processed.csv
22,0830996777c275bde9a2dbdc5855cca6ee11cc2989e096120984fae02b63f2cb,2,curated,Raman_spectra_data/Calibration curve/Processed spectra/blank_rep1_acc1_blank_subtracted_processed.csv
23,0832d9a4463c8dd4cd2c584f035f152f1ab89daf61101578f1921e1aad2a3038,3,curated,Raman_spectra_data/Analytical Enhancement/Original spectra/Al_4-ATP-10^-2M_C1_M1_I1.csv
23,0832d9a4463c8dd4cd2c584f035f152f1ab89daf61101578f1921e1aad2a3038,3,master_benchtop,24-10-30/4-ATP/Al/Al_4-ATP-10^-2M_C1_M1.csv
23,0832d9a4463c8dd4cd2c584f035f152f1ab89daf61101578f1921e1aad2a3038,3,master_benchtop,24-10-30/4-ATP/Al/Test/Al_4-ATP-10^-2M_C1_M1_t.csv
24,0841065cd7fd5df680337c470cec09d44d9abac83725b15620ff5927b1c2de58,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-13M_750_5_5_M_S2.csv
24,0841065cd7fd5df680337c470cec09d44d9abac83725b15620ff5927b1c2de58,2,master_portable,Test 4-ATP/Elegidos/24-09-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-13M_750_5_5_M_S2.csv
