manifest_order,prepared_file,prepared_sha256,sample_type,concentration_M,concentration_label,prepared_replicate,prepared_accumulation,source_collection,source_master_path,source_master_column_index,source_master_column_name,source_scan_id,source_date,source_setting,source_replicate,intensity_max_abs_difference,axis_max_abs_difference,axis_match_1e-5,concentration_agrees,expected_calibration_date,expected_calibration_setting,date_matches_expected,setting_matches_expected,lineage_class,scientific_status,source_reuse_count,source_scan_first_prepared_file,source_scan_is_reused,statistical_independence_status
21,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc1.csv,725fc0376c9197d12dd054cc0b19d9abb958351fb5d2b54b6e8b8441b8a78e2b,sample,1e-07,100nM,2,1,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,1,1,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#1,24-09-24,750_5_5_H,2,0.0,0.3993705685700206,False,True,03-07-24,750_5_5_L,False,False,exact_intensity_acquisition_context_and_axis_conflict,publication_snapshot_only_mixed_acquisition_and_axis,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc1.csv,False,no_exact_reuse_detected_within_prepared_set
22,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc2.csv,779915021bda01b950189763574c6fc5ce85e6f91cc668fb43a04276ff1ba21a,sample,1e-07,100nM,2,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,2,2,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#2,24-09-24,750_5_5_H,2,0.0,0.3993705685700206,False,True,03-07-24,750_5_5_L,False,False,exact_intensity_acquisition_context_and_axis_conflict,publication_snapshot_only_mixed_acquisition_and_axis,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc2.csv,False,no_exact_reuse_detected_within_prepared_set
23,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc3.csv,9fbdd909d3722a51024d2b02f2e3e0e987f33575272530c657d16ff2803c8e44,sample,1e-07,100nM,2,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,3,3,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#3,24-09-24,750_5_5_H,2,0.0,0.3993705685700206,False,True,03-07-24,750_5_5_L,False,False,exact_intensity_acquisition_context_and_axis_conflict,publication_snapshot_only_mixed_acquisition_and_axis,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc3.csv,False,no_exact_reuse_detected_within_prepared_set
24,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc4.csv,3a620b959ac2752783a486eb6034927809dea9ed010d306e3bc58c1670ee6b8a,sample,1e-07,100nM,2,4,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,4,4,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#4,24-09-24,750_5_5_H,2,0.0,0.3993705685700206,False,True,03-07-24,750_5_5_L,False,False,exact_intensity_acquisition_context_and_axis_conflict,publication_snapshot_only_mixed_acquisition_and_axis,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc4.csv,False,no_exact_reuse_detected_within_prepared_set
25,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc5.csv,423e45af1568c8676db562792acff421a352bca37ae8e594e35d79a91b0b1b6b,sample,1e-07,100nM,2,5,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv,5,5,Test 4-ATP/24-09-24/4 ATP/750_5_5_H/AAB_4 ATP_10^-7M_750_5_5_H_S2.csv#5,24-09-24,750_5_5_H,2,0.0,0.3993705685700206,False,True,03-07-24,750_5_5_L,False,False,exact_intensity_acquisition_context_and_axis_conflict,publication_snapshot_only_mixed_acquisition_and_axis,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep2_acc5.csv,False,no_exact_reuse_detected_within_prepared_set
26,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc1.csv,d95b0c3c048b644c3b6b4d1e444b8a29505470d29925ebd6c4c5e14380f0d666,sample,1e-07,100nM,3,1,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,1,1,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#1,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc1.csv,False,no_exact_reuse_detected_within_prepared_set
27,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc2.csv,41037c0526734102687cea2ec7cec9c6dcfd37eabff18318357178d66c6ecb23,sample,1e-07,100nM,3,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,2,2,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#2,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc2.csv,False,no_exact_reuse_detected_within_prepared_set
28,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc3.csv,4c569f2732824ac9b3756b560865aefecf69b269c8a00d4bbabae30330fbf330,sample,1e-07,100nM,3,3,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,3,3,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#3,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc3.csv,False,no_exact_reuse_detected_within_prepared_set
29,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc4.csv,90e67abe167d5e7fb1a81275f062d7cb223a9419d798ef5618266a70e01bd821,sample,1e-07,100nM,3,4,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,4,4,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#4,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc4.csv,False,no_exact_reuse_detected_within_prepared_set
30,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc5.csv,73d79c6760f3792beff812e232aa097029292faa3c7ce943dfd7b6189fcb70a3,sample,1e-07,100nM,3,5,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv,5,5,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S1.csv#5,03-07-24,750_5_5_L,1,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep3_acc5.csv,False,no_exact_reuse_detected_within_prepared_set
