Raman shift (cm-1),RM_AS,RM_HS_V1,RM_HS_V2,RM_HS_V3
1241.112336,155.7769297,126.7602795,39.16937516,66.53838
1240.137832,152.6196214,129.2367571,40.74311753,61.51742
1239.163158,146.7119156,132.2815408,42.10883839,59.95641
1238.188314,144.0941414,137.0851414,44.15144782,63.89346
1237.2133,146.0261505,143.4456964,47.03119896,67.58859
1236.238115,150.4304139,149.7913129,51.63432574,68.89958
1235.262761,154.9022843,157.3992894,58.63612872,73.48927
1234.287237,161.5795206,167.9680771,66.92161746,81.07997
1233.311543,172.368455,181.54942,74.63464464,92.04634
1232.335678,172.5341853,191.2090581,80.23632526,99.6453
1231.359644,165.5077183,192.7247909,83.08638457,95.63445
1230.383439,157.6185208,187.1664252,83.25952785,89.35549
1229.407064,144.6408315,176.0991333,80.54017796,85.11561
1228.430518,135.2226069,164.5118003,76.23533819,81.82953
1227.453802,125.1488558,154.9586982,74.0107122,81.19589
1226.476916,121.164389,149.8783029,75.18773601,80.96254
1225.499859,120.1198911,145.9305679,76.59304536,81.71787
1224.522632,110.3831328,139.2002329,74.95392358,82.81392
1223.545235,107.5696214,134.0631028,70.68264324,82.03626
1222.567667,108.8600783,132.8531653,67.39451923,82.73651
1221.589928,112.0593513,137.6024401,68.30683492,93.11141
1220.612018,124.7041671,149.9029454,72.92647661,106.3168
1219.633938,143.2652942,166.9828339,79.20525031,116.12575
1218.655688,162.8392632,181.8731061,86.38590619,122.82908
1217.677266,174.8180542,189.4330082,92.40707462,121.85909
1216.698674,185.0521474,195.8180199,94.40651994,124.60418
1215.719911,193.729186,203.1808296,93.06251696,129.6754
1214.740977,195.3525247,207.4275521,90.65321413,132.50782
1213.761872,194.2149751,206.9050001,87.61751273,132.93493
1212.782596,189.636612,199.8834901,84.58370939,126.39563
1211.80315,186.73916,195.1530557,84.0221929,127.61174
1210.823532,190.4840491,197.2912265,86.35540057,134.83652
1209.843743,191.7692699,194.5044302,87.14890369,138.42211
1208.863783,174.5925845,177.1940841,82.56940007,134.21193
1207.883652,148.1865348,148.6770661,73.44813309,116.51484
1206.90335,124.0249937,119.3898999,62.77019265,97.74591
1205.922877,109.5297589,98.62363936,55.00491937,85.94033
1204.942232,109.8092467,90.13330829,53.41429952,82.55611
1203.961416,111.4457254,87.05080493,55.73478783,83.1654
1202.980429,113.4015032,83.47843338,58.50836949,78.97764
1201.99927,107.6271425,80.34928653,60.90612848,72.85351
1201.01794,104.2037368,82.712084,62.47385487,68.68159
1200.036439,114.9865502,93.84217713,64.06319566,68.56128
1199.054766,123.9664246,108.9690203,68.0784251,70.36807
1198.072921,135.45053,129.3201541,75.52650257,74.47847
1197.090905,152.2086827,155.1606731,85.47573516,78.93403
1196.108718,166.6995267,179.5534799,95.36820857,77.30735
1195.126358,176.83162,200.3202165,102.2509941,72.96794
1194.143827,185.1120674,218.4941336,104.6931169,72.13788
1193.161125,194.4874677,237.6769223,102.9821232,77.5801
1192.17825,202.4870569,255.1988554,98.74314939,83.75626
1191.195204,206.6562177,266.3866611,93.78434257,88.68224
1190.211986,211.8443369,272.5634279,89.05195413,94.29557
1189.228596,216.9970033,275.2911668,84.93042722,99.78062
1188.245034,223.0588646,280.5664757,81.30417239,107.2304
1187.2613,229.8876864,282.2607128,76.64551867,112.69998
1186.277394,227.5517774,273.268495,68.67148513,115.35432
1185.293316,222.2785499,261.3810043,57.95125899,114.20561
1184.309066,215.220104,247.9152784,48.46866244,105.90714
1183.324644,213.2778283,236.31344,43.65886847,99.20073
1182.34005,217.431915,227.2139544,43.52359294,95.92682
1181.355283,212.7860647,215.904079,44.04976743,94.18249
1180.370345,205.4905386,201.4054567,40.90251431,90.50504
1179.385234,189.9189323,181.3386066,34.51887717,76.58507
1178.399951,171.0536179,162.7219761,27.86521923,61.63982
1177.414495,165.1420628,153.2447407,23.01219784,54.04772
1176.428867,159.9250297,149.783012,23.46546842,50.91157
1175.443066,155.7434553,150.5653276,31.96628862,48.69945
1174.457093,158.5593855,157.6098531,44.58171972,46.79847
1173.470948,159.1470008,164.6662946,53.93330209,46.85988
1172.48463,155.5549663,167.7594468,56.97981912,42.41371
1171.498139,158.99677,175.0659019,57.6407137,40.65681
1170.511476,174.1988753,189.5174807,62.01960092,52.1868
1169.52464,186.930184,202.1452796,69.3315256,63.12662
1168.537632,189.0578839,205.2683137,72.70806169,64.84312
1167.55045,184.130301,202.23677,71.2861855,61.3843
1166.563096,180.775041,199.6539712,71.48217743,61.1384
1165.575569,183.6473964,202.6783358,76.01439672,65.34374
1164.587869,191.586323,209.5845294,82.83611718,65.29816
1163.599996,200.7474857,212.9308713,90.50577693,67.84642
1162.611951,203.623046,211.5629633,97.26556002,74.3685
1161.623732,198.409157,205.4108606,101.8760876,75.19487
1160.63534,187.0281883,194.3948124,105.1061595,71.84767
1159.646775,179.1634252,181.3317816,107.0478929,69.38954
1158.658037,169.9675437,165.1735956,107.9252212,70.59301
1157.669126,163.075638,149.6242595,110.099878,76.83441
1156.680042,168.5718406,140.8921123,115.8235858,86.73785
1155.690785,175.7936027,137.3498045,125.675681,97.23495
1154.701354,189.8274563,139.7702214,139.2987168,113.22026
1153.71175,205.989226,149.5243392,156.4672195,136.79472
1152.721972,228.0363434,168.8431078,178.9239224,168.95787
1151.732021,262.0892388,200.1272167,207.5185359,212.07663
1150.741897,295.1228978,239.3686901,237.213927,258.17366
1149.751599,328.2274759,282.3425295,262.1452472,304.52023
1148.761128,358.3379648,329.7273846,282.5063559,349.67843
1147.770483,392.1046469,387.1043256,301.8999036,400.84055
1146.779665,430.2861415,453.5745616,320.8211894,460.61565
1145.788673,457.102463,519.2061625,334.5082475,510.4989
1144.797507,471.3337025,581.3312569,339.478286,551.63417
1143.806168,484.6082056,648.2607873,339.4896398,593.63711
1142.814655,501.4679961,723.363555,339.9476307,634.89845
1141.822968,515.1590122,799.8345828,338.7378423,668.46695
1140.831107,523.7372852,866.1185439,328.1214565,691.2894
1139.839072,517.7299639,913.9742616,306.454289,706.70689
1138.846864,496.6760317,946.2755151,280.4328237,708.31632
1137.854481,468.6498054,966.6134137,253.6340968,695.52736
1136.861924,436.7995276,972.0068203,222.6291425,670.50018
1135.869194,401.7284435,957.4248336,186.0921571,632.73438
1134.876289,357.6586776,923.1924711,149.5178372,585.73531
