Raman shift (cm-1),RP_AS,RP_HS_V2,RP_HS_V3,RP_HS_V4
525.4327518,71.48640826,67.28735333,57.43553074,103.29475
530.2581327,49.57145502,85.68773333,124.4074112,90.07621
535.076155,63.66505975,111.34033,146.064611,128.90662
539.8868309,33.33970203,148.8237667,133.8862238,96.31269
544.6901726,10.31942717,73.81388667,105.4741368,103.88674
549.4861922,93.02053963,34.32833333,64.7043574,39.72764
554.2749019,69.48712451,37.65433333,46.51738438,65.36927
559.0563139,6.824025724,33.30421,22.34274728,5.61406
563.8304402,7.545175755,23.96027333,53.55074864,12.34625
568.597293,51.58882779,40.90671333,122.2339372,87.05992
573.3568844,26.55857028,17.08269667,87.97275927,122.10816
578.1092263,82.24617808,34.12062667,31.27384,56.39352
582.8543308,148.7743049,89.69588333,10.73837702,14.00134
587.5922101,115.7062625,57.99059,18.01925322,21.81467
592.322876,109.0941171,50.17867333,33.11990977,14.64622
597.0463405,130.5884617,105.0313167,22.24838991,20.39015
601.7626157,82.52224734,80.38852333,60.30136572,68.2344
606.4717135,115.0392382,72.14139667,91.76241904,71.2994
611.1736458,132.4883217,83.9306,33.2971075,15.08346
615.8684246,49.43765821,51.52763667,-18.98103986,-4.61534
620.5560617,72.80168485,13.98730667,8.436611168,-2.27216
625.2365691,78.70050559,15.05979,27.520172,41.12952
629.9099585,20.68618927,20.05856333,-9.227402221,11.07006
634.5762419,38.31146558,36.23897667,0.507453028,51.44942
639.2354312,88.71542372,50.05595667,70.31162283,71.96589
643.887538,29.17846802,126.1175867,138.4934788,193.92378
648.5325743,-27.95074529,155.1053967,148.568572,175.46107
653.1705518,62.03216599,111.8106133,104.1370559,120.56288
657.8014823,41.66458888,67.85491,61.62242811,41.00489
662.4253775,-55.43848696,42.93173667,47.48761458,21.12626
667.0422493,-21.14841009,75.01534333,90.52591282,144.04641
671.6521092,18.89084897,43.35788333,115.1666974,108.51077
676.2549691,6.237628879,59.18468,98.51005107,138.60007
680.8508407,7.592480424,50.85444333,98.39938885,131.7118
685.4397355,32.98054475,24.28198,40.22429075,42.63199
690.0216654,13.54503306,8.915193333,-31.0249867,-35.59228
694.5966419,39.63083957,12.60695333,-3.420354625,-22.89524
699.1646767,24.13314261,-0.953806667,49.26998254,83.18487
703.7257814,23.61621496,41.69023667,77.30934325,77.73706
708.2799676,69.02582403,87.1423,81.598393,74.03042
712.827247,159.7574994,129.0366867,63.76676061,67.56701
717.367631,196.0472578,147.9858967,56.91633413,70.38644
721.9011314,75.20094616,75.38330667,30.5922942,49.26039
726.4277595,27.12702939,14.59378667,4.799651235,-37.00958
730.9475271,51.33407567,8.490276667,4.366277238,17.79279
