Wavelength,Al_4-ATP-10^-2M_C1_M1_I1
1869.22573745869,6.54449091058922
1868.35879167849,7.487348987432238
1867.49169994282,8.549241320068482
1866.62446222022,9.823676360050499
1865.75707847916,11.416826920861565
1864.88954868814,13.536405780240905
1864.02187281565,16.439246248267693
1863.15405083015,20.26642679617525
1862.2860827001,24.89598854688088
1861.41796839396,29.940186628746712
1860.54970788016,34.89153781507946
1859.68130112714,39.302315942321435
1858.81274810332,42.86988362227541
1857.94404877711,45.398298624709724
1857.07520311692,46.72338305041167
1856.20621109114,46.71324981147531
1855.33707266816,45.377392101086755
1854.46778781635,43.017261823207726
1853.59835650408,40.28443368755722
1852.7287786997,38.03072779152876
1851.85905437155,36.97690252423578
1850.98918348799,37.39104422448286
1850.11916601732,38.989888001499146
1849.24900192787,41.140722676320664
1848.37869118796,43.24864939022743
1847.50823376586,45.08144078062144
1846.63762962989,46.81837672536858
1845.7668787483,48.80792237283772
1844.89598108938,51.23157398072755
1844.02493662139,53.92227285303566
1843.15374531256,56.43659606794675
1842.28240713116,58.27731787445583
1841.4109220454,59.08441682663006
1840.5392900235,58.67630807680964
1839.66751103368,56.947239089415746
1838.79558504415,53.74874144211209
1837.92351202309,48.90337648817413
1837.05129193869,42.38859369192913
1836.17892475912,34.56490588705654
1835.30641045254,26.24957564218346
1834.43374898711,18.524800853259325
1833.56094033098,12.357500199281574
1832.68798445227,8.235240176716273
1831.81488131912,6.021215882577339
1830.94163089963,5.104467617790421
1830.06823316192,4.747432787529941
1829.19468807409,4.416668636299019
1828.32099560421,3.934860377014798
1827.44715572036,3.43228172337505
1826.57316839061,3.1867643446810776
1825.69903358303,3.4734957905044674
1824.82475126565,4.492184873067712
1823.95032140652,6.345093062454673
1823.07574397366,8.997318767802877
1822.20101893509,12.209860274473842
1821.32614625883,15.537737751741613
1820.45112591286,18.491021285051207
1819.57595786519,20.8100848955621
1818.70064208379,22.663899368001246
1817.82517853663,24.617445899592763
1816.94956719167,27.377605586959895
1816.07380801686,31.4743718914358
1815.19790098015,37.06724542901873
1814.32184604946,43.973978906425145
1813.44564319272,51.84499924058252
1812.56929237784,60.29566373266021
1811.69279357273,68.88413420320448
1810.81614674526,77.00698579724067
1809.93935186334,83.88485192240621
1809.06240889482,88.74388169016207
1808.18531780757,91.12774971267
1807.30807856946,91.15599166570235
1806.43069114831,89.54473533856722
1805.55315551197,87.33253068380776
1804.67547162825,85.4406105805077
1803.79763946498,84.32577765295471
1802.91965898996,83.93295103306318
1802.04153017098,83.94331935230184
1801.16325297583,84.12240967737516
1800.28482737228,84.5403033883697
1799.4062533281,85.54969173351463
1798.52753081105,87.57883289261963
1797.64865978887,90.92219146172293
1796.76964022929,95.68651069766486
1795.89047210005,101.88244995402688
1795.01115536886,109.50949879354586
1794.13169000343,118.50616019055863
1793.25207597145,128.5803087161794
1792.37231324061,139.04695195595144
1791.4924017786,148.81083102609088
1790.61234155307,156.55854742105095
1789.73213253169,161.09965870917574
1788.85177468209,161.68229782765695
1787.97126797193,158.1127312910213
1787.09061236883,150.65341681974724
1786.2098078404,139.8300605216474
1785.32885435426,126.30268118566748
1784.447751878,110.8673019770378
1783.56650037922,94.54907670616038
1782.68509982549,78.6519070271826
1781.80355018438,64.60505008063645
1780.92185142346,53.59850128452569
1780.04000351026,46.225918484779235
1779.15800641234,42.38977385478209
1778.27586009721,41.52086534954575
1777.39356453241,42.942856195720445
1776.51111968543,46.145139874189496
1775.62852552379,50.81540326411074
1774.74578201496,56.661906413095274
1773.86288912644,63.2140080722462
1772.97984682568,69.78565686601246
1772.09665508016,75.61521122346167
1771.21331385732,80.03302056914049
1770.32982312461,82.51471108036344
1769.44618284945,82.62435830987012
1768.56239299925,79.97246732640022
1767.67845354145,74.3070005981941
1766.79436444343,65.74492286113279
1765.9101256726,55.01120820147214
1765.02573719632,43.47390373529244
1764.14119898197,32.85498082567749
1763.25651099691,24.73257703582295
1762.3716732085,20.110042209449077
1761.48668558407,19.254372142753994
1760.60154809096,21.80779837764442
1759.71626069649,27.03833571507874
1758.83082336796,34.08098753086468
1757.94523607269,42.09750300346644
1757.05949877796,50.387979491900516
1756.17361145105,58.53400308777048
1755.28757405924,66.59083552267421
1754.40138656979,75.23734481863059
1753.51504894995,85.7543486766671
1752.62856116696,99.78389738155731
1751.74192318805,118.96399696878414
1750.85513498045,144.6276614381362
1749.96819651137,177.7162930492055
1749.08110774801,218.89365337551007
1748.19386865756,268.69056879206545
1747.3064792072,327.5064266329597
1746.41893936411,395.44869572927746
1745.53124909545,472.15764509637677
1744.64340836836,556.7763959865332
1743.75541715,648.0680700319836
1742.86727540749,744.541469712263
1741.97898310795,844.4909932254403
1741.0905402185,945.9862099514395
1740.20194670624,1046.8705370116736
1739.31320253826,1144.772755674884
1738.42430768164,1237.1447440774398
1737.53526210345,1321.389666823925
1736.64606577076,1395.1095767261202
1735.75671865061,1456.3937145230211
1734.86722071006,1504.0117309891016
1733.97757191613,1537.4270842121898
1733.08777223583,1556.6486696772822
1732.19782163619,1562.001559875991
1731.3077200842,1553.9019428120123
1730.41746754686,1532.702795307328
1729.52706399114,1498.6423156774454
1728.63650938402,1451.8859245104543
1727.74580369246,1392.6451107652897
1726.8549468834,1321.3754087021875
1725.9639389238,1239.032087799755
1725.07277978058,1147.2887815968159
1724.18146942065,1048.5847896673802
1723.29000781095,945.9096603855069
1722.39839491834,842.3535654076653
1721.50663070975,740.6192295795554
1720.61471515203,642.7673417367253
1719.72264821207,550.2990157963002
1718.83042985672,464.3979386410937
1717.93806005283,386.0820406723295
1717.04553876724,316.1855721790162
1716.15286596679,255.24975239481876
1715.26004161828,203.42196562359385
1714.36706568854,160.42591763109718
1713.47393814435,125.62096956274695
1712.58065895251,98.12426255637577
1711.6872280798,76.92866810183355
1710.79364549299,60.945414865435104
1709.89991115882,48.98676280957177
1709.00602504406,39.81737046845839
1708.11198711544,32.353238498964195
1707.21779733969,25.92309331816383
1706.32345568353,20.420163575781704
1705.42896211365,16.220879397251547
1704.53431659677,13.868520001451873
1703.63951909957,13.667618641573762
1702.74456958873,15.423235988913337
1701.8494680309,18.483579689789707
1700.95421439276,22.042035319751054
1700.05880864094,25.495291255635756
1699.16325074208,28.652954557723078
1698.26754066281,31.715001946658962
1697.37167836975,35.083983511246736
1696.47566382949,39.174220133554215
1695.57949700864,44.32725333766098
1694.68317787378,50.77933231320459
1693.78670639149,58.568078816225494
1692.89008252832,67.40292077332668
1691.99330625084,76.66723039759523
1691.09637752559,85.65095154394348
1690.1992963191,93.8760505496481
1689.3020625979,101.25903933146223
1688.4046763285,108.00791634200132
1687.5071374774,114.38516454492738
1686.6094460111,120.53105562296811
1685.71160189607,126.44902767472429
1684.8136050988,132.1152686585154
1683.91545558574,137.59497941790426
1683.01715332335,143.07803254221562
1682.11869827807,148.82528450941894
1681.22009041632,155.05625649932907
1680.32132970453,161.82520728857276
1679.42241610912,168.95448159148225
1678.52334959647,176.0762816929397
1677.62413013299,182.76345877165227
1676.72475768505,188.6799031384232
1675.82523221902,193.69515600530593
1674.92555370126,197.93271296852785
1674.02572209812,201.71833983427908
1673.12573737593,205.41008974670183
1672.22559950104,209.15913267312123
1671.32530843975,212.72362811315585
1670.42486415837,215.4557162673483
1669.5242666232,216.47769209919045
1668.62351580052,214.9517839112363
1667.72261165662,210.33475435110864
1666.82155415775,202.55519896308667
1665.92034327019,192.07421105513217
1665.01897896016,179.8023630274759
1664.11746119391,166.88205533749374
1663.21578993766,154.40067224719698
1662.31396515763,143.15303801201821
1661.41198682002,133.5585620879921
1660.50985489102,125.73398127332038
1659.60756933682,119.62018059006532
1658.70513012358,115.06159978883784
1657.80253721749,111.81727889358622
1656.89979058467,109.54723481042645
1655.99689019129,107.825998249711
1655.09383600346,106.20972262866316
1654.19062798732,104.33051410531422
1653.28726610896,101.93847170158043
1652.3837503345,98.84629617833991
1651.48008063001,94.84690330928011
1650.57625696159,89.72175660305493
1649.67227929529,83.36129897082527
1648.76814759719,75.92337198088092
1647.86386183332,67.92994941397905
1646.95942196972,60.22182574587968
1646.05482797243,53.74010234197215
1645.15007980745,49.19729059848198
1644.2451774408,46.79450112327772
1643.34012083847,46.147878656084615
1642.43490996644,46.47839881276844
1641.5295447907,46.974031132978595
1640.6240252772,47.16023846782419
1639.71835139191,47.13394585914362
1638.81252310076,47.572986270471496
1637.90654036968,49.49042239486743
1637.00040316461,53.78624580877808
1636.09411145145,60.77599071013519
1635.1876651961,69.94695528474573
1634.28106436446,80.08804618435822
1633.3743089224,89.7137079707682
1632.46739883581,97.53968095785658
1631.56033407053,102.79278728805373
1630.65311459241,105.3065453538186
1629.74574036731,105.4916718541938
1628.83821136103,104.24952483924903
1627.9305275394,102.79641564052983
1627.02268886824,102.37349922614439
1626.11469531333,103.89748802377048
1625.20654684046,107.64552843813395
1624.29824341541,113.06185192002229
1623.38978500394,118.77855491431288
1622.48117157181,122.90588234499138
1621.57240308477,123.54826937648724
1620.66347950853,119.40972995705063
1619.75440080884,110.30920407492188
1618.84516695139,97.44787356690833
1617.9357779019,83.35699468096954
1617.02623362605,71.55956914011017
1616.11653408953,66.0466730435229
1615.206679258,70.68699121997432
1614.29666909713,88.67683082698238
1613.38650357256,122.11512196434383
1612.47618264994,171.74657589705552
1611.56570629489,236.86572223915329
1610.65507447302,315.3714427523385
1609.74428714995,404.00192035145545
1608.83334429126,498.7548975554085
1607.92224586256,595.37827437721
1607.0109918294,689.7282751178242
1606.09958215736,777.8596229913569
1605.18801681199,855.9081772115213
1604.27629575883,919.9742609382165
1603.36441896342,966.1861350629949
1602.45238639128,990.9927886365376
1601.54019800791,991.6224828730108
1600.62785377882,966.5860374210549
1599.7153536695,916.1088783966982
1598.80269764543,842.3982924621756
1597.88988567207,749.6518402012298
1596.97691771489,643.757187746593
1596.06379373933,531.7401558886426
1595.15051371084,421.0755814386683
1594.23707759482,318.9485749424754
1593.3234853567,231.52580959859515
1592.4097369619,163.3069785755187
1591.49583237579,116.64634972569772
1590.58177156376,91.54692176466575
1589.66755449119,85.82644146970756
1588.75318112343,95.68831540690778
1587.83865142585,116.56987816586289
1586.92396536377,143.9813015103456
1586.00912290253,174.04432876439256
1585.09412400745,203.61539656611123
1584.17896864383,230.11572978763814
1583.26365677699,251.33420217239438
1582.34818837219,265.41580994064196
1581.43256339472,271.0572558025603
1580.51678180984,267.76108786120324
1579.60084358282,255.961786732398
1578.68474867889,236.95284433477667
1577.76849706328,212.70108223601878
1576.85208870122,185.64377994910734
1575.93552355792,158.4447927523097
1575.01880159859,133.66628536590542
1574.10192278841,113.42508641105341
1573.18488709257,99.14378319768421
1572.26769447622,91.42888109966398
1571.35034490453,90.06032546646792
1570.43283834265,94.09097179041909
1569.51517475572,102.04691155289986
1568.59735410886,112.19765228017144
1567.67937636717,122.86497191039363
1566.76124149579,132.71381401882056
1565.84294945978,140.92699556203263
1564.92450022424,147.20411787111667
1564.00589375424,151.62218289588884
1563.08713001483,154.43063453217047
1562.16820897108,155.83715017223994
1561.24913058802,155.8624611010461
1560.32989483067,154.35356640879218
1559.41050166406,151.14409373560392
1558.49095105319,146.21986503613434
1557.57124296306,139.76302692388538
1556.65137735865,132.09326695883925
1555.73135420495,123.59590807375153
1554.81117346691,114.65415468756902
1553.89083510948,105.55914118236917
1552.97033909761,96.45249298051644
1552.04968539623,87.3879698883867
1551.12887397026,78.46903579331615
1550.20790478461,69.92544331269407
1549.28677780418,62.093894019709275
1548.36549299386,55.389962355946174
1547.44405031851,50.32249420474399
1546.52244974302,47.50574240263206
1545.60069123223,47.59527529465409
1544.67877475099,51.103467179039114
1543.75670026413,58.139884993702836
1542.83446773648,68.24091378711687
1541.91207713284,80.43718309763405
1540.98952841802,93.51454030728559
1540.06682155681,106.29120455988522
1539.14395651398,117.8045323308008
1538.22093325431,127.39736082996981
1537.29775174254,134.68766066047135
1536.37441194344,139.43990738247504
1535.45091382173,141.46781557399657
1534.52725734213,140.67467936186748
1533.60344246936,137.1639727087998
1532.67946916813,131.28164882421416
1531.75533740312,123.55876978779708
1530.83104713902,114.6336723455398
1529.90659834049,105.22872204613842
1528.9819909722,96.18943761413793
1528.05722499878,88.54506662806622
1527.13230038489,83.5159218857777
1526.20721709514,82.36703693448484
1525.28197509414,86.08270198862964
1524.35657434651,95.00966574824686
1523.43101481683,108.67341742182073
1522.5052964697,125.83109026560315
1521.57941926967,144.69688753904242
1520.65338318131,163.28075318220147
1519.72718816916,179.78515945514164
1518.80083419777,192.94178061296557
1517.87432123167,202.16530905910463
1516.94764923536,207.50514181120374
