Wavelength,AAB_4-ATP^10-15M_C2_M3_I1
1782.89566374841,34.81492642746432
1782.01381583522,36.54771181063204
1781.13181873729,42.03467317607428
1780.24967242217,51.96564700298346
1779.36737685736,56.366901859547966
1778.48493201039,54.30288049446312
1777.60233784874,55.51945178918646
1776.71959433992,59.388143035726124
1775.83670145139,60.44659682932151
1774.95365915064,61.55863302671807
1774.07046740512,64.41577857885996
1773.18712618228,66.08558264695235
1772.30363544956,66.57825201238603
1771.4199951744,67.25858184011811
1770.53620532421,67.7075959763388
1769.65226586641,65.98051700940131
1768.76817676839,60.34320220278716
1767.88393799755,53.50872701381545
1766.99954952127,49.95843820163431
1766.11501130693,48.670590547809816
1765.23032332187,44.19838278957321
1764.34548553346,34.05648781166599
1763.46049790903,23.601872583783674
1762.57536041591,20.20033706590204
1761.69007302144,22.265624447017814
1760.80463569292,23.73078362230165
1759.91904839764,24.0822130296189
1759.03331110291,22.322574907024325
1758.147423776,15.704692034886639
1757.26138638419,9.84273461548027
1756.37519889474,10.150108144135057
1755.4888612749,9.907972795376937
1754.60237349191,3.4046485448126322
1753.71573551301,-4.501825757336817
1752.82894730541,-8.562161041469622
1751.94200883633,-7.7367188774577915
1751.05492007297,-3.06967158249085
1750.16768098251,2.1126639647823398
1749.28029153216,6.9913179835741
1748.39275168907,12.875722934395746
1747.5050614204,17.7195820910504
1746.61722069332,23.377272850001937
1745.72922947495,34.99466368640694
1744.84108773244,47.5125581468233
1743.9527954329,53.37943689373211
1743.06435254346,56.449866267742365
1742.17575903119,62.72810165522946
1741.28701486321,70.2466366985527
1740.39812000659,76.53673830719235
1739.50907442841,84.64214202768304
1738.61987809571,94.15688644462232
1737.73053097557,97.37629600276205
1736.84103303502,92.82948754252763
1735.95138424108,88.77717493354288
1735.06158456079,87.75960900221786
1734.17163396115,84.39214530223165
1733.28153240916,78.69463445061977
1732.39127987181,76.22886998142403
1731.5008763161,77.27782432212453
1730.61032170898,75.87776615209421
1729.71961601741,70.20611932377541
1728.82875920836,68.0208601942075
1727.93775124876,73.76463773439721
1727.04659210553,79.06768060220558
1726.15528174561,78.65910778806709
1725.2638201359,76.84280605535952
1724.3722072433,72.02393177302392
1723.4804430347,61.65097566478012
1722.58852747699,54.02702689704626
1721.69646053702,54.31246861866417
1720.80424218167,56.31871100329182
