Wavelength,AAB_4-ATP^-15M_S1_C1_M1_I2
1146.386942,214.6359852
1147.377934,168.4273314
1148.368753,132.1334673
1149.359397,113.7719414
1150.349869,84.8163813
1151.340166,57.06129575
1152.330291,44.70698036
1153.320242,33.50920726
1154.310019,21.87720352
1155.299623,15.03370021
1156.289054,10.14296541
1157.278311,8.893877156
1158.267396,16.52544955
1159.256307,27.43165347
1160.245045,27.31245724
1161.23361,19.20793265
1162.222001,17.14659699
1163.21022,14.68519553
1164.198266,13.84751151
1165.186139,10.64896116
1166.173839,-5.937734081
1167.161366,-11.8679167
1168.14872,-7.499875501
1169.135901,-0.511438336
1170.12291,20.21002162
1171.109746,45.05086175
1172.096409,79.72190307
1173.082899,117.8559504
1174.069217,149.9008696
1175.055363,201.6495459
1176.041336,258.2558838
1177.027136,298.2389992
1178.012764,336.231945
1178.99822,364.9221862
1179.983503,386.1051691
1180.968614,402.9171598
1181.953553,406.5354557
1182.938319,400.6985229
1183.922914,375.3579045
1184.907336,342.1931786
1185.891586,303.6667743
1186.875664,252.7663142
1187.859569,211.0096648
1188.843303,163.9545257
1189.826865,107.0950661
1190.810255,66.09786065
1191.793473,37.64297687
1192.77652,11.07286906
1193.759394,-1.918467136
1194.742097,-1.958754922
1195.724628,-4.615020714
1196.706987,-2.2073027
1197.689175,4.738062975
1198.671191,16.32765362
1199.653035,30.08193528
1200.634708,37.12589301
1201.61621,47.38212102
1202.59754,51.1885198
1203.578698,54.38164872
1204.559686,61.61303982
1205.540502,67.21783157
1206.521146,81.98544714
1207.50162,82.95477641
1208.481922,74.56860729
1209.462053,74.15974149
1210.442013,72.04306891
1211.421801,75.07274179
1212.401419,75.91635922
1213.380866,73.73258377
1214.360142,80.05471698
1215.339246,84.86350362
1216.31818,84.89822337
1217.296943,87.54339607
1218.275536,87.43333995
1219.253957,81.68234857
1220.232208,72.30812942
1221.210288,59.98939568
1222.188197,55.96148255
1223.165936,55.26491307
1224.143504,48.16351509
1225.120902,35.54763635
1226.098129,22.43181904
1227.075185,20.56390113
1228.052072,17.47005373
1229.028788,24.80644756
1230.005333,39.11428255
1230.981708,23.24303904
1231.957913,12.99367655
1232.933948,18.90148254
1233.909812,22.6689296
1234.885507,33.50220333
1235.861031,40.33481695
1236.836385,39.92444361
1237.811569,34.15004523
1238.786583,39.62253018
1239.761427,48.78428423
1240.736101,49.74957469
1241.710606,62.11722654
1242.68494,65.71948492
1243.659105,59.76175543
1244.6331,62.29292478
1245.606925,62.39787769
1246.580581,65.74455453
1247.554067,65.70103826
1248.527383,59.57059591
1249.50053,67.64037246
1250.473507,65.28878903
1251.446314,55.32042357
1252.418953,71.93852259
1253.391421,79.81183351
1254.363721,74.62965702
1255.335851,79.66535983
1256.307812,76.14115945
1257.279603,77.95668924
1258.251226,86.44324499
1259.222679,82.18774859
1260.193963,75.22116052
1261.165078,70.12116564
1262.136023,70.83637778
1263.1068,73.82252646
1264.077408,78.29782045
1265.047847,80.6072992
1266.018117,67.3076469
1266.988218,57.26510569
1267.95815,54.34966485
1268.927914,49.03440715
1269.897508,53.49333205
1270.866934,54.29816608
1271.836191,44.12463913
1272.80528,30.53206165
1273.7742,14.05075661
1274.742952,17.04704349
1275.711534,31.12870614
1276.679949,34.25779825
1277.648195,28.95854176
1278.616273,17.88324524
1279.584182,15.79499713
1280.551923,33.3562797
1281.519495,53.9153693
1282.4869,56.88563541
1283.454136,61.40819527
1284.421204,66.42008257
1285.388103,67.22008461
1286.354835,76.30958162
1287.321399,81.41469241
1288.287794,80.00814591
1289.254022,81.86787612
1290.220081,84.77170714
1291.185973,72.78088018
1292.151697,88.21924708
1293.117253,67.09149377
1294.082641,-6.8007517
1295.047862,16.27378826
1296.012914,72.23375448
1296.977799,109.903744
1297.942517,156.4810165
1298.907067,190.3607812
1299.871449,230.2614808
1300.835664,252.5528843
1301.799711,270.7419501
1302.763591,303.691276
1303.727303,336.0649234
1304.690848,353.788307
1305.654226,356.8445647
1306.617436,358.5867305
1307.580479,344.2168888
1308.543355,326.7405743
1309.506063,308.086679
1310.468605,286.9494121
1311.430979,262.9703794
1312.393186,226.9989818
1313.355227,178.1497923
1314.3171,122.6494942
1315.278806,92.41789092
1316.240346,31.51917801
1317.201718,9.878524256
1318.162924,88.0363643
1319.123963,102.0194418
1320.084835,81.4632621
