#Wave,#Intensity1,#Intensity2,#Intensity1,#Intensity2,#Intensity3,#Intensity1,#Intensity2,#Intensity3,#Intensity2,#Intensity3,#Intensity2
2088.077868,6543,6017,7011,5889,5392,5928,5390,5198,7229,6157,7310
2087.247415,6543,5905,7067,5837,5424,5891,5395,5114,7282,6086,7320
2086.416824,6659,5960,6952,5808,5402,6059,5429,5212,7291,6231,7340
2085.586095,6584,5924,7036,5977,5416,5990,5296,5182,7319,6120,7445
2084.755228,6569,5977,7089,5881,5405,5960,5385,5070,7196,6186,7361
2083.924222,6545,5868,6957,5928,5402,5881,5374,5155,7280,6177,7336
2083.093078,6520,5974,6977,5812,5423,6046,5406,5174,7192,6126,7370
2082.261796,6575,5959,7042,5876,5415,6026,5483,5209,7289,6209,7429
2081.430376,6624,5968,7101,5948,5390,5918,5395,5170,7234,6178,7454
2080.598817,6649,5963,7032,5906,5445,5918,5411,5212,7187,6089,7442
2079.76712,6668,5777,6924,5891,5417,5977,5409,5129,7153,6151,7329
2078.935284,6574,6041,7000,5856,5476,5936,5422,5263,7126,6207,7322
2078.10331,6565,5925,6928,5832,5429,5996,5337,5108,7250,6216,7448
2077.271197,6634,5929,6988,5950,5408,6027,5407,5144,7254,6173,7392
2076.438946,6690,5912,7055,5943,5471,6030,5407,5219,7260,6178,7384
2075.606556,6667,5890,6920,5914,5469,5991,5443,5121,7159,6205,7504
2074.774028,6614,5992,7026,5864,5465,6046,5444,5170,7339,6097,7226
2073.941361,6591,5891,6961,5885,5340,5945,5420,5115,7139,6064,7341
2073.108556,6543,5943,6946,5795,5428,5936,5310,5204,7244,6167,7300
2072.275612,6568,5906,6958,5939,5455,5984,5443,5239,7219,6087,7465
2071.442529,6661,5999,7001,5840,5435,5995,5453,5122,7163,6204,7394
2070.609307,6670,5896,7034,5844,5449,5960,5443,5163,7204,6184,7436
2069.775947,6545,5976,6982,5912,5443,5981,5388,5227,7294,6192,7441
2068.942448,6574,6008,7023,5957,5317,5996,5410,5190,7133,6149,7341
2068.10881,6611,6022,7042,5848,5367,5997,5381,5225,7237,6151,7331
2067.275033,6605,5904,6916,5921,5428,6075,5455,5165,7272,6117,7457
2066.441117,6595.502373,6016,7063,5836,5471,5860,5364,5202,7184,6201,7464
2065.607063,6586.003165,5977,7120,5823,5421,6132,5423,5098,7256,6158,7417
2064.772869,6576.502374,5967,6992,5921,5497,6041,5405,5156,7238,6151,7441
2063.938537,6567,5985,6945,5939,5393,6050,5348,5120,7327,6219,7416
2063.104066,6638,6043,7051,5957,5431,5927,5360,5173,7246,6074,7449
2062.269455,6566,5908,7157,5864,5449,5983,5380,5085,7183,6180,7417
2061.434706,6619,5917,6998,5872,5416,5967,5443,5161,7234,6210,7293
2060.599817,6533,5950,7032,5952,5330,5979,5354,5154,7160,6082,7423
2059.764789,6704,6012,6942,5911,5412,5979,5393,5147,7298,6160,7576
