#Wave,#Intensity1,#Intensity2,#Intensity3
2029.610901,6963,5894,5476
2028.770705,7052,6019,5545
2027.93037,7085,5916,5426
2027.089894,7065,5973,5595
2026.249278,7095,5975,5423
2025.408521,7089,5947,5488
2024.567625,7125,5909,5520
2023.726588,7121,5941,5440
2022.88541,7044,5935,5509
2022.044092,7153,5943,5537
2021.202634,7183,5945,5455
2020.361035,6979,5979,5568
2019.519295,6992,6018,5443
2018.677415,7162,6042,5506
2017.835394,7027,5962,5525
2016.993233,7085,6011,5568
2016.150931,7094,6042,5483
2015.308489,7056,5948,5525
2014.465905,7145,6032,5493
2013.623181,7114,5984,5521
2012.780317,7036,5927,5445
2011.937311,7180,5965,5531
2011.094165,7150,6053,5559
2010.250877,7236,5973,5560
2009.407449,7045,6012,5533
2008.56388,7085,6069,5496
2007.72017,7210,5974,5612
2006.876319,7136,6093,5539
2006.032327,7053,5981,5525
2005.188194,7206,5988,5512
2004.34392,7232,5956,5561
2003.499505,7119,6069,5572
2002.654948,7285,6008,5524
2001.810251,7144,5981,5579
2000.965412,7074,5956,5551
2000.120432,7261,6040,5575
1999.275311,7201,5975,5524
1998.430049,7186,5996,5536
1997.584645,7183,5925,5534
1996.7391,7211,6047,5534
1995.893414,7126,6044,5530
1995.047586,7191,6048,5516
1994.201617,7136,5925,5544
1993.355506,7197,6025,5580
1992.509254,7234,6056,5607
1991.66286,7278,6007,5553
1990.816325,7292,6081,5549
1989.969648,7179,6050,5489
1989.122829,7229,5981,5559
1988.275869,7239,6047,5558
1987.428768,7265,6147,5553
1986.581524,7148,6034,5605
1985.734139,7246,6029,5560
1984.886612,7225,6044,5568
1984.038943,7232,6035,5585
1983.191133,7103,6151,5609
1982.34318,7251,6087,5523
1981.495086,7190,6077,5608
1980.64685,7211,6096,5578
1979.798472,7185,6103,5446
1978.949951,7326,5999,5611
1978.101289,7187,6052,5576
1977.252485,7236,6158,5656
1976.403539,7284,6088,5604
1975.554451,7259,6120,5672
1974.70522,7171,6130,5605
1973.855848,7291,6084,5632
1973.006333,7247,6048,5583
1972.156676,7256,6064,5626
1971.306877,7235,6079,5598
1970.456935,7337,6122,5688
1969.606851,7272,6012,5565
1968.756625,7278,6130,5619
1967.906257,7327,6064,5634
1967.055746,7238,5997,5632
1966.205093,7232,6030,5625
1965.354297,7287,6071,5593
1964.503359,7382,6127,5611
1963.652278,7303,6050,5626
1962.801054,7369,6098,5601
1961.949688,7279,6122,5586
1961.09818,7305,6062,5629
1960.246529,7211,6089,5610
1959.394735,7364,6113,5641
1958.542798,7342,6065,5601
1957.690719,7319,6041,5527
1956.838497,7180,6098,5759
1955.986132,7296,6049,5663
1955.133625,7329,6043,5613
1954.280974,7224,6014,5617
1953.428181,7442,6067,5613
1952.575244,7243,6079,5674
1951.722165,7299,6091,5671
1950.868943,7268,6091,5600
1950.015578,7386,6119,5565
1949.162069,7318,6099,5569
1948.308418,7257,6088,5632
1947.454624,7265,6091.998994,5609
1946.600686,7176,6095.998659,5673
1945.746605,7334,6099.998994,5607
1944.892381,7265,6104,5582
1944.038014,7282,6209,5666
1943.183504,7212,6081,5600
1942.32885,7290,6076,5587
1941.474053,7267,6117,5708
1940.619113,7291,6042,5635
1939.764029,7290,6096,5594
1938.908802,7234,5983,5538
1938.053432,7267,5994,5617
1937.197918,7290,6145,5607
1936.34226,7271,6008,5587
1935.486459,7362,6185,5665
1934.630514,7441,6100,5653
1933.774426,7291,6106,5684
1932.918195,7300,6037,5692
1932.061819,7369,6161,5599
1931.2053,7385,6179,5636
1930.348637,7266,6049,5563
1929.49183,7384,6180,5709
1928.63488,7244,6097,5734
1927.777786,7348,6054,5688
1926.920548,7344,6101,5674
1926.063166,7341,6012,5734
1925.20564,7305,6097,5560
1924.347971,7295,6165,5733
1923.490157,7360,6163,5612
1922.632199,7408,6134,5593
1921.774098,7309,6105,5585
1920.915852,7400,6174,5610
1920.057462,7419,6047,5665
1919.198928,7291,6202,5628
1918.34025,7292,6058,5657
1917.481428,7332,6138,5695
1916.622461,7423,6116,5610
1915.763351,7347,6169,5642
1914.904096,7403,6123,5683
1914.044696,7421,6199,5723
1913.185153,7436,6127,5687
1912.325465,7414,6155,5686
1911.465633,7441,6169,5648
1910.605656,7431,6077,5635
1909.745535,7479,6196,5710
1908.885269,7334,6210,5738
1908.024859,7437,6194,5709
1907.164304,7405,6135,5696
1906.303605,7307,6138,5763
1905.442761,7460,6263,5636
1904.581772,7420,6144,5703
1903.720639,7392,6162,5645
1902.859361,7384,6188,5743
1901.997938,7380,6257,5700
1901.136371,7332,6260,5732
1900.274658,7520,6251,5713
1899.412801,7326,6167,5707
1898.550799,7459,6222,5685
1897.688652,7475,6305,5753
1896.826361,7513,6192,5790
1895.963924,7487,6201,5757
1895.101342,7377,6152,5804
1894.238615,7362,6332,5677
1893.375744,7492,6214,5731
1892.512727,7401,6209,5831
1891.649565,7359,6221,5691
1890.786258,7358,6233,5803
1889.922805,7478,6353,5681
1889.059208,7503,6212,5705
1888.195465,7522,6238,5803
1887.331577,7423,6192,5823
1886.467544,7559,6168,5708
1885.603365,7498,6239,5778
1884.739041,7565,6303,5834
1883.874572,7403,6210,5775
1883.009957,7538,6171,5732
1882.145197,7561,6216,5768
1881.280291,7560.750147,6223.745437,5778
1880.41524,7560.500252,6231.492177,5772
1879.550043,7560.250315,6239.240221,5792
1878.684701,7560.000337,6246.989568,5757
1877.819213,7559.750315,6254.74022,5793
1876.95358,7559.500252,6262.492175,5792
