#Wave,#Intensity2
1394.014445,9499
1393.066301,9604
1392.117994,9491
1391.169522,9647
1390.220887,9722
1389.272088,9692
1388.323124,9542
1387.373996,9556
1386.424705,9484
1385.475249,9532
1384.525629,9451
1383.575845,9450
1382.625896,9326
1381.675784,9306
1380.725506,9271
1379.775065,9226
1378.824459,9279
1377.873689,9227
1376.922754,9212
1375.971655,9282
1375.020391,9187
1374.068962,9294
1373.117369,9357
1372.165612,9383
1371.213689,9289
1370.261602,9252
1369.30935,9188
1368.356933,9300
1367.404352,9010
1366.451605,9229
1365.498694,9371
1364.545617,9175
1363.592376,9255
1362.638969,9099
1361.685398,9211
1360.731661,9340
1359.777759,9235
1358.823692,9284
1357.86946,9276.437093
1356.915063,9268.872876
1355.9605,9261.307349
1355.005772,9253.740512
1354.050878,9246.172364
1353.095819,9238.602905
1352.140595,9231.032134
1351.185205,9223.460052
1350.22965,9215.886658
1349.273929,9208.311952
1348.318042,9200.735934
1347.36199,9193.158602
1346.405772,9185.579958
1345.449389,9178
1344.492839,9220
1343.536124,9036
1342.579243,9234
1341.622196,9246
1340.664984,9238
1339.707605,9277
1338.75006,9214
1337.79235,9188
1336.834473,9086
1335.87643,9121
1334.918222,9136
1333.959846,9229
1333.001305,9264
1332.042598,9040
1331.083724,9128
1330.124684,9070
1329.165477,9159
1328.206104,9151
1327.246565,9108
1326.286859,9075
1325.326987,9163
1324.366948,9030
1323.406743,9038
1322.446371,9014
1321.485832,9069
1320.525127,9067
1319.564255,8883
1318.603216,9067
1317.64201,9131
1316.680638,8988
1315.719099,9095
1314.757392,9111
1313.795519,9080
1312.833479,9140
1311.871271,9165
1310.908897,9087
1309.946356,8989
1308.983647,9071
1308.020771,9012
1307.057728,9103
1306.094518,9075
1305.13114,9048
1304.167595,9111
1303.203883,9016
1302.240003,9084
1301.275956,9053
1300.311741,9202
1299.347359,8994
1298.382809,8969
1297.418092,8967
1296.453207,9129
1295.488154,9088
1294.522934,9087
1293.557545,9068
1292.591989,9043
1291.626265,8994
1290.660374,9106
1289.694314,8978
1288.728086,9065
1287.761691,9090
1286.795127,8999
1285.828396,9027
1284.861496,9148
1283.894428,9091
1282.927192,9018
1281.959787,9010
1280.992215,9031
1280.024474,9122
1279.056565,9075
1278.088487,9097
1277.120241,9010
1276.151827,9118
1275.183244,8963
1274.214492,8905
1273.245572,8889
1272.276484,8971
1271.307226,8997
1270.3378,8958
1269.368206,8840
1268.398442,8957
1267.42851,9012
1266.458409,9045
1265.488139,9062
1264.5177,8966
1263.547092,9037
1262.576316,8903
1261.60537,9026
1260.634255,8995
1259.662971,9015
1258.691518,8999
1257.719896,8973
1256.748104,8908
1255.776143,8952
1254.804013,8904
1253.831714,8957
1252.859245,8897
1251.886607,8889
1250.913799,8903
1249.940822,9004
1248.967675,8842
1247.994359,8942
1247.020873,8835
1246.047217,8870
1245.073392,8929
1244.099397,8876
1243.125233,8849
1242.150898,8895
1241.176394,8952
1240.20172,8767
1239.226875,8853
1238.251861,8881
1237.276677,8779
1236.301323,8858
1235.325799,8841
1234.350104,8827
1233.37424,8849
1232.398205,8781
1231.422,8721
1230.445625,8867
1229.46908,8754
1228.492364,8742
1227.515478,8783
1226.538421,8864
1225.561194,8767
1224.583796,8734
1223.606228,8793
1222.628489,8790
1221.65058,8663
1220.6725,8888
1219.694249,8778
1218.715828,8842
1217.737236,8757
1216.758473,8831
1215.779539,8766
1214.800434,8758
1213.821158,8809
1212.841711,8805
1211.862094,8818
1210.882305,8781
1209.902345,8715
1208.922214,8768
1207.941912,8798
1206.961438,8796
1205.980794,8717
1204.999978,8765
1204.018991,8628
1203.037832,8854
1202.056502,8829
1201.075,8958
1200.093328,8852
1199.111483,8870
1198.129467,8853
1197.147279,8901
1196.16492,8993
1195.182389,8893
1194.199686,8794
1193.216812,8989
1192.233766,8925
1191.250547,8700
1190.267158,8759
1189.283596,8829
1188.299862,8726
1187.315956,8659
1186.331878,8700
1185.347628,8797
1184.363206,8737
1183.378612,8659
1182.393845,8782
1181.408906,8740
1180.423796,8708
1179.438512,8817
1178.453057,8697
1177.467429,8688
1176.481628,8761
1175.495655,8685
1174.50951,8803
1173.523192,8792
1172.536701,8716
1171.550038,8704
1170.563202,8638
1169.576193,8697
1168.589012,8690
1167.601658,8746
1166.614131,8728
1165.626431,8849
1164.638558,8697
1163.650512,8625
1162.662294,8709
1161.673902,8695
1160.685337,8751
1159.696599,8840
1158.707688,8796
1157.718604,8695
