#Wave,#Intensity1,#Intensity2
1923.309409,7061,6672
1922.451595,7096,6803
1921.593638,7085,6725
1920.735536,7091,6642
1919.87729,7077,6737
1919.0189,7065,6630
1918.160366,7147,6726
1917.301688,7070,6643
1916.442866,7167,6708
1915.5839,7126,6685
1914.724789,7100,6677
1913.865534,6998,6801
1913.006135,7044,6628
1912.146591,7149,6723
1911.286903,7271,6664
1910.427071,7108,6608
1909.567094,7185,6722
1908.706973,7141,6674
1907.846707,7169,6709
1906.986297,7197,6766
1906.125742,7172,6671
1905.265043,7239,6693
1904.404199,7112,6757
1903.54321,7144,6858
1902.682077,7120,6749
1901.820799,7143,6687
1900.959376,7209,6730
1900.097809,7106,6745
1899.236097,7169,6779
1898.374239,7185,6910
1897.512238,7241,6756
1896.650091,7211,6750
1895.787799,7189,6745
1894.925362,7065,6749
1894.06278,7237,6735
1893.200054,7107,6747
1892.337182,7263,6794
1891.474165,7223,6795
1890.611003,7164,6818
1889.747696,7283,6763
1888.884244,7172,6788
1888.020646,7206,6752
1887.156904,7203,6811
1886.293016,7298,6810
1885.428982,7246,6856
1884.564804,7218,6652
1883.70048,7251,6787
1882.83601,7175,6755
1881.971396,7230,6859
1881.106635,7184,6875
1880.24173,7081,6830
1879.376679,7329,6776
1878.511482,7275,6795
1877.646139,7249,6817
1876.780651,7243,6702
1875.915018,7228,6797
1875.049239,7319,6859
1874.183314,7225,6807
1873.317243,7146,6764
1872.451026,7250,6794
1871.584664,7254,6830
1870.718156,7281,6811
1869.851502,7315,6856
1868.984702,7282,6720
1868.117756,7163,6780
1867.250665,7248,6845
1866.383427,7376,6814
1865.516043,7329,6864
1864.648513,7263,6801
1863.780838,7350,6910
1862.913016,7220,6902
1862.045047,7301,6862
1861.176933,7242,6786
1860.308673,7280,6766
1859.440266,7311,6828
1858.571713,7362,6899
1857.703014,7288,6831
1856.834168,7305,6880
1855.965176,7252,6786
1855.096037,7302,6884
1854.226753,7153,6774
1853.357321,7199,6826
1852.487743,7277,6892
1851.618019,7430,6841
1850.748148,7217,6800
1849.878131,7161,6847
1849.007967,7251,6715
1848.137656,7291,6788
1847.267199,7329,6771
1846.396594,7327,6896
1845.525844,7288,6923
1844.654946,7358,6896
1843.783901,7227,6884
1842.91271,7278,6781
1842.041372,7158,6792
1841.169887,7258,6860
1840.298255,7320,6896
1839.426476,7261,6817
1838.55455,7346,6838
1837.682477,7243,6827
1836.810257,7244,6871
1835.93789,7372,6789
1835.065375,7255,6749
1834.192714,7278,6888
1833.319905,7343,6874
1832.446949,7232,6825
1831.573846,7242,6765
1830.700596,7245,6808
1829.827198,7264,6785
1828.953653,7214,6815
1828.07996,7318,6845
1827.20612,7237,6782
1826.332133,7141,6826
1825.457998,7141,6874
1824.583716,7207,6827
1823.709286,7364,6906
1822.834709,7341,6823
1821.959984,7261,6869
1821.085111,7267,6833
1820.210091,7208,6898
1819.334923,7340,6813
1818.459607,7203,6841
1817.584143,7354,6849
1816.708532,7248,6938
1815.832773,7300,6896
1814.956866,7317,6847
1814.080811,7309,6880
1813.204608,7311,6834
1812.328257,7248,6821.00439
1811.451758,7315,6808.006586
1810.575112,7343,6795.006586
1809.698317,7288,6782.004391
1808.821374,7277,6769
1807.944283,7350,6869
1807.067043,7302,6921
1806.189656,7266,6845
1805.31212,7337,6858
1804.434436,7383,6925
1803.556604,7201,6955
1802.678624,7307,6858
1801.800495,7272,6791
1800.922218,7221,6907
1800.043792,7322,6854
1799.165218,7353,6803
1798.286496,7312,6897
1797.407625,7262,6848
1796.528605,7308,6954
1795.649437,7268,6958
1794.77012,7364,6782
1793.890655,7366,6868
1793.011041,7461,6999
1792.131278,7471,6806
1791.251367,7309,6879
1790.371306,7351,6973
1789.491097,7345,6802
1788.610739,7372,6894
1787.730233,7329,7007
1786.849577,7405,7045
1785.968773,7407,6910
1785.087819,7301,6769
1784.206717,7404,6886
1783.325465,7392,6879
1782.444065,7345,6920
1781.562515,7445,7015
1780.680816,7384,6937
1779.798968,7414,6886
1778.916971,7423,6957
1778.034825,7363,6902
1777.152529,7384,7054
1776.270084,7284,6868
1775.38749,7572,7022
1774.504747,7474,7069
1773.621854,7448,7027
1772.738812,7436,6842
1771.85562,7474,6950
1770.972279,7390,7042
1770.088788,7402,7039
1769.205148,7427,7027
1768.321358,7418,6948
1767.437418,7302,7014
1766.553329,7378,7011
1765.66909,7325,6976
1764.784702,7426,6976
1763.900164,7491,7019
1763.015476,7505,6935
1762.130638,7472,6988
1761.24565,7472,6913
1760.360513,7476,7013
1759.475225,7541,7002
1758.589788,7528,6961
1757.704201,7437,6983
1756.818464,7427,6985
1755.932576,7436,7032
1755.046539,7437,6951
1754.160351,7458,7009
1753.274014,7389,6982
1752.387526,7412,7110
1751.500888,7480,7038
1750.6141,7426,6977
1749.727161,7513,6952
1748.840073,7464,6999
1747.952833,7495,7137
1747.065444,7493,6989
1746.177904,7481,7090
1745.290214,7528,7092
1744.402373,7477,6979
1743.514382,7429,6981
1742.62624,7477,6925
1741.737948,7573,7147
1740.849505,7589,7007
1739.960911,7518,7008
1739.072167,7428,6982
1738.183272,7491,7018
1737.294227,7436,6885
1736.405031,7483,6936
1735.515683,7512,7020
1734.626185,7536,7048
1733.736537,7521,7033
1732.846737,7454,7012
1731.956786,7416,7121
1731.066685,7522,7028
1730.176432,7547,7116
1729.286029,7532,6963
1728.395474,7544,7021
1727.504768,7521,7038
1726.613912,7519,7066
1725.722904,7493,7049
1724.831745,7393,7073
1723.940434,7483,6955
1723.048973,7519,7005
1722.15736,7475,7071
1721.265595,7563,7044
1720.37368,7550,6995
1719.481613,7532,7034
1718.589395,7485,6973
1717.697025,7486,6997
1716.804504,7572,7103
1715.911831,7505,7147
1715.019006,7550,7170
1714.12603,7542,7143
1713.232903,7543,7118
1712.339624,7440,7085
1711.446193,7448,7078
1710.55261,7603,7080
1709.658876,7518,7188
1708.76499,7479,7113
1707.870952,7634,7077
1706.976762,7645,7135
1706.08242,7494,7158
1705.187927,7656,7083
1704.293281,7678,7181
1703.398484,7553,7129
1702.503534,7681,7099
1701.608433,7619,7078
1700.713179,7446,7107
1699.817773,7608,7293
1698.922216,7597,7164
1698.026505,7603,7193
1697.130643,7611,7167
1696.234629,7568,7132
1695.338462,7684,7089
1694.442143,7701,7087
1693.545671,7649,7196
1692.649047,7680,7151
1691.752271,7692,7097
1690.855342,7646,7056
1689.958261,7646,7215
1689.061027,7674,7171
1688.163641,7720,7185
1687.266102,7664,7315
1686.368411,7609,7252
1685.470567,7617,7263
1684.57257,7640,7105
1683.67442,7636,7213
1682.776118,7696,7256
1681.877663,7734,7187
1680.979055,7742,7175
1680.080294,7761,7154
1679.181381,7796,7154
1678.282314,7727,7208
1677.383095,7824,7275
1676.483722,7709,7216
1675.584197,7762,7295
1674.684518,7627,7272
1673.784687,7875,7263
1672.884702,7710,7216
1671.984564,7773,7350
1671.084273,7804,7260
1670.183829,7841,7385
1669.283231,7819,7318
1668.382481,7919,7268
1667.481576,7799,7308
1666.580519,7694,7304
1665.679308,7804,7295
1664.777944,7886,7370
1663.876426,7985,7338
1662.974755,7833,7370
1662.07293,7757,7233
1661.170952,7812,7382
1660.26882,7872,7328
1659.366534,7893,7318
1658.464095,7854,7384
1657.561502,7886,7379
1656.658755,7950,7358
1655.755855,7851,7343
1654.852801,7819,7304
1653.949593,7899,7288
1653.046231,7832,7286
1652.142715,7960,7432
1651.239045,7861,7428
1650.335222,7930,7476
1649.431244,7932,7496
1648.527112,7871,7425
1647.622827,7875,7499
1646.718387,7980,7458
1645.813793,7978,7547
1644.909045,8026,7407
1644.004142,7931,7468
1643.099086,8024,7594
1642.193875,7956,7482
1641.28851,7996,7535
1640.38299,8031,7609
1639.477316,8143,7526
1638.571488,8064,7631
1637.665505,8106,7585
1636.759368,8087,7534
1635.853076,8127,7657
1634.94663,8273,7721
1634.040029,8150,7721
1633.133274,8168,7791
1632.226364,8202,7694
