#Wave,#Intensity1,#Intensity2,#Intensity1
719.0133487,5746,5199,6021
720.0802088,5668,5075,5883
721.1468774,5804,5082,6080
722.2133546,5650,5130,6103
723.2796405,5852,5117,6034
724.345735,5687,5238,6052
725.4116381,5766,5156,6009
726.4773501,5762,5198,6010
727.5428708,5736,5149,6135
728.6082004,5752,5142,6013
729.6733389,5691,5175,6090
730.7382863,5753,5184,6034
731.8030427,5716,5148,6010
732.8676081,5649,5100,6038
733.9319826,5726,5129,6113
734.9961663,5687,5206,6063
736.060159,5808,5136,6044
737.123961,5743,5209,5968
738.1875723,5781,5185,6045
739.2509928,5731,5181,6065
740.3142227,5742,5205,6174
741.377262,5785,5171,6097
742.4401107,5854,5140,6012
743.5027689,5756,5224,6120
744.5652366,5824,5288,6038
745.6275139,5697,5168,6160
746.6896009,5816,5192,6081
747.7514974,5704,5189,6080
748.8132038,5774,5178,6037
749.8747198,5759,5193,6159
750.9360457,5841,5190,6052
751.9971814,5764,5277,6022
753.058127,5757,5152,6066
754.1188825,5751,5187,5996
755.179448,5747,5192,6084
756.2398236,5832,5157,6003
757.3000092,5776,5184,6004
758.3600049,5733,5170,6087
759.4198108,5746,5163,6100
760.479427,5709,5215,6048
761.5388533,5795,5112,6090
762.59809,5816,5104,6078
763.657137,5809,5239,6069
764.7159944,5734,5128,6053
765.7746623,5755,5232,5992
766.8331406,5748,5104,6031
767.8914295,5675,5194,6024
768.9495289,5771,5143,6058
770.0074389,5688,5156,6076
771.0651596,5714,5181,5998
772.122691,5778,5178,6054
773.1800332,5815,5178,5995
774.2371862,5784,5269,6124
775.29415,5708,5082,6117
776.3509247,5859,5148,6100
777.4075103,5785,5179,6148
778.4639069,5695,5082,6072
779.5201145,5829,5214,6076
780.5761332,5765,5208,6070
781.6319631,5765,5196,6052
782.687604,5790,5141,6108
783.7430562,5717,5224,6018
784.7983196,5867,5176,6166
785.8533943,5714,5146,6061
786.9082804,5844,5204,6100
787.9629778,5846,5208,6134
789.0174867,5812,5180,6078
790.071807,5724,5149,6097
791.1259389,5794,5279,6147
792.1798823,5801,5206,6137
793.2336373,5791,5245,6139
794.287204,5799,5149,6075
795.3405824,5767,5173,6088
796.3937725,5843,5247,6125
797.4467744,5810,5163,6158
798.4995882,5844,5284,6119
799.5522138,5865,5221,6141
800.6046513,5807,5271,6145
801.6569008,5945,5257,6231
802.7089623,5882,5240,6157
803.7608359,5774,5225,6222
804.8125216,5820,5167,6133
805.8640194,5813,5247,6164
806.9153294,5856,5214,6216
807.9664516,5764,5264,6237
809.0173861,5871,5273,6234
810.068133,5819,5246,6258
811.1186922,5839,5333,6226
812.1690638,5743,5232,6283
813.2192479,5884,5263,6218
814.2692445,5833,5269,6204
815.3190536,5860,5297,6105
816.3686753,5859,5321,6184
817.4181097,5924,5222,6113
818.4673567,5866,5227,6269
819.5164165,5852,5331,6192
820.565289,5815,5224,6181
821.6139743,5802,5314,6196
822.6624725,5875,5241,6161
823.7107836,5876,5288,6144
824.7589077,5928,5202,6190
825.8068447,5940,5255,6268
826.8545948,5961,5322,6181
827.902158,5976,5282,6195
828.9495342,5893,5255,6203
829.9967237,5876,5322,6207
831.0437263,5898,5181,6129
832.0905423,5871,5311,6140
833.1371715,5820,5255,6230
834.1836141,5859,5235,6161
835.22987,5869,5246,6237
836.2759394,5898,5273,6134
837.3218223,5779,5250,6060
838.3675187,5990,5263,6220
839.4130286,5875,5182,6143
840.4583522,5871,5271,6127
841.5034894,5869,5222,6130
842.5484404,5855,5229,6214
843.593205,5985,5311,6183
844.6377835,5819,5241,6214
845.6821758,5860,5273,6130
846.726382,5894,5243,6138
847.770402,5878,5215,6108
848.8142361,5844,5350,6104
849.8578842,5872,5295,6243
850.9013463,5915,5266,6124
851.9446225,5832,5184,6168
852.9877128,5902,5221,6132
854.0306174,5933,5274,6135
855.0733362,5895,5243,6102
856.1158692,5855,5264,6158
857.1582166,5903,5212,6135
858.2003783,5871,5185,6203
859.2423544,5876,5276,6085
860.284145,5881,5204,6251
861.32575,5888,5248,6168
862.3671696,5919,5321,6205
863.4084038,5776,5190,6167
864.4494526,5866,5330,6177
865.4903161,5821,5181,6130
866.5309943,5835,5228,6157
867.5714872,5820,5264,6183
868.611795,5880,5334,6179
869.6519176,5838,5307,6177
870.691855,5841,5285,6231
871.7316074,5886,5278,6107
872.7711748,5884,5202,6174
873.8105572,5895,5240,6154
874.8497547,5898,5271,6139
875.8887672,5899,5156,6169
876.9275949,5892,5209,6219
877.9662379,5932,5276,6298
879.004696,5891,5281,6271
880.0429694,5955,5326,6192
881.0810582,5853,5438,6174
882.1189623,5925,5348,6202
883.1566818,5952,5308,6171
884.1942168,5981,5341,6242
885.2315673,6056,5250,6331
886.2687333,5963,5314,6230
887.305715,6030,5381,6319
888.3425122,5932,5291,6301
889.3791251,6018,5314,6330
890.4155537,5997,5293,6284
891.4517981,6092,5290,6311
892.4878583,5992,5325,6281
893.5237344,5978,5395,6178
894.5594263,5933,5312,6148
895.5949342,5969,5418,6323
896.630258,6036,5386,6287
897.6653979,5975,5309,6271
898.7003538,5952,5346,6248
899.7351259,5949,5311,6220
900.7697141,5999,5309,6354
901.8041185,6051,5264,6308
902.8383391,5878,5265,6292
903.872376,6021,5363,6338
904.9062292,5988,5375,6225
905.9398988,6001,5310,6290
906.9733848,6016,5313,6267
908.0066873,6018,5309,6260
909.0398063,5965,5373,6376
910.0727418,5968,5336,6271
911.1054938,6030,5264,6310
912.1380626,5971,5321,6236
913.1704479,6009,5341,6339
914.20265,6083,5337,6321
915.2346689,6035,5352,6331
916.2665045,6030,5292,6327
917.298157,6057,5366,6310
918.3296264,6029,5325,6230
919.3609127,6062,5376,6348
920.392016,6027,5414,6305
921.4229363,6018,5295,6226
922.4536737,6009,5321,6317
923.4842282,6070,5339,6331
924.5145998,6001,5398,6246
925.5447886,5939,5287,6178
926.5747946,6048,5335,6281
927.6046179,6013,5407,6237
928.6342585,5978,5280,6182
929.6637165,5910,5327,6286
930.6929919,5977,5278,6268
931.7220847,5982,5331,6248
932.750995,6007,5293,6241
933.7797229,5951,5350,6335
934.8082683,5950,5303,6210
935.8366314,6010,5364,6236
936.8648121,5967,5187,6224
937.8928105,5959,5360,6252
938.9206266,5929,5253,6264
939.9482606,5936,5334,6181
940.9757123,5941,5287,6158
942.002982,5928,5299,6306
943.0300696,5956,5347,6254
944.0569751,5973,5362,6269
945.0836986,6002,5317,6306
946.1102402,6036,5299,6180
947.1365999,6035,5303,6204
948.1627777,5877,5387,6295
949.1887736,5960,5338,6239
950.2145878,5951,5302,6277
951.2402203,6077,5319,6347
952.265671,5992,5345,6208
953.2909401,5926,5362,6281
954.3160276,5966,5294,6352
955.3409335,5937,5331,6228
956.3656579,5960,5348,6281
957.3902008,6039,5353,6153
958.4145623,5952,5320,6251
959.4387423,5917,5255,6254
960.462741,6010,5337,6192
961.4865584,6037,5294,6263
962.5101945,5915,5290,6295
963.5336494,5964,5323,6279
964.5569231,5935,5415,6256
965.5800157,6018,5377,6328
966.6029272,5963,5359,6262
967.6256576,5913,5363,6337
968.6482069,6006,5369,6318
969.6705754,5971,5402,6271
970.6927628,5988,5283,6225
971.7147694,6041,5382,6276
972.7365952,6075,5309,6318
973.7582401,6032,5360,6312
974.7797043,6009,5341,6344
975.8009877,6079,5435,6311
976.8220905,6023,5365,6322
977.8430127,6089,5415,6398
978.8637542,6025,5351,6324
979.8843152,6027,5378,6434
980.9046957,6023,5397,6220
981.9248957,6104,5407,6347
982.9449153,6046,5400,6286
983.9647546,6082,5319,6364
984.9844134,6067,5389,6360
986.003892,5991,5398,6385
987.0231904,5989,5310,6324
988.0423085,5930,5487,6247
989.0612464,6081,5336,6370
990.0800042,6173,5399,6345
991.098582,6122,5386,6274
992.1169797,6087,5367,6281
993.1351974,6017,5493,6392
994.1532351,6069,5427,6318
995.1710929,6035,5379,6297
996.1887708,6004,5429,6419
997.2062689,6083,5427,6302
998.2235873,6142,5409,6408
999.2407258,6075,5314,6319
1000.257685,6056,5425,6350
1001.274464,6089,5456,6355
1002.291063,6040,5398,6437
1003.307483,6114,5407,6419
1004.323724,6085,5427,6298
1005.339785,5987,5425,6379
1006.355666,6083,5482,6279
1007.371368,6030,5393,6289.434097
1008.386891,6003,5443,6299.866352
1009.402235,5955,5319,6310.296764
1010.417399,6109,5360,6320.725335
1011.432383,6083,5354,6331.152064
1012.447189,6048,5364,6341.576952
1013.461816,6020,5416,6352
1014.476263,6100,5372,6308
1015.490531,6064,5388,6286
1016.504621,6042,5415,6316
1017.518531,6056,5361,6346
1018.532262,6006,5382,6304
1019.545814,6059,5375,6396
1020.559188,6076,5351,6341
1021.572383,6027,5472,6222
1022.585399,6021,5315,6472
1023.598236,6033,5436,6247
1024.610894,6032,5332,6271
1025.623374,6098,5305,6390
1026.635675,6017,5415,6276
1027.647798,6005,5479,6314
1028.659742,5966,5400,6199
1029.671508,6020,5381,6288
1030.683095,6125,5483,6352
1031.694503,6084,5375,6328
1032.705734,6040,5332,6364
1033.716786,6106,5342,6279
1034.72766,6054,5417,6294
1035.738355,6008,5403,6274
1036.748872,6027,5415,6384
1037.759211,6001,5403,6254
1038.769372,6144,5299,6249
1039.779355,6058,5418,6287
1040.78916,6078,5368,6276
1041.798787,6012,5437,6313
1042.808236,6013,5454,6304
1043.817507,6039,5374,6306
1044.8266,6118,5333,6421
1045.835516,6038,5443,6310
1046.844253,6074,5366,6346
1047.852813,6084,5431,6299
1048.861195,5999,5441,6334
1049.8694,6074,5377,6358
1050.877426,6134,5429,6328
1051.885276,6016,5414,6285
1052.892947,6096,5285,6323
1053.900442,6045,5384,6408
1054.907758,6088,5468,6322
1055.914898,6083,5419,6279
1056.92186,6132,5391,6373
1057.928644,6060,5439,6396
1058.935251,6155,5385,6361
1059.941682,6067,5414,6366
1060.947934,6128,5463,6474
1061.95401,6193,5411,6403
1062.959909,6185,5453,6477
1063.96563,6194,5457,6599
1064.971175,6172,5519,6497
1065.976542,6363,5577,6614
1066.981733,6280,5511,6686
1067.986746,6359,5531,6698
1068.991583,6270,5702,6738
1069.996243,6342,5689,6863
1071.000726,6449,5694,6695
1072.005032,6279,5740,6849
1073.009161,6473,5691,6904
1074.013114,6388,5755,6895
1075.016891,6396,5718,6838
1076.02049,6379,5686,6866
1077.023913,6498,5691,6793
1078.02716,6346,5614,6735
1079.03023,6368,5677,6744
1080.033124,6198,5553,6739
1081.035841,6335,5597,6659
1082.038382,6195,5576,6459
1083.040747,6199,5560,6552
1084.042935,6266,5496,6573
1085.044947,6285,5467,6474
1086.046783,6154,5474,6479
1087.048443,6210,5479,6450
1088.049927,6144,5508,6450
1089.051235,6236,5537,6451
1090.052366,6165,5453,6437
1091.053322,6137,5480,6422
1092.054102,6233,5536,6432
1093.054706,6201,5495,6389
1094.055134,6170,5519,6388
1095.055386,6189,5534,6409
1096.055462,6193,5447,6456
1097.055363,6174,5440,6392
1098.055088,6126,5456,6372
1099.054637,6076,5456,6448
1100.054011,6178,5469,6505
1101.053209,6057,5504,6450
1102.052232,6280,5424,6496
1103.051079,6196,5474,6411
1104.049751,6153,5454,6339
1105.048247,6171,5493,6413
1106.046568,6209,5465,6355
1107.044714,6144,5450,6296
1108.042684,6135,5474,6312
