#Wave,#Intensity17
1552.847212,9205
1551.9264,9220
1551.005431,9152
1550.084304,9121
1549.163019,9223
1548.241577,9283
1547.319976,9239
1546.398218,9235
1545.476301,9162
1544.554227,9153
1543.631994,9200
1542.709604,9125
1541.787055,9182
1540.864348,9183
1539.941483,9097
1539.01846,9232
1538.095278,9075
1537.171938,9207
1536.24844,9099
1535.324784,9120
1534.400969,9103
1533.476996,9211
1532.552864,9057
1531.628574,9149
1530.704125,9103
1529.779517,9123
1528.854751,8994
1527.929827,9120
1527.004744,9026
1526.079502,9100
1525.154101,9180
1524.228541,9046
1523.302823,9124
1522.376946,8957
1521.45091,9060
1520.524715,9075
1519.598361,9073
1518.671848,9116
1517.745176,9008
1516.818345,9115
1515.891354,8974
1514.964205,9143
1514.036897,9018
1513.109429,9098
1512.181802,8925
1511.254016,9014
1510.32607,9047
1509.397965,8932
1508.469701,8904
1507.541278,9134
1506.612694,9073
1505.683952,9040
1504.75505,8970
1503.825988,9075
1502.896767,9080
1501.967386,9015
1501.037845,9039
1500.108145,9050
1499.178285,9082
1498.248265,9039
1497.318085,9022
1496.387746,9098
1495.457246,9138
1494.526587,8998
1493.595768,9089
1492.664788,9100
1491.733649,9082
1490.80235,9147
1489.87089,9201
1488.939271,9156
1488.007491,8949
1487.075551,9073
1486.143451,9062
1485.21119,9251
1484.278769,9150
1483.346188,9085
1482.413447,9228
1481.480545,9069
1480.547482,9144
1479.614259,9179
1478.680876,9170
1477.747332,9185
1476.813627,9237
1475.879762,9203
1474.945736,9051
1474.011549,9119
1473.077202,9264
1472.142694,9217
1471.208025,9281
1470.273195,9046
1469.338204,9225
1468.403053,9107
1467.46774,9149
1466.532266,9334
1465.596632,9219
1464.660836,9355
1463.724879,9179
1462.788761,9282
1461.852482,9301
1460.916042,9098
1459.97944,9378
1459.042677,9409
1458.105753,9232
1457.168667,9111
1456.23142,9345
1455.294012,9395
1454.356442,9281
1453.418711,9379
1452.480818,9339
1451.542763,9330
1450.604547,9240
1449.666169,9344
1448.72763,9312
1447.788928,9335
1446.850065,9277
1445.911041,9254
1444.971854,9309
1444.032506,9296
1443.092995,9347
1442.153323,9364
1441.213489,9512
1440.273492,9481
1439.333334,9457
1438.393014,9463
1437.452531,9535
1436.511886,9659
1435.571079,9573
1434.63011,9625
1433.688979,9681
1432.747685,9692
1431.806229,9774
1430.864611,9953
1429.92283,9963
1428.980886,9925
1428.038781,9941
1427.096512,10017
1426.154081,9933
1425.211488,9835
1424.268732,9864
1423.325813,9621
1422.382732,9609
1421.439487,9429
1420.49608,9406
1419.55251,9347
1418.608778,9413
1417.664882,9451
1416.720824,9129
1415.776602,9150
1414.832218,9068
1413.88767,9094
1412.94296,9128
1411.998086,9072
1411.053049,8947
1410.107849,9095
1409.162486,9117
1408.216959,9111
1407.271269,9054
1406.325416,9313
1405.3794,9127
1404.43322,9062
1403.486876,9263
1402.54037,9167
1401.593699,9238
1400.646865,9193
1399.699868,9269
1398.752707,9140
1397.805382,9207
1396.857893,9426
1395.910241,9327
1394.962425,9366
1394.014445,9384
1393.066301,9400
1392.117994,9310
1391.169522,9576
1390.220887,9688
1389.272088,9751
1388.323124,9601
1387.373996,9564
1386.424705,9702
1385.475249,9605
1384.525629,9691
1383.575845,9645
1382.625896,9589
1381.675784,9505
1380.725506,9399
1379.775065,9448
1378.824459,9489
1377.873689,9428
1376.922754,9406
1375.971655,9403
1375.020391,9480
1374.068962,9356
1373.117369,9437
1372.165612,9540
1371.213689,9415
1370.261602,9386
1369.30935,9321
1368.356933,9381
1367.404352,9285
1366.451605,9470
1365.498694,9429
1364.545617,9395
1363.592376,9374
1362.638969,9313
1361.685398,9336
1360.731661,9357
1359.777759,9282
1358.823692,9312
1357.86946,9316
1356.915063,9187
1355.9605,9427
1355.005772,9198
1354.050878,9230
1353.095819,9382
1352.140595,9187
1351.185205,9275
1350.22965,9103
1349.273929,9228
1348.318042,9210
1347.36199,9217
1346.405772,9132
1345.449389,9261
1344.492839,9263
1343.536124,9221
1342.579243,9308
1341.622196,9175
1340.664984,9233
1339.707605,9204
1338.75006,9155
1337.79235,9146
1336.834473,9261
1335.87643,9045
1334.918222,9233
1333.959846,9173
1333.001305,9249
1332.042598,9284
1331.083724,9180
1330.124684,9056
1329.165477,9149
1328.206104,9143
1327.246565,9055
1326.286859,9222
1325.326987,9170
1324.366948,9236
1323.406743,9047
1322.446371,9080
