#Wave,#Intensity1,#Intensity2
1750.765723,5937,5118
1749.878634,5916,5125
1748.991395,5894,5171
1748.104006,5871,5179
1747.216466,5872,5269
1746.328776,5838,5151
1745.440935,5910,5133
1744.552944,5855,5186
1743.664802,5812,5206
1742.77651,5795,5196
1741.888067,5927,5095
1740.999473,5900,5185
1740.110729,5847,5063
1739.221834,5814,5196
1738.332789,5888,5168
1737.443592,5804,5170
1736.554245,5803,5129
1735.664747,5842,5297
1734.775098,5786,5173
1733.885299,5784,5147
1732.995348,5806,5204
1732.105247,5869,5119
1731.214994,5846,5142
1730.32459,5881,5116
1729.434036,5856,5190
1728.54333,5848,5113
1727.652473,5890,5255
1726.761465,5900,5224
1725.870306,5814,5148
1724.978996,5799,5112
1724.087534,5820,5113
1723.195921,5867,5110
1722.304157,5891,5130
1721.412242,5905,5227
1720.520175,5918,5159
1719.627956,5755,5213
1718.735586,5894,5180
1717.843065,5829,5130
1716.950392,5806,5219
1716.057568,5903,5240
1715.164592,5845,5102
1714.271465,5896,5245
1713.378185,5891,5115
1712.484755,5935,5184
1711.591172,5904,5272
1710.697438,5867,5260
1709.803551,5940,5171
1708.909514,5829,5123
1708.015324,5871,5237
1707.120982,5846,5208
1706.226489,5912,5146
1705.331843,5904,5302
1704.437046,5921,5194
1703.542096,5843,5238
1702.646994,5882,5175
1701.751741,5900,5335
1700.856335,5874,5217
1699.960777,5842,5211
1699.065067,5855,5181
1698.169205,5879,5226
1697.27319,5786,5174
1696.377023,5901,5212
1695.480704,5993,5184
1694.584233,5883,5332
1693.687609,5925,5194
1692.790833,5990,5256
1691.893904,5923,5210
1690.996823,5868,5149
1690.099589,5910,5325
1689.202203,5958,5129
1688.304664,5960,5255
1687.406972,5925,5282
1686.509128,5896,5201
1685.611132,5997,5251
1684.712982,5946,5204
1683.81468,5912,5274
1682.916225,5926,5359
1682.017617,5971,5310
1681.118856,6040,5192
1680.219943,5958,5203
1679.320876,5952,5277
1678.421657,5963,5271
1677.522284,6011,5260
1676.622759,5908,5272
1675.72308,5973,5332
1674.823249,6016,5260
1673.923264,6072,5267
1673.023126,6053,5267
1672.122835,5935,5243
1671.222391,6147,5368
1670.321793,5997,5381
1669.421042,5994,5355
1668.520138,5891,5359
1667.619081,5928,5312
1666.71787,6006,5280
1665.816505,5974,5403
1664.914988,6035,5423
1664.013316,6007,5365
1663.111492,6042,5348
1662.209513,5984,5365
1661.307381,6016,5317
1660.405096,6113,5338
1659.502657,5959,5357
1658.600064,5987,5345
1657.697317,6029,5368
1656.794417,5992,5280
1655.891362,6036,5334
1654.988154,6029,5330
1654.084793,5980,5408
1653.181277,5909,5342
1652.277607,6017,5341
1651.373783,6048,5318
1650.469806,6032,5363
1649.565674,6034,5362
1648.661388,6009,5360
1647.756948,6006,5338
1646.852354,6021,5357
1645.947606,6044,5360
1645.042704,5990,5347
1644.137647,6009,5405
1643.232436,5920,5277
1642.327071,5998,5334
1641.421552,6002,5288
1640.515878,6088,5381
1639.61005,5974,5308
1638.704067,6021,5310
1637.79793,5997,5391
1636.891638,6010,5380
1635.985192,6082,5397
1635.078591,6042,5403
1634.171835,6110,5331
1633.264925,5886,5284
1632.357861,6021,5380
1631.450641,6033,5373
1630.543267,6070,5331
1629.635738,6052,5306
1628.728054,5932,5328
1627.820215,6047,5352
1626.912222,6014,5374
1626.004073,6003,5376
1625.09577,5997,5409
1624.187311,5989,5387
1623.278698,6064,5383
1622.36993,6082,5332
1621.461006,6077,5311
1620.551927,6006,5346
1619.642693,6061,5340
1618.733304,5965,5337
1617.82376,6010,5358
1616.914061,6034,5275
1616.004206,6021,5336
1615.094196,6071,5365
1614.18403,6011,5363
1613.273709,5953,5341
1612.363233,6113,5397
1611.452601,6071,5279
1610.541814,6045,5299
1609.630871,6053,5405
1608.719772,6102,5414
1607.808518,6109,5333
1606.897109,6060,5177
1605.985543,5978,5351
1605.073822,6116,5350
1604.161945,5930,5289
1603.249913,5950,5234
1602.337724,6027,5295
1601.42538,6039,5324
1600.51288,6060,5400
1599.600224,6018,5369
1598.687412,6071,5315
1597.774444,6054,5391
1596.86132,6033,5345
1595.94804,6086,5356
1595.034604,6140,5445
1594.121012,6016,5342
1593.207263,6134,5425
1592.293359,5998,5323
1591.379298,6082,5419
1590.465081,6174,5306
1589.550708,6016,5429
1588.636178,6221,5417
1587.721492,6173,5455
1586.806649,6211,5435
1585.89165,6160,5411
1584.976495,6167,5441
1584.061183,6410,5410
1583.145715,6367,5535
1582.23009,6439,5464
1581.314308,6443,5582
1580.39837,6460,5467
1579.482275,6486,5605
1578.566024,6559,5534
1577.649615,6390,5582
1576.73305,6608,5601
1575.816328,6593,5656
1574.899449,6468,5606
1573.982414,6430,5657
1573.065221,6383,5550
1572.147871,6408,5733
1571.230365,6365,5702
1570.312701,6365,5651
1569.394881,6385,5567
1568.476903,6281,5525
1567.558768,6302,5521
1566.640476,6353,5635
1565.722027,6291,5599
1564.80342,6227,5513
1563.884656,6226,5595
1562.965735,6294,5513
1562.046657,6234,5525
1561.127421,6190,5495
1560.208028,6154,5485
1559.288477,6230,5390
1558.368769,6233,5446
1557.448904,6206,5460
1556.528881,6118,5443
1555.6087,6067,5390
1554.688362,6102,5499
1553.767866,6156,5475
1552.847212,6170,5487
1551.9264,6108,5382
1551.005431,6123,5397
1550.084304,6075,5399
1549.163019,6099,5421
1548.241577,6143,5390
1547.319976,6187,5509
1546.398218,6101,5467
1545.476301,6116,5372
1544.554227,6162,5428
1543.631994,6217,5446
1542.709604,6106,5459
1541.787055,6045,5426
1540.864348,6135,5380
1539.941483,6132,5458
1539.01846,6092,5422
1538.095278,6185,5390
1537.171938,6079,5437
1536.24844,6121,5393
1535.324784,6167,5297
1534.400969,6051,5297
1533.476996,6013,5401
1532.552864,6143,5438
1531.628574,6010,5405
1530.704125,6084,5381
1529.779517,6090,5434
1528.854751,6070,5368
1527.929827,6103,5441
1527.004744,6030,5472
1526.079502,6092,5486
1525.154101,6089,5422
1524.228541,6047,5389
1523.302823,6086,5394
1522.376946,6002,5377
1521.45091,6090,5381
1520.524715,6037,5354
1519.598361,6150,5412
1518.671848,6039,5405
1517.745176,6203,5450
1516.818345,6075,5410
1515.891354,6132,5384
1514.964205,6138,5368
1514.036897,6074,5358
1513.109429,6082,5388
1512.181802,6089,5430
1511.254016,6065,5363
1510.32607,6033,5350
1509.397965,6094,5343
1508.469701,6025,5368
1507.541278,6158,5367
1506.612694,5980,5364
1505.683952,6140,5412
1504.75505,6175,5428
1503.825988,6083,5393
1502.896767,6003,5339
1501.967386,6123,5382
1501.037845,6059,5378
1500.108145,6193,5508
1499.178285,6123,5404
1498.248265,6011,5395
1497.318085,6079,5405
1496.387746,6196,5375
1495.457246,6137,5478
1494.526587,6112,5421
1493.595768,6061,5407
1492.664788,6083,5473
1491.733649,6122,5407
1490.80235,6143,5352
1489.87089,6147,5399
1488.939271,6183,5365
1488.007491,6106,5453
1487.075551,6192,5453
1486.143451,6126,5341
1485.21119,6180,5387
1484.278769,6218,5398
1483.346188,6036,5448
1482.413447,6169,5481
1481.480545,6218,5435
1480.547482,6192,5498
1479.614259,6236,5379
1478.680876,6224,5511
1477.747332,6348,5511
1476.813627,6286,5506
