#Wave,#Intensity1,#Intensity2,#Intensity4
950.2145878,12988,12589,11341
951.2402203,13119,12667,11171
952.265671,12965,12510,11158
953.2909401,12823,12604,11273
954.3160276,12987,12597,11332
955.3409335,12911,12521,11275
956.3656579,12887,12588,11274
957.3902008,12935,12586,11351
958.4145623,12842,12735,11345
959.4387423,12877,12573,11366
960.462741,12884,12674,11262
961.4865584,13100,12614,11398
962.5101945,13158,12590,11407
963.5336494,12996,12771,11263
964.5569231,13223,12781,11335
965.5800157,13114,12583,11526
966.6029272,13179,12742,11352
967.6256576,13188,12902,11457
968.6482069,13021,12754,11493
969.6705754,13282,12589,11439
970.6927628,13170,12751,11334
971.7147694,13079,12610,11534
972.7365952,13134,12634,11436
973.7582401,13397,12844,11438
974.7797043,13315,12754,11503
975.8009877,13045,12708,11469
976.8220905,13239,12739,11524
977.8430127,13286,12734,11697
978.8637542,13180,12897,11627
979.8843152,13418,12710,11673
980.9046957,13340,12764,11614
981.9248957,13272,12819,11537
982.9449153,13218,12741,11483
983.9647546,13242,12825,11701
984.9844134,13404,12825,11516
986.003892,13379,12948,11668
987.0231904,13354,12971,11626
988.0423085,13141,12724,11686
989.0612464,13248,12892,11650
990.0800042,13364,12979,11514
991.098582,13388,12939,11739
992.1169797,13371,12906,11516
993.1351974,13263,13019,11698
994.1532351,13338,13004,11606
995.1710929,13296,12962,11744
996.1887708,13320,12828,11784
997.2062689,13547,12771,11711
998.2235873,13387,12811,11733
999.2407258,13358,12957,11761
1000.257685,13398,13031,11464
1001.274464,13317,13040,11643
1002.291063,13461,13108,11714
1003.307483,13427,12850,11743
1004.323724,13280,12952,11652
1005.339785,13244,13070,11682
1006.355666,13389,12815,11801
1007.371368,13188,12957,11636
1008.386891,13236,12938,11635
1009.402235,13227,12908,11736
1010.417399,13474,12872,11657
1011.432383,13371,12834,11545
1012.447189,13314,12834,11627
1013.461816,13418,12875,11635
1014.476263,13260,12898,11595
1015.490531,13282,13017,11559
1016.504621,13313,12865,11633
1017.518531,13248,12757,11617
1018.532262,13258,12754,11493
1019.545814,13401,12844,11724
1020.559188,13317,12904,11740
1021.572383,13291,12917,11649
1022.585399,13266,12859,11783
1023.598236,13034,12699,11691
1024.610894,13178,12716,11669
1025.623374,13278,12773,11420
1026.635675,13311,12826,11731
1027.647798,13234,12815,11626
1028.659742,13402,12704,11573
1029.671508,13315,12880,11545
1030.683095,13309,12853,11754
1031.694503,13252,12738,11775
1032.705734,13174,12876,11518
1033.716786,13254,13014,11706
1034.72766,13229,12802,11639
1035.738355,13316,12611,11569
1036.748872,13233,12797,11593
1037.759211,13289,13077,11738
1038.769372,13430,12820,11849
1039.779355,13323,12893,11534
1040.78916,13144,12752,11596
1041.798787,13445,12991,11679
1042.808236,13259,12872,11789
1043.817507,13393,12903,11714
1044.8266,13308,12997,11842
1045.835516,13211,12922,11647
1046.844253,13241,12910,11696
1047.852813,13243,12851,11791
1048.861195,13472,12950,11803
1049.8694,13318,12799,11960
1050.877426,13443,12971,11697
1051.885276,13505,12974,11792
1052.892947,13338,12938,11811
1053.900442,13523,13043,11817
1054.907758,13532,13093,11795
1055.914898,13537,13052,11701
1056.92186,13496,13227,11805
1057.928644,13497,13045,11769
1058.935251,13434,12954,11862
1059.941682,13555,13191,11922
1060.947934,13687,13150,12016
1061.95401,13697,13207,11907
1062.959909,13591,13017,11927
1063.96563,13671,13230,11977
1064.971175,13598,13317,12132
1065.976542,13658,13295,12092
1066.981733,13802,13448,12120
1067.986746,13852,13637,12255
1068.991583,14069,13637,12211
1069.996243,14086.13555,13792,12096
1071.000726,14103.26808,13871,12275
1072.005032,14120.3976,13913,12475
1073.009161,14137.52411,14066,12467
1074.013114,14154.6476,14030,12446
1075.016891,14171.76808,14086,12448
1076.02049,14188.88554,14110,12554
1077.023913,14206,13940,12543
1078.02716,14200,14146,12528
1079.03023,14381,14067,12569
1080.033124,14128,13882,12501
1081.035841,14119,13925,12481
1082.038382,13957,13770,12304
1083.040747,14047,13683,12311
1084.042935,13898,13769,12102
1085.044947,13984,13537,12097
1086.046783,13759,13392,12204
1087.048443,13820,13251,12184
1088.049927,13807,13297,11951
1089.051235,13728,13385,12099
1090.052366,13803,13302,12153
1091.053322,13765,13277,12119
1092.054102,13663,13276,12228
1093.054706,13878,13115,12065
1094.055134,13667,13104,11962
1095.055386,13610,13384,11927
1096.055462,13668,13212,11907
1097.055363,13658,13356,12072
1098.055088,13639,13128,12135
1099.054637,13709,13251,11990
1100.054011,13651,13234,11906
1101.053209,13755,13145,11956
1102.052232,13665,13140,12096
