#Wave,#Intensity1,#Intensity2,#Intensity4,#Intensity17
758.3600049,12047,11744,10491,7143
759.4198108,12068,11816,10462,7136
760.479427,11947,11835,10418,7131
761.5388533,12207,11866,10437,7101
762.59809,12005,11757,10360,7112
763.657137,12168,11805,10513,7121
764.7159944,12076,11719,10353,7245
765.7746623,11891,11699,10473,7115
766.8331406,11811,11707,10508,7131
767.8914295,11932,11836,10513,7080
768.9495289,12070,11772,10577,7237
770.0074389,12030,11906,10498,7104
771.0651596,11762,11737,10406,7087
772.122691,12059,11651,10320,7161
773.1800332,11927,11702,10404,7261
774.2371862,12039,11899,10487,7083
775.29415,12106,11930,10538,7080
776.3509247,12156,11966,10492,7104
777.4075103,12011,11830,10378,7184
778.4639069,12082,11826,10537,7260
779.5201145,12010,11714,10539,7229
780.5761332,12176,11893,10515,7280
781.6319631,12162,11752,10515,7090
782.687604,11988,11806,10450,7218
783.7430562,11954,11702,10537,7227
784.7983196,12179,11768,10616,7208
785.8533943,12108,11995,10516,7180
786.9082804,12263,11905,10549,7194
787.9629778,12181,11840,10529,7247
789.0174867,12065,11878,10571,7178
790.071807,12122,11936,10569,7257
791.1259389,12279,11914,10767,7311
792.1798823,12335,12055,10635,7285
793.2336373,12235,11982,10581,7177
794.287204,12094,11930,10563,7242
795.3405824,12145,11918,10671,7207
796.3937725,12265,11975,10710,7261
797.4467744,12227,12007,10698,7370
798.4995882,12186,11952,10580,7338
799.5522138,12272,12001,10806,7359
800.6046513,12332,12132,10715,7223
801.6569008,12387,11997,10518,7296
802.7089623,12275,12014,10676,7353
803.7608359,12324,11998,10906,7316
804.8125216,12302,12119,10800,7383
805.8640194,12392,12160,10868,7348
806.9153294,12247,12090,10752,7395
807.9664516,12271,12000,10833,7370
809.0173861,12403,12078,10861,7451
810.068133,12662,12363,10933,7392
811.1186922,12572,12082,10767,7428
812.1690638,12402,12129,10803,7384
813.2192479,12391,12216,10887,7319
814.2692445,12440,12240,10886,7532
815.3190536,12457,12157,10832,7324
816.3686753,12498,12118,10894,7263
817.4181097,12415,12054,10782,7457
818.4673567,12276,12246,10919,7324
819.5164165,12549,12222,10856,7447
820.565289,12548,12259,10857,7403
821.6139743,12560,12228,10890,7375
822.6624725,12629,12150,10806,7369
823.7107836,12496,12296,10809,7361
824.7589077,12494,12142,10852,7389
825.8068447,12532,12337,10901,7488
826.8545948,12548,12232,10858,7416
827.902158,12545,12288,10923,7385
828.9495342,12543,12171,10876,7520
829.9967237,12569,12101,10883,7483
831.0437263,12593,12079,10922,7376
832.0905423,12520,12187,10931,7461
833.1371715,12445,12044,10882,7570
834.1836141,12448,12165,10938,7615
835.22987,12528,12357,10914,7447
836.2759394,12457,12193,10783,7520
837.3218223,12613,12206,10758,7492
838.3675187,12372,12217,11010,7515
839.4130286,12557,12000,10820,7357
840.4583522,12553,12278,10916,7501
841.5034894,12469,12130,10808,7460
842.5484404,12377,12110,10832,7495
843.593205,12497,12022,10935,7454
844.6377835,12455,12239,10948,7411
845.6821758,12472,12114,10950,7425
846.726382,12365,12153,10812,7445
847.770402,12459,12217,10857,7354
848.8142361,12472,12107,10854,7529
849.8578842,12637,12189,10911,7456
850.9013463,12481,12147,10875,7403
851.9446225,12563,12192,10961,7500
852.9877128,12436,12127,10941,7372
854.0306174,12401,12090,10836,7428
855.0733362,12532,12223,10748,7376
856.1158692,12518,12205,10898,7514
857.1582166,12515,12127,10987,7420
858.2003783,12586,12225,10780,7403
859.2423544,12549,12087,10983,7395
860.284145,12369,12391,10959,7393
861.32575,12584,12215,10819,7578
862.3671696,12535,12335,10909,7482
863.4084038,12472,12198,10939,7472
864.4494526,12447,12278,10978,7616
865.4903161,12437,12143,10914,7420
866.5309943,12484,12126,10835,7551
867.5714872,12570,12237,10936,7603
868.611795,12616,12193,11009,7500
869.6519176,12626,12291,11161,7508
870.691855,12636,12331,11026,7521
871.7316074,12629,12208,10879,7386
872.7711748,12529,12152,10897,7553
873.8105572,12709,12274,11019,7571
874.8497547,12550,12431,10937,7562
875.8887672,12740,12457,11043,7573
876.9275949,12478,12281,11065,7437
877.9662379,12705,12287,10964,7573
879.004696,12643,12343,11094,7649
880.0429694,12770,12235,10983,7599
881.0810582,12638,12381,11072,7529
882.1189623,12846,12338,11233,7585
883.1566818,12757,12297,11118,7596
884.1942168,12813,12387,11289,7547
885.2315673,12815,12387,11166,7669
886.2687333,12805,12391,11229,7679
887.305715,12829,12365,11223,7686
888.3425122,12901,12397,11232,7678
889.3791251,12708,12483,11259,7680
890.4155537,12770,12669,11218,7663
891.4517981,12887,12637,11196,7751
892.4878583,12874,12376,11152,7713
893.5237344,13023,12561,11039,7670
894.5594263,12600,12380,11130,7676
895.5949342,12838,12457,11226,7785
896.630258,12953,12520,11330,7680
897.6653979,12994,12616,11420,7813
898.7003538,13004,12487,11339,7789
899.7351259,12822,12500,11231,7643
900.7697141,12847,12532,11184,7652
901.8041185,12949,12665,11184,7634
902.8383391,12932,12493,11245,7744
903.872376,12984,12688,11390,7792
904.9062292,12869,12484,11384,7699
905.9398988,12832,12581,11315,7785
906.9733848,12796,12543,11163,7728
908.0066873,12917,12519,11400,7819
909.0398063,13061,12605,11324,7787
910.0727418,13060,12620,11228,7821
911.1054938,12957,12597,11103,7704
912.1380626,12752,12579,11286,7791
913.1704479,12869,12574,11216,7885
914.20265,12836,12496,11207,7919
915.2346689,12885,12577,11328,7896
916.2665045,12958,12584,11295,7763
917.298157,12952,12542,11208,7749
918.3296264,12841,12447,11247,7755
919.3609127,12849,12548,11202,7751
920.392016,13047,12678,11179,7759
921.4229363,12978,12491,11458,7809
922.4536737,12923,12643,11311,7789
923.4842282,12911,12389,11301,7635
924.5145998,12925,12517,11244,7675
925.5447886,12980,12543,11289,7759
926.5747946,12966,12542,11261,7773
927.6046179,12974,12673,11255,7809
928.6342585,12869,12586,11177,7782
929.6637165,12771,12405,11168,7618
930.6929919,12834,12441,11261,7744
931.7220847,12914,12363,11227,7804
932.750995,12948,12670,11215,7830
933.7797229,12954,12561,11230,7704
934.8082683,12842,12573,11210,7703
935.8366314,12768,12550,11297,7759
936.8648121,12711,12602,11259,7797
937.8928105,12805,12550,11131,7728
938.9206266,12863,12766,11296,7789
939.9482606,12825,12468,11123,7599
940.9757123,12887,12386,11180,7759
942.002982,12893,12627,11092,7693
943.0300696,12869,12464,11093,7677
944.0569751,12923,12605,11228,7836
945.0836986,12992,12521,11281,7738
946.1102402,12800,12494,11287,7743
947.1365999,13012,12581,11338,7807
948.1627777,12955,12460,11235,7781
949.1887736,12846,12544,11345,7843
950.2145878,12988,12589,11341,7874
951.2402203,13119,12667,11171,7800
952.265671,12965,12510,11158,7820
953.2909401,12823,12604,11273,7714
954.3160276,12987,12597,11332,7908
955.3409335,12911,12521,11275,7863
956.3656579,12887,12588,11274,7884
957.3902008,12935,12586,11351,7722
958.4145623,12842,12735,11345,7888
959.4387423,12877,12573,11366,7738
960.462741,12884,12674,11262,7785
961.4865584,13100,12614,11398,7873
962.5101945,13158,12590,11407,7843
963.5336494,12996,12771,11263,7835
964.5569231,13223,12781,11335,7793
965.5800157,13114,12583,11526,7757
966.6029272,13179,12742,11352,8022
967.6256576,13188,12902,11457,7977
968.6482069,13021,12754,11493,7826
969.6705754,13282,12589,11439,7945
970.6927628,13170,12751,11334,7864
971.7147694,13079,12610,11534,8012
972.7365952,13134,12634,11436,7969
973.7582401,13397,12844,11438,7903
974.7797043,13315,12754,11503,7926
975.8009877,13045,12708,11469,7993
976.8220905,13239,12739,11524,7871
977.8430127,13286,12734,11697,8003
978.8637542,13180,12897,11627,8003
979.8843152,13418,12710,11673,7909
980.9046957,13340,12764,11614,7989
981.9248957,13272,12819,11537,8089
982.9449153,13218,12741,11483,7982
983.9647546,13242,12825,11701,8069
