Ramanshift[cm-1],Intensity,,,,,,,,
1014.652013,15730.6,,,,,,,,
1018.737841,16000,,,,,,,,
1022.81757,15401.4,,,,,,,,
1026.891209,15415.2,,,,,,,,
1030.958771,15208.8,,,,,,,,
1035.020266,15633,,,,,,,,
1039.075705,15343.6,,,,,,,,
1043.1251,15159.6,,,,,,,,
1047.16846,15386.6,,,,,,,,
1051.205797,15281,,,,,,,,
1055.237121,14946.4,,,,,,,,
1059.262444,14934.2,,,,,,,,
1063.281777,14613.2,,,,,,,,
1067.295131,14830.8,,,,,,,,
1071.302515,15957,,,,,,,,
1075.303942,15616.2,,,,,,,,
1079.299422,16786.2,,,,,,,,
1083.288966,16252.2,,,,,,,,
1087.272585,15726,,,,,,,,
1091.250289,15467.8,,,,,,,,
1095.222091,15398.6,,,,,,,,
1099.187999,15103.6,,,,,,,,
1103.148026,15242.8,,,,,,,,
1107.102183,15028.8,,,,,,,,
1111.050479,15165,,,,,,,,
1114.992927,15163,,,,,,,,
1118.929536,14945.4,,,,,,,,
1122.860318,15310,,,,,,,,
1126.785283,14706.6,,,,,,,,
1130.704443,14791.8,,,,,,,,
1134.617808,15424,,,,,,,,
1138.52539,15371.4,,,,,,,,
1142.427198,15302.4,,,,,,,,
1146.323244,15291.4,,,,,,,,
1150.213538,14917.6,,,,,,,,
1154.098093,15432.2,,,,,,,,
1157.976917,14785,,,,,,,,
1161.850023,14655.6,,,,,,,,
1165.717421,15218.2,,,,,,,,
1169.579121,14830.8,,,,,,,,
1173.435135,15217.6,,,,,,,,
1177.285474,14470.4,,,,,,,,
1181.130148,14673,,,,,,,,
1184.969169,15107.8,,,,,,,,
1188.802547,15063,,,,,,,,
1192.630292,14635.8,,,,,,,,
1196.452416,14311,,,,,,,,
1200.26893,14471.6,,,,,,,,
1204.079844,14177,,,,,,,,
1207.88517,13812.8,,,,,,,,
1211.684917,14581.6,,,,,,,,
1215.479098,14101.8,,,,,,,,
1219.267722,15642.4,,,,,,,,
1223.050801,14126.2,,,,,,,,
1226.828346,14214.6,,,,,,,,
1230.600366,14403,,,,,,,,
1234.366874,14437,,,,,,,,
1238.12788,14303.2,,,,,,,,
1241.883395,14208.2,,,,,,,,
1245.633429,14517,,,,,,,,
1249.377994,14561.4,,,,,,,,
1253.1171,13754.6,,,,,,,,
1256.850759,14161,,,,,,,,
1260.578981,14131.8,,,,,,,,
1264.301776,14276.6,,,,,,,,
1268.019157,14134,,,,,,,,
1271.731133,13878.2,,,,,,,,
1275.437715,13741.2,,,,,,,,
1279.138915,14321.2,,,,,,,,
1282.834743,14626.2,,,,,,,,
1286.52521,14024,,,,,,,,
1290.210328,13766.4,,,,,,,,
1293.890106,14098,,,,,,,,
1297.564555,14509.2,,,,,,,,
1301.233688,13752,,,,,,,,
1304.897514,14301,,,,,,,,
1308.556044,14337.6,,,,,,,,
1312.209289,14286.2,,,,,,,,
1315.857261,13769.8,,,,,,,,
1319.499969,13883.4,,,,,,,,
1323.137425,14754.8,,,,,,,,
1326.769641,14070,,,,,,,,
1330.396626,14772.6,,,,,,,,
1334.018391,14039.4,,,,,,,,
1337.634948,14277.8,,,,,,,,
1341.246307,13836.6,,,,,,,,
1344.85248,13846.8,,,,,,,,
1348.453477,13640.4,,,,,,,,
1352.049309,13718.6,,,,,,,,
1355.639987,13728.2,,,,,,,,
1359.225522,14471,,,,,,,,
1362.805925,13877.6,,,,,,,,
1366.381207,14033,,,,,,,,
1369.951379,14029,,,,,,,,
1373.516452,14138.8,,,,,,,,
1377.076436,14272.2,,,,,,,,
1380.631343,14198,,,,,,,,
1384.181184,14047.4,,,,,,,,
1387.725969,14072.4,,,,,,,,
1391.26571,13687.8,,,,,,,,
1394.800417,13707.6,,,,,,,,
1398.330102,13847.8,,,,,,,,
1401.854776,14097.6,,,,,,,,
1405.374448,13865,,,,,,,,
1408.889132,13443.6,,,,,,,,
1412.398837,13057.6,,,,,,,,
1415.903574,13531.6,,,,,,,,
1419.403355,13962,,,,,,,,
1422.89819,13593,,,,,,,,
1426.388091,13555,,,,,,,,
1429.873069,14057.6,,,,,,,,
1433.353134,13572,,,,,,,,
1436.828298,13571.6,,,,,,,,
1440.298571,13788,,,,,,,,
1443.763965,13420.2,,,,,,,,
1447.224491,13297,,,,,,,,
1450.68016,13343.6,,,,,,,,
1454.130983,13936.4,,,,,,,,
