Wavelength,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5
1366.327635,56.33052452,118.4799409,189.5254227,124.8398633,99.07370984
1369.897807,35.18889791,37.88823652,91.05836786,47.18471072,15.8343411
1373.462879,-30.41816123,16.11649451,1.051755405,19.7828873,-72.50313358
1377.022864,163.0517258,164.6689412,150.1427282,121.4923305,208.0954396
1380.577771,309.4094746,222.365494,278.413321,303.6323692,365.3191885
1384.127611,516.013133,328.2173671,418.3678809,474.318999,563.3844652
1387.672397,685.4275501,528.7617705,600.1448351,558.4737326,540.2977733
1391.212137,432.3016718,500.5036563,548.3806478,519.7974014,532.718911
1394.746845,399.4617077,302.5445414,378.7283824,396.9523087,383.6039316
1398.27653,290.1463138,206.0464434,277.1098019,271.3689328,300.3114867
1401.801203,155.1371586,97.44034794,145.2487158,169.8984046,216.013746
1405.320876,34.57646856,31.12253621,18.39860813,64.99024351,20.77032393
1408.835559,11.37796637,-2.219550579,-43.77346534,-15.87700781,-53.69246051
1412.345264,-144.3235201,-55.33971408,2.135552633,11.27619688,-9.146600134
1415.850001,168.7099569,191.126705,228.4291595,152.3896547,268.9993722
1419.349782,369.733448,454.5878916,411.6868032,336.2323034,433.4325955
1422.844618,425.5494333,569.0926308,497.1304552,548.2483462,438.8443162
1426.334519,739.0724777,805.8118396,746.366853,784.180338,766.3877856
1429.819496,882.8339787,925.8591409,945.6753787,923.4257815,778.8454581
1433.299561,676.927764,867.6499817,812.7096121,852.607097,688.9285988
1436.774725,446.1898444,676.9193433,588.0027568,647.1257405,458.6083335
1440.244998,347.7338497,437.6365103,466.6495186,473.7331464,308.0627338
1443.710393,245.0429482,383.6583969,370.0773938,389.3390594,191.3395873
1447.170919,40.12559556,321.9322566,256.4410922,338.9327857,111.9978171
1450.626588,44.6189048,301.2673772,209.957861,278.0721106,56.24476053
1454.07741,111.3395548,292.4671542,187.7284642,219.6895709,7.543842759
1457.523398,33.68498253,155.505635,114.923015,199.0223132,34.02265124
1460.964562,-8.633815271,204.3194063,127.1971437,215.0934041,38.40927995
1464.400914,131.9157021,166.0070876,148.5519989,209.9832368,203.7448986
1467.832463,-45.05604017,6.319721451,52.8916901,154.6042726,-56.04907582
1471.259222,95.68602354,94.58989044,26.18208105,110.1712555,31.72196437
1474.681201,22.52489313,114.7700437,96.29204967,126.0979808,-63.70898933
1478.098412,88.06309809,38.04766778,156.5952733,152.087305,108.0391101
1481.510866,53.01597023,77.0857787,147.8249535,118.6326458,61.46989072
1484.918574,19.62058506,15.4376618,-4.696649559,39.55474751,30.25101873
1488.321546,-94.46024845,-87.51933619,-112.4730791,-15.50706793,-153.2886915
1491.719795,-14.21487509,17.3055693,-14.97819692,-17.99798429,12.90870886
1495.113332,148.703421,17.33392528,50.77138006,-0.963051073,65.10233135
1498.502166,3.671539027,-60.42361673,1.58549268,6.89250318,-39.78314318
1501.886311,107.0801613,45.58266041,-18.17539068,17.50677458,120.8035677
1505.265776,93.05176354,39.03058462,-4.248923707,47.86861496,27.09306751
1508.640573,238.162157,55.93313416,85.42003185,76.27412081,203.7113162
1512.010714,30.44510712,127.7400297,147.0456952,63.69479533,163.0665984
1515.376209,170.5704467,5.16900895,41.40925596,20.88858538,151.855907
1518.737069,3.561446911,14.04160808,24.96754372,-4.837585678,36.50981988
1522.093306,179.0269934,95.76760606,51.5384496,-10.67135651,129.7559327
1525.444932,-62.00370309,-18.40300437,-85.06161094,-20.94769184,-89.55837796
1528.791957,3.154733348,-45.24296804,-72.89865095,-20.98273746,-3.839280513
1532.134392,154.8505108,18.73757817,50.38481184,5.151950856,26.76850069
1535.472249,-19.47163372,4.293936071,-9.002240657,24.76669031,-16.03150217
1538.805539,18.28457107,63.12110506,-48.96005794,12.02640149,6.002460744
1542.134274,36.08434785,64.9212936,23.65464191,-0.873628473,26.85459076
1545.458464,6.374742561,-29.98579528,50.51801064,17.95205834,13.69894475
1548.778121,-4.164211422,-13.03719798,24.57789984,37.7709034,3.458705434
1552.093256,83.31635026,0.236427758,30.45300901,18.61398062,33.4886543
1555.403881,-41.27594304,-4.552579801,38.35211067,-14.10695294,-27.68328858
1558.710006,-41.53585457,13.92089604,-31.21875563,-5.78201173,-40.57938449
1562.011644,-21.05458201,39.86749626,-32.59662096,56.81365427,-108.8379582
1565.308805,28.37927242,83.22153209,116.9121454,149.1128516,-34.91067801
1568.6015,15.86512659,134.5778809,261.7201316,240.9406707,68.60240544
1571.889742,61.11047616,179.7660718,297.4278127,309.9429245,148.2784009
1575.173542,143.7307924,113.4113985,270.8637846,357.3618552,66.08070415
1578.45291,104.7434604,168.4453212,325.4835006,387.9497579,61.72095555
1581.727858,243.9884705,255.7264581,352.1583655,372.887274,181.0003595
1584.998398,9.033045279,128.5245519,250.5348051,305.5892508,-3.808978449
1588.264541,16.03000312,145.3565566,253.3878602,247.0339742,38.06212519
1591.526299,94.05764385,198.2009838,286.877111,233.5958654,12.58009635
1594.783682,37.39482232,121.3556089,210.8573702,234.1552851,-59.23327763
1598.036703,20.4170608,66.21679664,210.9881456,230.5772965,62.83557398
1601.285372,56.50066456,13.03301728,226.4587371,223.6003863,48.77911943
1604.529701,23.95703463,41.8037492,141.2415138,182.1196655,75.55565002
1607.769702,-45.82730455,37.85273859,81.32595405,88.35006172,17.46096486
1611.005386,-27.75077037,-51.19704467,14.81692209,-8.319934055,-83.88094673
1614.236765,-80.5879655,-74.16982883,-81.19806131,-43.45113895,-131.2158359
1617.463849,-115.0831935,-39.59855857,-26.24777476,-11.70769957,-156.0976966
1620.686651,-12.96344588,45.31866702,76.25570734,39.54208927,14.08232586
1623.905183,-21.35002476,36.40413452,27.31876669,70.8092552,18.37381226
1627.119454,-1.71408988,-26.68682011,25.23795766,72.8650675,24.20213329
1630.329478,64.91213043,86.81625235,102.682968,47.67026185,164.4896483
1633.535265,56.1106813,79.76070896,20.37210487,18.93910445,0.434395484
1636.736827,-55.14088848,5.491586482,-42.04941923,24.32205658,48.26256349
1639.934176,68.00057689,200.0755566,77.01949243,59.71352541,167.5687491
1643.127324,88.67003389,190.9432808,89.29986128,92.89115961,129.4787437
1646.316281,-11.96160926,98.46304498,17.08183238,111.1507909,-3.170120657
1649.50106,118.3572448,223.1560716,71.32645251,95.98743345,50.50070654
1652.681671,-14.06402712,86.75543947,42.47830718,41.16868206,24.44299233
1655.858128,20.85128626,-0.576443649,-63.36563783,7.945606893,31.07775383
1659.03044,39.39445227,186.6862422,37.14427593,33.61329329,91.18055186
1662.198621,111.1487185,227.4675544,139.9282044,50.09526421,110.3272237
1665.362681,11.85470365,124.5378922,46.12910883,14.91792488,27.39142347
1668.522632,1.736248753,85.61482015,33.92433025,-8.673356454,-30.53126351
1671.678487,122.968763,141.785566,85.83186871,12.66643147,159.9881598
1674.830256,40.48532626,32.43445157,-2.51618142,23.20005284,-15.69121352
1677.977951,4.056796509,-33.68703462,-29.12046298,-2.970395133,-91.87472854
1681.121584,112.4831985,35.02879488,5.296689058,-20.66993036,122.7467006
1684.261167,-96.27698316,-32.11910702,-39.97262391,0.460083079,-27.94112562
1687.396711,86.49281031,61.98058704,-2.041368612,36.92369212,49.05222872
1690.528229,99.12897693,105.6158694,26.51556263,44.23763142,67.33574446
1693.655731,-102.3713196,-32.68124835,-47.12583889,5.08438541,-85.92954417
1696.779231,33.40252091,3.326987043,-14.68495837,-32.38962228,-19.1340672
1699.898738,-33.29159861,37.31222304,74.26231324,3.137974008,60.58293845
1703.014266,68.54377256,63.45119199,89.14961743,97.31354334,40.28915436
1706.125826,92.44072549,112.2462192,50.81120225,150.2165259,-0.629120555
1709.23343,32.17349896,37.56488107,-2.247016306,119.0879067,-47.00605028
1712.33709,47.96834589,-28.23453898,30.01776092,77.81021526,65.01699205
1715.436818,12.50712295,31.61924309,98.97743325,96.12467988,-0.542525713
1718.532624,98.21489446,59.62094222,77.05321471,131.2451653,119.504916
1721.624522,22.0330778,5.423598772,11.49140048,96.18145157,-9.850459231
