Wavelength,AAB_AS_750_5_5_H_S1_I1,AAB_AS_750_5_5_H_S1_I2,AAB_AS_750_5_5_H_S1_I3,AAB_AS_750_5_5_H_S1_I4,AAB_AS_750_5_5_H_S1_I5
662.44566489436,-78.69226651138399,-70.9203473571882,41.766077061710384,1.0227947088300597,-47.670174916766385
667.062536635729,-97.92189008349058,-76.52218789181933,-14.988361538744542,5.980206362040752,-39.51034715597252
671.672396602831,54.34331735762976,32.40800896898037,-4.113403052788783,-3.193218395234434,-10.034013555213974
676.275256509187,102.12153127112887,-10.072812113823126,15.484990651768726,-31.625752165908935,-5.521965042433674
680.87112805343,-6.734371451209697,-84.24429602912548,32.320580203276734,-36.0681727109994,-19.847837038514825
685.460022919435,-41.796821220713994,-4.156782901636699,70.85938583514445,20.727617335264604,-12.960462441330698
690.041952776453,-2.9911818483702923,50.49906891781315,115.58543128324197,80.67451578190665,16.059243942058227
694.61692927928,0.4336325753714938,17.310740234191876,124.43289548653128,60.325456941887865,29.40560030339228
699.184964068383,-2.974955339030661,3.9209123556644307,92.62354337367557,0.7707221369180814,18.52534197621592
703.746068770051,7.909083536012526,23.57445917409698,84.54766484323144,29.378001960834396,27.650212647618776
708.300254996533,63.224260655007356,88.87200630059553,171.00585209735817,165.6943894458836,87.49504402277985
712.847534346191,152.24420269961848,150.39417996226854,297.64734760476574,278.0709901313126,154.73348280060918
717.387918403629,153.20176671317256,128.76498527608314,315.7206141619837,260.048057830411,164.31513221140193
721.921418739836,78.16218539159648,42.8157663705473,201.2574864847536,155.45827360206852,120.43361574086578
726.448046912334,12.251731222046047,20.061409831474798,96.25254162891562,70.78481542396432,81.79030815967742
730.967814465321,-22.852467828029596,127.0030784923441,104.03399718727889,56.33746022495376,78.46641452186954
735.480732929795,53.53430029514472,174.10657535946348,173.92166470121347,105.9694433351084,92.91078265909695
739.986813823707,168.46744253224065,111.53136782972287,188.57068020255144,165.16336144105264,102.75588536740852
744.486068652095,116.87486968954698,99.58560207280807,117.36920021002376,153.68386175805335,100.01460144895769
748.978508907227,11.539757450881954,40.128782285468496,46.08568702458796,73.76386440060512,74.4403258110887
753.464146068734,21.449948246610518,-60.084759729885235,18.675276841559416,7.907406721477756,14.98067750814194
757.942991603746,-8.5913453824321,-38.69898426869826,-9.051234771787932,-12.86776244658175,-51.0237878463972
762.415056967038,-86.59399910876343,-48.85992058211537,-4.017778352622809,4.15281543293618,-53.921591021492276
766.880353601151,41.15398489201451,2.7643825839912175,101.93917743450801,76.96169420459215,28.564331370205846
771.338892936546,249.07548196993835,207.22572533838422,207.85621567396043,152.76201785756774,109.46462466208104
775.790686391732,191.9079400738258,158.27991559281884,184.29891298623588,123.93653764505984,98.48531978923538
780.235745373389,-5.865486660357796,-9.577263485426451,102.50612106659861,27.331168986137115,30.306588033710987
784.674081276531,-36.90182258814883,10.897094231440963,75.41349604657485,11.062317194570767,1.2149123511265145
789.105705484608,104.5351998278478,27.18394835135732,82.96765394990904,86.36585677210645,29.141949709786967
793.530629369667,256.76666050982806,124.37210250554335,76.43325799127746,117.97299738152405,61.543341837380666
797.948864292461,236.95306497246906,198.32213968095041,56.13072812009254,73.24844392330263,75.61978200676857
802.360421602603,101.80977703577975,22.65046710067304,47.1796561096018,80.45187735486846,90.02694047595187
806.765312638689,112.80526919568277,-30.321479152136252,75.0211720123004,161.76776134460988,99.17392467101486
811.163548728429,158.13317612024093,46.65473129272243,121.78569500941997,151.71191222322946,73.27444761705092
