Wavelength,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5,AAB_AS_750_5_5_H_S1_I1,AAB_AS_750_5_5_H_S1_I2,AAB_AS_750_5_5_H_S1_I3,AAB_AS_750_5_5_H_S1_I4,AAB_AS_750_5_5_H_S1_I5
884.9262819,176.57116,149.64446,194.99161,29.4597,190.83584,323.3911357,213.6669856,291.2316642,134.6489414,244.5727188
889.2066544,162.53175,204.34365,209.54002,45.55887,120.56815,323.0027955,290.0432195,246.1320575,116.9578578,144.8183602
893.4805852,-20.63484,2.28998,-19.89279,-45.44413,-52.17014,94.66511186,19.98636712,67.44937751,25.89514757,26.07923079
897.7480856,-25.99251,-7.68648,33.62101,28.60615,12.17364,-55.15744278,-97.52641099,-2.446817671,-7.522767192,1.762575449
902.0091666,107.3627,176.00177,219.7972,126.92854,123.93921,128.5065951,49.53550201,139.1278459,75.57210874,78.96898254
906.2638394,86.2178,-37.99057,146.29102,7.9227,72.89774,303.6963975,127.8784974,256.1587393,116.9867293,121.007453
910.5121151,85.51032,65.80933,158.73317,21.03715,25.32162,141.1083192,30.58619779,178.226143,26.39167063,51.89074281
914.7540048,82.45602,225.54833,205.74725,119.27721,32.34054,-52.07561412,-59.39801491,46.19550952,-42.44443133,-27.91516512
918.9895195,-12.13423,-21.72763,48.62379,53.11847,28.72737,41.79884863,9.934706543,9.405775759,12.9806603,-13.41102583
923.2186705,14.42368,-7.68936,-70.42151,7.62968,4.41928,181.08294,31.50681955,37.13340517,65.39014443,57.40528934
927.4414686,86.6281,-11.77194,-10.31779,-1.38806,-10.77213,166.207391,10.01386576,95.33359546,26.80259216,100.8422181
931.6579252,48.41128,110.12065,144.01895,-43.8291,42.66502,134.8582661,122.8254389,184.2388577,-7.588016094,96.73732553
935.8680511,-13.12506,67.09205,107.27836,-49.04868,17.03265,133.8882101,168.0251464,237.9996214,19.40177415,61.63975305
940.0718575,-15.10617,7.93984,24.98603,-15.23279,-99.91421,96.68625645,55.90971816,200.3700946,24.85433637,17.19653345
944.2693554,32.90748,-73.45971,117.7926,9.2109,8.81798,31.30032079,-76.67056488,111.5768031,-33.22257683,-9.653413272
948.4605558,26.52926,45.84456,31.39465,-5.55262,113.55639,-13.13040871,-73.28622628,54.39295291,-59.92851048,-6.693953395
952.6454699,-44.43363,-37.55606,-43.64991,6.9421,-18.81499,-13.21386098,38.39363052,72.45507127,18.68863855,17.71834348
956.8241086,-43.17013,9.74281,31.85168,92.852,-28.25493,42.11207728,17.10746919,137.99966,137.9729295,51.19618425
960.9964829,42.78813,-107.35068,-0.04276,131.43584,34.73583,122.3945315,1.93399806,186.5054317,204.0816722,76.83015519
965.1626039,35.73974,59.2146,18.68033,95.76984,2.72845,101.241995,117.133682,165.6534837,198.1878547,75.8063239
969.3224827,-36.46078,124.55999,14.15856,130.48537,23.07041,-6.617858776,121.597561,71.98067283,131.4304846,50.34930938
973.4761301,58.16946,54.53537,-44.37024,137.47146,92.18436,-16.07639218,36.04636639,-17.09426759,32.54092598,25.2570179
977.6235572,145.06279,183.54537,-19.28373,2.30713,87.57856,51.42005438,32.93947983,-20.50012184,-15.65489821,17.71085175
