Wavelength,HS_AAB_P4_750_5_5_H_S3_I1,HS_AAB_P4_750_5_5_H_S3_I2,HS_AAB_P4_750_5_5_H_S3_I3,HS_AAB_P4_750_5_5_H_S3_I4,HS_AAB_P4_750_5_5_H_S3_I5
1018.737841,45.17929816,191.269998,101.8140508,165.5051784,100.622472
1022.81757,43.21166972,206.2716276,28.60232389,138.8574454,104.4851682
1026.891209,121.6636173,224.6304106,139.0964154,124.6342114,88.29469178
1030.958771,39.82680538,220.6591389,19.33479647,191.4562,97.00030827
1035.020266,98.63551994,176.4031439,58.25475564,240.7541559,103.3753448
1039.075705,-2.151546332,131.4738673,-8.593382979,130.9084652,53.14451982
1043.1251,-39.77684126,144.9873369,-11.67730568,24.58121168,5.33080698
1047.16846,86.68862754,194.267622,-32.66696922,109.2635213,42.98146405
1051.205797,120.1604775,184.8545261,87.05738567,181.9664499,102.6662278
1055.237121,-62.50864469,95.14242961,8.165715311,76.41121821,71.62902355
1059.262444,29.85397734,32.4227078,4.257958723,-25.11695547,-1.013788345
1063.281777,33.83006145,102.5619005,147.95776,38.27302089,45.54715516
1067.295131,70.2290327,277.5743499,257.3613528,228.4442798,231.8680448
1071.302515,432.0267485,431.7907056,611.7984122,402.8742562,391.9784327
1075.303942,357.4949448,474.2547955,486.9863161,439.5585196,405.5001118
1079.299422,274.3798174,397.5016351,467.6498106,326.7487814,308.987381
1083.288966,114.8003529,238.8477861,247.1036474,130.892841,171.9770707
1087.272585,-29.37043086,71.5324664,121.2729393,-17.10576729,43.86683869
1091.250289,-54.64789591,-7.123837801,-45.71457543,-42.28137283,-15.26551123
1095.222091,51.50237367,29.20517061,-2.372488901,1.917482329,-0.653683684
1099.187999,47.25815318,83.17889968,-11.00460841,57.68346145,16.1107138
1103.148026,-52.61145934,60.57959759,127.1005905,52.91298537,5.078752681
1107.102183,3.413263748,3.724729809,0.702393922,-0.426807106,8.975414127
1111.050479,-13.44107763,5.390287339,-5.976557108,21.87701143,37.83643904
1114.992927,31.01192112,54.19376524,103.6223644,59.17870613,42.95926034
1118.929536,16.63886502,71.40729005,37.11583013,14.55653392,6.488499038
1122.860318,2.417395747,55.65178472,114.5710314,-12.71865869,-16.06170069
1126.785283,70.41019772,102.909409,7.293215945,34.89596039,47.45034557
1130.704443,184.0322835,279.9657735,243.1278692,148.0371021,210.8091267
1134.617808,348.1991292,514.8605587,500.5601464,328.6005888,404.4105711
1138.52539,506.4866502,648.4962186,683.5313118,480.2365067,526.2908132
1142.427198,523.5743738,595.2828895,513.9273356,468.9483543,513.3775428
1146.323244,406.6776898,413.9353816,554.2455255,297.2889503,370.5254938
1150.213538,185.5094752,225.7117607,227.466892,119.6786296,188.8345084
1154.098093,2.657269488,106.5460932,9.130607804,66.84777726,96.63706152
1157.976917,37.75239755,54.38221628,1.654954683,94.05888554,109.1082289
1161.850023,-34.44067855,30.18903151,40.69296597,81.50184491,117.9781606
1165.717421,-75.56310159,11.10287336,-12.09040342,15.5648912,67.23789736
1169.579121,10.06146566,-1.042069366,30.11309115,-31.66026291,5.565124988
1173.435135,-18.7320278,2.216163594,-1.07406618,-32.83115252,-16.90287321
1177.285474,15.35655016,21.92856336,-72.70406397,-23.95124814,4.471432373
1181.130148,-0.067704417,44.21960973,85.08955878,-13.21790549,50.09854654
1184.969169,21.24236242,60.36386419,-42.01854092,37.8865215,96.70627129
1188.802547,4.404934651,85.52292763,122.9211293,110.6867312,124.5829695
1192.630292,41.64415827,125.8213458,232.4074662,114.8265115,119.1783986
1196.452416,174.0034244,151.6895257,119.4017324,38.02523855,91.50225125
1200.26893,43.86928005,127.5217701,144.3799089,0.961677167,63.50138358
1204.079844,8.547989143,54.11575331,58.19718388,30.68746118,21.79957335
1207.88517,2.618703812,-11.31388197,19.72573359,-9.157219656,-27.27716608
1211.684917,-82.58082457,4.591435909,-60.45283309,-67.49264469,-6.671540494
1215.479098,6.222782705,94.78097405,62.51018302,14.64090934,91.6825346
1219.267722,119.4704548,160.1363433,197.7257696,89.65755065,136.5578811
1223.050801,-19.3175647,134.6217353,-9.022917957,30.05565524,71.54028037
1226.828346,-61.987662,58.46287717,-57.14979088,-16.37200157,9.627117432
1230.600366,15.37813516,4.203761169,13.20131932,-7.652803956,13.02087989
1234.366874,43.87036347,1.829312559,19.56400602,-4.584360682,10.54345784
1238.12788,47.57489899,42.87654821,-38.44717904,-4.518367752,-20.58289602
1241.883395,4.988368505,94.22105632,4.101591006,3.31993662,-10.94659129
1245.633429,170.5797602,112.9413184,51.33446969,20.5275325,45.89294095
1249.377994,119.9878012,95.50672082,97.06207827,9.352059315,71.21117306
1253.1171,-47.41390837,85.04624033,-5.917254101,-6.048569641,43.56762554
1256.850759,8.701342472,95.97883309,-27.43860379,27.04796369,20.75392228
1260.578981,18.03838529,92.17932263,-3.01549457,61.30257989,29.22472185
1264.301776,30.96773466,61.65510047,38.73460847,69.97595292,37.64112051
1268.019157,98.87598278,41.14072352,30.97087756,22.04600781,23.16867831
1271.731133,-1.994347695,60.59709879,13.29988996,-44.68701085,13.8166225
1275.437715,-23.78708736,102.9049011,-57.19434776,29.03744021,50.10442515
1279.138915,141.4334066,113.3862006,111.9975976,151.2818065,100.9552994
1282.834743,75.66755232,61.74937769,-10.89010194,112.3113178,81.6985124
1286.52521,78.58119647,-1.210040704,-44.23530232,-19.04313922,-9.40601213
1290.210328,-34.3133522,-0.772474573,45.93590834,-75.1321933,-60.01435648
1293.890106,-34.80496578,53.64985892,-1.304830037,8.576745931,-0.326699954
1297.564555,150.6012035,94.78325849,154.2551795,116.512528,95.05279929
1301.233688,44.41785718,108.6130616,108.2570408,96.84900081,125.6783173
1304.897514,104.5433109,123.1708773,133.0662679,82.18343715,104.4625519
1308.556044,81.85106422,130.3755904,121.3140024,160.571931,97.37956491
1312.209289,135.0353444,113.8941916,116.4747144,132.6415652,99.34762564
1315.857261,116.929093,98.42310084,39.55351622,25.14420402,66.74914393
1319.499969,-20.83102589,105.546218,-31.6128309,25.689994,15.74234313
1323.137425,27.08425593,116.7766843,-7.695162243,36.77529201,-3.823496417
1326.769641,0.904065164,114.2104137,-19.25784765,-19.51016291,14.74778368
1330.396626,27.39159146,107.0348312,163.2824397,-24.77916423,33.72357669
1334.018391,9.102720679,101.8945274,84.45051312,8.195997264,16.76766665
1337.634948,14.00680791,95.48630129,3.730049725,-8.068513369,-17.86955287
1341.246307,-39.12783895,93.02318134,-4.304167128,-16.40682826,-16.44033591
1344.85248,-1.13852737,91.17130038,54.38407248,31.76342006,12.08960866
1348.453477,12.81263107,79.65208437,-10.40589033,60.99436326,10.30472662
1352.049309,-75.5982201,78.80816565,-21.93981951,29.87793038,-3.377397807
1355.639987,32.03115715,108.0494047,-20.15658188,-10.94324191,34.29498259
1359.225522,66.32032063,137.0263578,-30.05286071,-28.81799246,85.17950936
1362.805925,-9.097525865,134.277628,29.41012856,-18.36759063,61.00051714
1366.381207,47.74660579,112.2719326,-57.80944728,23.31485169,-3.048153018
1369.951379,83.66323501,95.7432033,46.21561394,65.72428467,11.65497143
1373.516452,2.82325307,109.6548038,51.53903991,96.66527123,127.1327596
1377.076436,184.5373405,181.854936,188.0479822,136.4191034,245.4213512
1380.631343,290.8091368,294.3731298,162.7642561,178.440515,281.3478725
