Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5,HS_AAB_P2_750_5_5_H_S3_I1,HS_AAB_P2_750_5_5_H_S3_I2,HS_AAB_P2_750_5_5_H_S3_I3,HS_AAB_P2_750_5_5_H_S3_I4,HS_AAB_P2_750_5_5_H_S3_I5
510.9123349,58.7079215,20.4045087,328.7413022,36.26860156,288.8795331,306.4545076,356.7609586,116.8364937,123.1043721,289.4852262,177.8643074,100.6794802,-3.646071394,5.282687602,44.84603558,-22.65795073,86.24719624,113.8111952,42.15932316,53.05758396
515.7598651,67.71805572,306.8924182,327.7530899,40.09793101,405.6863431,260.9232047,430.9005365,124.4665059,44.3806651,337.6752807,-74.13098514,-52.21098668,-46.68893908,-16.39667304,-146.9574056,-109.081206,26.30152665,1.39545721,-10.29574665,10.88129124
520.6,51.57042765,-84.11984997,261.6564153,92.5547456,290.6575761,204.0349157,189.7754369,46.11187572,102.9710368,265.6522853,121.7363395,-21.07852742,-77.08180018,12.2242385,17.28430227,30.03830664,-12.8893198,8.542048878,7.147276596,10.75591368
525.4327518,-0.39408841,68.04237343,201.4292411,7.524916534,171.6930919,193.9489874,243.1805014,-10.18389941,41.97829693,190.5679923,35.94948937,144.6901226,29.41705737,47.11977781,-87.55022064,47.34358905,0.326610777,97.04713767,88.07599364,52.99700225
530.2581327,-73.59134869,70.34190854,221.0370038,100.7921573,274.6339962,34.23010407,269.3934651,-10.7365852,82.09905897,239.0240682,22.11918024,14.77255119,32.25769058,46.51441709,67.91405557,33.27017075,63.78778543,133.587555,169.7934472,97.68722747
535.076155,47.63181498,204.7485117,279.3531751,310.1344932,372.9638845,71.88420686,300.8248166,45.32284096,229.6340251,334.2782447,-54.38456672,-13.10485311,-35.03275533,51.38656027,-12.86873432,90.8040655,121.0847843,116.064777,199.4111398,108.3565226
539.8868309,67.46334188,226.2471585,266.1891064,195.8272902,296.5663156,201.783318,376.8051969,258.3446988,213.3358997,326.0859091,119.5802549,154.5607353,33.64485734,86.05418593,165.3344705,19.45811832,94.74165121,90.48562403,176.3732531,77.79923576
544.6901726,-74.5962885,-43.84886991,163.4569326,17.75225017,204.441337,-0.134384099,168.4589521,7.681435883,33.02001772,251.1869783,196.1703131,138.7758021,49.48126161,83.87198513,45.20357957,-26.3654502,10.85164118,69.33816999,135.62769,40.54409951
549.4861922,-61.26995514,69.21633079,80.70065032,-40.52679641,132.0092334,27.75336834,127.8030965,28.67816137,-39.78190839,240.4360752,7.934000865,13.14111231,13.01752644,17.69745343,15.0382093,-13.33258924,-33.3913755,72.93647271,108.0984689,31.27657802
554.2749019,-65.46025059,-90.81385606,98.7219459,-56.99551609,8.926631375,168.4599965,258.0477511,142.9590356,118.6470586,182.0196099,-1.681049479,-20.73368236,9.919742729,-31.94686152,33.71764781,-7.495232454,-15.64975881,83.21154012,101.9816457,31.23481544
559.0563139,54.51146709,215.6983295,149.6577385,163.912293,-4.955582912,37.26633844,168.7376407,159.7078164,92.78377013,-8.447915811,-50.87096559,0.839885093,-62.55908547,-15.40561642,-62.57771609,-33.44642007,30.09295789,56.06603779,110.711967,12.27614276
563.8304402,115.9719469,131.3755888,116.7935899,203.6513142,95.2678548,-76.51832725,-28.08787446,-160.5495567,-71.09823867,-62.87595148,-42.08764251,7.110415612,-58.97081401,12.98882488,23.42283245,39.94512168,83.28437668,34.83219066,124.6076031,2.30608008
568.597293,-140.8495061,-46.94147122,10.38038404,-49.60396031,38.48851667,-46.34308001,11.82798557,89.13837708,-8.365803225,68.05506273,47.69958463,38.19183933,14.00539663,2.839234307,98.43565984,126.8699467,99.84860534,63.35024623,129.6531939,29.81376298
