Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5
965.1423166,30.78543849,206.8763492,66.81157077,110.5337468,11.59302549
969.3021953,40.42861527,152.2365245,59.53382428,58.34902544,60.30513204
973.4558427,40.90201116,-7.309578374,-36.80675107,36.78760044,61.63516492
977.6032699,-21.95712964,105.3551201,-28.19288506,46.97250038,48.01687026
981.7444877,14.90985825,199.9374044,-7.602643119,34.11170823,21.69496617
985.8795072,-51.11082348,87.97180746,-57.33569595,-39.75139169,-20.28691943
990.0083394,-113.0731722,23.23807874,-24.05465124,-37.83076539,-23.83645541
994.1309953,40.26419329,81.66981929,20.31978978,72.03748993,18.51796883
998.2474857,132.9557512,169.3889042,-1.833051804,125.3030703,75.08087623
1002.357822,128.2679749,298.6740329,167.1687997,216.0880567,152.7130712
1006.462014,193.2710658,397.1961957,285.765109,257.9094137,186.3899737
1010.560075,211.5881706,240.3412819,117.8935131,241.6199888,132.696904
1014.652013,178.3495058,240.966856,68.86482974,217.9550365,130.3282366
1018.737841,103.3379974,87.28783005,101.6141906,128.072853,220.0335548
1022.81757,82.27628231,62.86666005,113.352499,193.1633565,224.215381
1026.891209,44.49778388,197.6589178,40.4088474,152.6102248,89.58341877
1030.958771,-20.76281863,-17.42619418,-56.4515113,-6.434014445,-23.64422511
1035.020266,-11.35429632,146.4243125,-40.39144927,124.8423061,-19.95135567
1039.075705,0.545270166,306.8791591,41.99599968,121.0132587,34.06844968
1043.1251,79.86742267,192.2788107,-0.557073014,34.43185053,46.76984135
1047.16846,71.79363533,75.54589534,34.14433211,82.31422315,10.53991188
1051.205797,31.1519893,6.803736019,-38.20227776,-50.54677764,21.93998459
1055.237121,103.6169164,198.449758,134.0170517,33.56961289,110.982618
1059.262444,300.2149689,338.7437434,227.7782919,302.0536024,207.7766647
1063.281777,589.6753227,626.3384623,606.6874341,464.6845728,439.025171
1067.295131,933.0063554,1116.164559,1031.65737,909.039991,901.4101918
1071.302515,1276.434422,1327.087518,1206.509716,1295.294735,1257.461047
1075.303942,1286.918997,1293.858007,1215.187369,1268.821389,1234.797962
1079.299422,1025.471382,1031.746058,963.2362391,1026.904229,970.1433296
1083.288966,589.1591813,633.7652287,544.122331,517.5209889,592.8066616
1087.272585,169.0954772,270.669939,191.6179637,180.4024361,199.4093896
1091.250289,95.87760967,129.9485961,25.41745281,169.2520166,-15.76611624
1095.222091,34.00705227,60.75260472,-67.39509578,24.94812465,-34.08344888
1099.187999,-49.94109655,-38.46457387,-21.28904394,2.830844533,14.95656459
1103.148026,-18.09930459,5.306806501,24.31809961,45.70483742,54.46150211
1107.102183,-23.75133282,30.35864059,-59.82902466,-72.52105164,24.31080366
1111.050479,24.12259627,119.6402095,3.422635179,-41.15879912,-32.15978347
1114.992927,84.93401012,105.1650969,63.74635503,18.77825499,12.85203145
1118.929536,184.2318319,91.1545021,24.41542316,89.95606251,152.8410527
1122.860318,346.9657025,304.9927326,212.3550452,300.73823,336.5556247
1126.785283,627.3615436,637.0083819,440.332183,606.7855288,638.8536548
1130.704443,1156.7128,1166.699381,998.8892179,1073.237524,1113.582495
1134.617808,1758.375339,1666.145912,1378.948322,1605.344359,1646.461155
1138.52539,2173.721871,2046.04743,1836.622384,2019.359853,2000.606531
1142.427198,1993.754694,2005.76016,1704.935143,1982.361828,1912.928099
1146.323244,1420.437641,1340.344028,1146.427048,1347.908003,1357.495168
1150.213538,854.198914,724.6263582,630.5647589,676.1926887,702.188813
1154.098093,361.6694661,447.4852013,227.1752058,378.839899,291.9643071
1157.976917,191.4931717,146.7656688,119.7094146,161.9656024,109.0206406
1161.850023,141.01023,8.702847975,6.339109684,-3.30878462,24.49384167
1165.717421,16.45940732,16.64532916,15.84074365,-4.40046605,11.51212865
1169.579121,10.45018997,-7.837934593,-55.28730402,-22.17474123,60.37193441
1173.435135,31.20267092,146.5012585,61.91423332,15.72939868,114.8816067
1177.285474,-23.2812737,118.0246062,-51.48510019,16.56568899,127.7016959
1181.130148,157.3348371,183.4456353,48.36929019,32.38149191,148.0533689
1184.969169,370.442057,412.4769714,276.5893363,240.3643319,253.3078582
1188.802547,403.7970038,431.1286175,362.9362368,274.7897313,377.687699
1192.630292,496.0396223,369.350161,387.0192972,190.2649227,398.6241999
1196.452416,393.5251135,373.5409625,246.7168353,232.5092513,336.6229331
1200.26893,229.4590612,450.0544563,310.1141681,179.2531017,240.8081619
1204.079844,212.0687563,224.8371182,152.2074045,67.78063496,86.67135287
1207.88517,122.9401047,186.1491695,-26.41595253,34.4891149,-43.81161298
1211.684917,15.50133717,176.4251053,3.103593588,-57.45440984,-4.541083045
1215.479098,164.3674027,127.881075,105.0699378,48.44400999,140.8025717
1219.267722,351.451945,386.3240401,345.9822556,302.5686401,185.3065471
1223.050801,166.4353253,324.6041827,221.239768,166.4070406,128.6572543
1226.828346,93.01110461,255.6308217,174.7072767,75.76709682,132.2179189
1230.600366,97.18146874,212.4686786,140.7375101,164.5211425,131.9858131
1234.366874,-88.83536586,-18.6742641,3.502777041,-23.51843743,13.7382107
1238.12788,-36.13510367,-16.04064523,-28.59203116,-53.80954663,-43.11664929
1241.883395,37.08618745,208.898846,143.5484578,141.7398307,27.48821289
1245.633429,5.328273675,241.3474903,193.8786273,79.57895792,27.07993853
1249.377994,0.58467505,150.8474867,44.39070878,40.03490319,4.874425999
1253.1171,7.688415049,193.4328782,199.9462238,231.4659671,87.26588012
1256.850759,80.34393493,146.7919722,210.2070843,148.4188062,95.33780051
1260.578981,16.55636327,95.69344006,-36.2550829,-16.55275427,-1.826014432
1264.301776,25.31893037,169.2276302,181.8464423,118.3234878,12.99879379
1268.019157,89.85133818,227.6922624,227.441809,127.1199697,112.7277851
1271.731133,64.72162314,211.3281495,271.8163181,111.7881629,137.7709357
1275.437715,115.8814627,115.2058242,130.1221547,171.7952401,104.082571
1279.138915,34.87341712,22.07354775,115.2382718,66.57452386,93.31177223
1282.834743,31.18547631,1.658099791,213.5227158,19.83498657,91.74531127
1286.52521,4.080574709,51.94003785,-59.16395389,-33.05504579,14.9465583
1290.210328,-80.27993483,19.71887233,18.57751751,-58.06465862,-68.23266594
1293.890106,80.08573433,-54.41482986,-28.72377373,107.5927857,15.14216407
1297.564555,128.0831716,102.7156583,146.7427784,151.5398336,159.8755519
1301.233688,175.9222235,107.8884177,49.09701807,48.54760684,145.0746367
1304.897514,143.3726825,20.54305105,140.8714198,40.29861662,86.5047366
1308.556044,126.340734,189.7328974,68.59231204,152.8668403,168.001072
1312.209289,178.7317481,176.6133361,223.1611071,205.8127582,224.4816284
1315.857261,-33.69684627,95.30062107,60.87954471,101.9765097,101.1426472
1319.499969,-25.46376175,59.16518425,-88.47879573,-2.314149829,2.560153514
1323.137425,12.17079106,-8.040407795,189.3604355,-1.721281011,58.4995795
1326.769641,43.32997163,34.04311286,87.29065232,72.10755267,80.85484328
1330.396626,90.73113256,19.05138504,-2.360525074,40.39329237,14.46874238
1334.018391,-11.94025227,-5.621966541,45.19873831,-46.76112169,22.7201149
1337.634948,42.48399513,8.789410967,103.414674,23.18734857,83.83276035
1341.246307,14.90153702,-19.13677877,-46.96687996,22.86817547,62.09299976
1344.85248,22.40310785,-16.49741299,-16.29854298,-26.43162249,7.610338633
1348.453477,43.36205676,5.543974796,95.69666546,14.56779082,-11.07599331
1352.049309,-43.06434088,-26.63514269,9.436606545,-48.33930213,-26.53317783
1355.639987,-71.79850441,3.250094905,-36.33477059,-10.05378345,-0.282214293
1359.225522,-7.282689337,33.92647317,115.8089453,140.6756091,75.87887298
1362.805925,-0.770315876,-56.21819762,45.59998063,93.90039896,96.84626757
1366.381207,11.56312404,27.83720948,-3.88115111,39.8769182,79.61261681
1369.951379,217.5401454,181.4834257,261.6467563,164.1834369,116.9352775
1373.516452,256.7993884,250.1799101,265.9324175,308.4542259,203.6034562
1377.076436,425.7316469,429.4614504,375.581357,382.400547,339.7659041
1380.631343,630.9251601,547.3108119,662.4249546,546.98014,531.2915184
1384.181184,836.5821256,750.7146706,807.0057587,880.5161154,741.5340213
1387.725969,1120.301629,987.2017974,1113.017849,1089.587175,931.3974923
1391.26571,908.3920589,836.9648898,852.1247134,945.374913,974.9183766
1394.800417,637.5091452,595.8787293,569.7293976,623.9421505,725.4794389
1398.330102,301.302405,330.7338361,264.5462849,288.7358637,297.1693907
1401.854776,-14.39565889,67.65066954,57.57449678,-25.56960314,13.38132271
1405.374448,26.63857727,-7.73165732,-56.51809898,-76.12257683,-25.3593089
1408.889132,30.64970237,31.46254693,-44.75487142,43.00944957,-6.420525987
1412.398837,-82.73450014,119.4356512,-7.826210866,23.9112178,32.12869606
1415.903574,32.28943129,263.6366638,123.4976897,187.8628468,233.578238
1419.403355,535.9782913,582.3932508,575.1624951,545.7074291,579.4543341
1422.89819,876.0481504,942.2558865,807.7403487,837.8660027,976.0724635
1426.388091,1128.630089,1286.157049,1113.121896,1253.32679,1340.956761
1429.873069,1317.272251,1433.868746,1222.330067,1491.224971,1441.113846
