Wavelength RP,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5
1157.9972,305.50664,173.28,114.06887,183.02095,211.88643
1161.87031,228.74088,120.26575,47.18942,150.70778,104.08399
1165.73771,94.6844,-33.35181,-29.16938,36.6099,81.73686
1169.59941,-2.19381,-38.02863,-30.59772,-52.0769,107.95274
1173.45542,-14.66903,-65.09265,-7.19949,-1.93962,6.83119
1177.30576,-7.65738,-5.56155,61.326,53.92163,13.39117
1181.15044,71.79389,52.55722,106.68386,17.69562,145.92674
1184.98946,198.41527,41.84477,117.18634,75.42558,190.27965
1188.82283,140.56484,22.80012,146.9992,69.20811,98.03056
1192.65058,29.07346,75.56925,130.92412,-35.84132,21.26653
1196.4727,84.0798,74.95007,87.85505,19.23643,157.01519
1200.28922,43.83526,34.31404,-34.73293,-6.84852,154.84373
1204.10013,-57.85398,-161.72602,-84.23303,-79.12028,-76.34736
1207.90546,5.45487,-11.82084,35.1009,4.44409,-12.1779
1211.7052,19.24816,-34.43723,11.44899,20.17322,111.16198
1215.49939,30.83247,-53.09103,-49.92294,11.64745,13.13042
1219.28801,130.0595,73.03866,28.00537,14.42315,64.0771
1223.07109,28.23333,-20.93485,51.29287,31.79404,146.7397
1226.84863,-96.78049,18.94891,-7.35217,22.22456,25.34967
1230.62065,83.92744,-21.00427,22.12048,-27.64131,14.25392
1234.38716,176.09442,154.56249,130.55051,98.58344,119.09033
1238.14817,13.57229,42.81856,39.22521,78.76095,110.25123
1241.90368,8.58039,1.27977,-20.50161,-46.48106,148.32337
1245.65372,28.50453,148.9102,112.85329,29.67952,135.6678
1249.39828,16.30977,40.12975,6.927,-15.82433,-4.13741
1253.13739,180.19794,108.58079,-32.75816,-20.93079,3.34915
1256.87105,106.19634,38.31951,75.00417,54.44823,16.73576
1260.59927,-77.46091,-108.34271,13.39972,-30.16234,29.93735
1264.32206,88.12122,98.91247,151.67074,51.57733,190.75687
1268.03944,146.62043,133.99348,193.2519,179.63956,203.15935
1271.75142,0.88122,-2.72028,-3.73271,68.63545,125.66475
1275.458,26.31153,141.19288,23.98374,-5.23429,105.39633
1279.1592,35.10625,39.74574,-15.68581,-9.60459,-32.61967
1282.85503,-10.19657,-74.50523,-45.9007,-64.08413,-42.17494
1286.5455,78.61641,53.68316,84.08351,8.58221,97.80641
1290.23061,93.7089,-21.21443,14.61559,95.94345,12.24159
1293.91039,-20.13651,-24.42884,-21.41106,-20.10482,-47.29311
1297.58484,12.4822,-29.40868,106.89984,2.2573,84.93342
1301.25398,186.79434,214.49805,161.53732,164.13502,111.37862
1304.9178,256.54363,73.8908,198.30574,76.46985,113.54303
1308.57633,187.18649,27.93239,156.58533,50.19729,121.02404
1312.22958,177.11776,197.05598,50.53585,156.94923,16.0276
1315.87755,228.42835,-37.67551,102.26162,54.70271,2.37007
1319.52026,163.31582,102.69812,117.75629,29.18147,48.97573
1323.15771,119.51482,59.00312,9.3547,144.08367,32.1
1326.78993,141.38935,9.21158,-16.58058,111.91615,51.63938
1330.41691,10.13671,-7.5333,-34.62569,-16.35427,23.89673
1334.03868,-71.92993,5.69215,-11.5645,-55.87968,-53.18108
1337.65524,20.4488,4.48674,60.9428,84.84572,-39.51067
1341.26659,23.44074,-49.93086,0.18952,69.92277,-26.34298
1344.87277,-19.87865,-16.63447,-27.67468,-104.4627,-36.02965
1348.47376,3.90897,-83.80099,6.46407,20.33187,5.05302
1352.0696,23.8604,-47.87894,-20.87693,146.39346,7.80884
1355.66027,69.72242,70.78209,78.55635,100.95041,37.73349
1359.24581,90.71864,71.46178,159.12201,132.11594,120.1338
1362.82621,5.84602,15.80662,9.13956,31.95995,70.3257
1366.40149,-29.18611,-3.77489,-50.52644,11.66654,-3.7313
1369.97167,27.31762,9.44738,32.81428,176.02239,-13.38534
1373.53674,67.41473,-49.85193,42.83757,47.29004,-40.35486
1377.09672,130.31033,33.08396,134.38608,3.02213,38.65231
1380.65163,211.8842,243.24273,287.76452,219.12246,170.93556
1384.20147,346.86183,290.7214,321.4045,244.46217,225.00964
1387.74626,489.85395,423.43457,403.0659,349.14952,326.18741
1391.286,348.00603,414.12607,471.08391,429.43249,357.29772
1394.8207,77.04039,281.81404,345.84955,265.68997,211.68464
