Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4,AAB_AS_S1_I17
617.8669475,112.8768613,100.8584528,22.85940758,24.3219969
618.9520134,129.3856422,118.8494339,19.54,27.72614361
620.0368834,144.1979558,135.1399424,26.70698683,34.21244131
621.1215577,156.7339705,148.2062117,15.52847435,31.74624018
622.2060361,166.6199511,157.4200533,1.320659149,27.37661937
623.2903189,173.6885358,163.6476597,6.477184942,33.17390173
624.374406,177.9564083,169.2596411,-6.48,34.79143402
625.4582975,179.5934799,176.9538524,-11.23,33.90513511
626.5419934,178.8922137,187.4732229,2.662274815,39.39170807
627.6254937,176.2377463,198.3468841,5.845052588,42.83936607
628.7087986,172.0764766,205.3460637,10.13837771,45.5636964
629.7919081,166.882431,205.1078125,9.672071585,45.23092461
630.8748222,161.123346,196.5752095,4.945073695,41.54458016
631.9575409,155.2288536,181.3816961,9.119071942,41.58504124
633.0400644,149.5606295,163.8036378,3.07,40.28876455
634.1223926,144.3827958,149.1055727,-7.4,40.32269131
635.2045256,139.8356379,140.1858955,1.823461411,42.14076453
636.2864635,135.9241258,135.7212845,9.995705606,38.33444268
637.3682063,132.5329743,132.1453469,16.63957339,34.73602039
638.449754,129.4666217,127.0977154,14.5326574,37.55851952
639.5311067,126.4985724,120.4653226,10.78843274,44.94707251
640.6122644,123.4150207,112.773729,34.73571984,48.15627494
641.6932273,120.0476045,103.790993,28.18310228,43.48550368
642.7739952,116.2948939,92.88161616,18.40767381,40.00596955
643.8545684,112.1308319,79.99876413,28.68404704,40.05821085
644.9349467,107.5997561,66.00262968,26.08295138,38.09155727
646.0151304,102.8022356,52.21852199,35.64649082,28.67796275
647.0951194,97.87784957,39.77036806,39.95609615,16.38428693
648.1749137,92.98996342,29.33905915,38.51652346,19.75840769
649.2545135,88.3159259,21.48905158,34.1779449,31.03491807
650.3339187,84.04292776,16.92960257,32.39537583,29.35420485
651.4131294,80.36478923,16.00089964,44.94720805,28.77092263
652.4921457,77.47268479,17.7260121,52.29247109,36.56297921
653.5709676,75.53734816,19.75,57.16,41.70735962
654.6495951,74.68757611,19.66864179,63.1266528,44.79058604
655.7280284,74.99177792,16.38321761,53.57393553,45.76066565
656.8062674,76.44550544,10.60329873,45.40046158,46.94706411
657.8843121,78.96483127,4.613217601,47.75830351,50.83212607
658.9621627,82.3863582,1.425332424,31.58371137,58.88866357
660.0398192,86.47727702,2.78404973,33.48885369,65.67136392
661.1172816,90.95917287,7.450323576,54.91705664,58.19385666
662.19455,95.54371664,12.19773715,45.77751336,51.32856475
663.2716245,99.96899609,14.65725766,36.39,56.23547935
664.348505,104.0225462,14.51590861,30.47487796,60.96050036
665.4251916,107.5470844,12.49,23.06254886,65.27528006
666.5016843,110.436582,9.666350084,23.72314854,63.94031689
667.5779833,112.6309742,7.894719467,16.98301617,55.30702968
668.6540886,114.1116139,9.552003683,18.25207135,54.44971244
669.7300001,114.8973466,16.03443106,18.29052464,58.78736262
670.805718,115.0434995,26.39176529,23.8701695,55.95777684
671.8812423,114.6461011,37.71446883,26.62342774,50.45311866
672.956573,113.8488678,47.37,15.00601724,52.21273451
674.0317103,112.8467129,55.10229701,13.74568676,58.84082714
675.106654,111.881783,62.84001541,12.70378844,58.96981438
676.1814044,111.2324941,72.63524019,26.40640326,53.01798929
677.2559614,111.1970568,84.79058552,40.19505081,52.94388554
678.330325,112.0723563,97.59062721,48.19419161,56.86171989
679.4044954,114.1298889,108.4719191,57.74311262,55.46627651
680.4784725,117.5900023,115.3737871,53.3842174,50.46832147
681.5522565,122.5939432,117.1928395,47.26510342,46.3469465
682.6258473,129.1753371,113.9286411,42.00187027,46.03139938
