Wavelength,HS_V2S1_AAB_C4_S2_I2,HS_V2S1_AAB_C4_S5_I2,HS_V2S1_AAB_C4_S5_I3,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3,HS_V2S2_AAB_C2_I1,HS_V2S2_AAB_C2_I2,HS_V2S2_AAB_C2_I3,HS_V2S3_AAB_C1_S4_I1,HS_V2S3_AAB_C1_S4_I2
1362.553814,132.2511369,125.3192275,75.03704301,35.17331337,97.32767799,62.56468518,130.039386,53.35789948,105.8825106,44.78219463,225.9635408
1363.507055,138.6440147,140.6548405,80.90511049,41.9610599,95.53536799,62.92160604,132.8190435,64.08892962,122.4609381,46.2429922,244.2668241
1364.460132,136.5670986,155.1331524,85.25835639,38.80338128,90.02190754,62.31441716,129.5388364,72.10787711,141.9505167,45.57366068,260.5708185
1365.413043,126.946177,168.4564535,88.22027991,33.23151588,81.30155237,58.03952464,116.6871338,75.31279696,164.3065785,43.54028716,274.3836031
1366.36579,113.78536,180.5099004,90.87578058,28.35821771,71.3567684,45.6008037,101.9450389,75.31682383,189.5068874,42.49955078,286.0801828
1367.318371,102.3180069,191.342109,94.68264797,23.44353408,65.74676826,37.22985439,97.82124274,77.83386634,217.5870484,45.1647835,296.8032275
1368.270788,96.51283242,201.1521331,100.7334717,22.88923383,72.06633889,22.27206396,109.2336677,89.35931007,248.6310225,53.20271484,308.049802
1369.22304,95.09608924,210.312001,109.3300534,34.94438757,92.75199042,22.5702746,131.5055115,112.1064785,282.7558079,66.18279886,321.2232472
1370.175127,91.19391539,219.4231102,120.1023924,57.09041828,122.0412565,22.92047826,157.484159,143.645081,320.1229733,81.98734637,337.4472678
1371.12705,79.60239777,229.3661194,132.5854445,76.1886884,153.333808,16.85618553,185.0792273,182.8993994,360.9600606,99.26690641,357.6931933
1372.078808,64.30383935,241.2862771,146.8903938,92.60230592,187.7421287,-2.197906125,220.452543,234.5255551,405.5335728,119.8308794,383.0044052
1373.030401,53.61294632,256.4796382,164.0713451,122.7888549,230.7250611,-11.92930928,271.5491607,302.8860583,454.030979,147.8360685,414.583031
1373.981829,48.54559181,276.1955609,186.0605133,169.7698331,281.8365086,7.0713422,338.1209087,383.325259,506.3784101,186.575042,453.7020116
1374.933093,44.62356986,301.4059761,215.2582425,220.7549547,336.4101541,4.339172707,415.6050295,466.8221236,562.0699454,236.9999854,501.5101796
1375.884192,43.95519996,332.592549,253.8151371,276.8942836,396.2764656,0.143116737,506.0494196,552.318582,620.0652517,298.9563469,558.7029658
1376.835127,53.42709675,369.5929615,302.7379348,349.7860702,466.2332369,25.55764278,612.0770732,645.900264,678.7750709,371.9012164,625.0308549
