Wavelength,HS_V2S1_AAB_C4_S5_I2,HS_V2S1_AAB_C4_S5_I3
966.5870959,50.42221738,149.039756
967.6096453,53.93817356,156.5338582
968.6320137,56.85626804,162.8927019
969.6542011,59.24633036,166.6997848
970.6762077,61.18207689,166.8921821
971.6980335,62.71930232,163.2746842
972.7196784,63.85366261,156.5249023
973.7411426,64.48028849,147.7439992
974.762426,64.38922874,137.8384838
975.7835288,63.31950422,127.0975677
976.804451,61.06207434,115.2732195
977.8251925,57.56954606,102.1762748
978.8457535,53.01789452,88.33378523
979.866134,47.77710495,75.09263856
980.886334,42.29779432,64.03288417
981.9063536,36.9760877,56.21002362
982.9261929,32.07322398,51.84158593
983.9458517,27.72272163,50.5511885
984.9653303,23.99668447,51.79253748
985.9846287,20.97701981,55.07325672
987.0037468,18.79880973,59.99172289
988.0226847,17.66105299,66.31498098
989.0414426,17.80136206,74.03324
990.0600203,19.43251899,83.09671735
991.078418,22.66403019,92.92608535
992.0966357,27.44806151,102.2171933
993.1146734,33.57334468,109.3194512
994.1325312,40.7051668,112.9060849
995.1502092,48.45223478,112.4681106
996.1677073,56.43557426,108.4013859
997.1850256,64.3426251,101.7526948
998.2021641,71.96104615,93.83120409
999.219123,79.1920428,85.8906808
1000.235902,86.04605507,78.98785657
1001.252502,92.6255243,73.95927939
1002.268922,99.09656086,71.36879497
1003.285162,105.6504567,71.38367554
1004.301223,112.4639376,73.73033487
1005.317105,119.6807502,77.88406918
1006.332807,127.4223263,83.4119237
1007.348329,135.8080632,90.22002625
1008.363673,144.9552602,98.55267735
1009.378837,154.9399773,108.7709807
1010.393822,165.7232219,121.0384566
1011.408627,177.0753513,135.079716
1012.423254,188.5430069,150.1015538
1013.437701,199.4847408,164.83756
1014.45197,209.174893,177.7491952
1015.466059,216.9492443,187.4859961
1016.479969,222.3404896,193.4209368
1017.4937,225.1547694,195.8462027
1018.507253,225.4756283,195.7068611
1019.520626,223.6055833,194.1436446
1020.533821,219.9582736,192.1246242
1021.546837,214.9262077,190.2551686
1022.559674,208.7676519,188.7265193
1023.572333,201.5525625,187.2970676
1024.584812,193.1824271,185.2543229
1025.597114,183.4710207,181.47206
1026.609236,172.251058,174.7067369
1027.62118,159.4699713,164.0915047
1028.632946,145.2593839,149.6115506
1029.644533,129.9716274,132.293864
1030.655942,114.1648403,113.9215685
1031.667172,98.52088164,96.34955947
1032.678224,83.7185108,80.79835235
1033.689098,70.3090171,67.53379489
1034.699793,58.64020681,56.08128553
1035.710311,48.85283176,45.77500529
1036.72065,40.93871955,36.24995896
1037.730811,34.82525547,27.64612755
1038.740794,30.44988505,20.5879717
1039.750599,27.79522465,16.00153726
1040.760225,26.87145443,14.71619431
1041.769674,27.66989888,16.98779454
1042.778945,30.13616273,22.29219313
1043.788039,34.18560982,29.53140468
1044.796954,39.74278944,37.45673235
1045.805692,46.77951561,45.06575288
1046.814251,55.33752007,51.81946376
1047.822633,65.52210025,57.59280419
1048.830838,77.45946495,62.47216156
1049.838865,91.23297749,66.68479841
1050.846714,106.8308426,70.74491627
1051.854386,124.1352267,75.57099501
1052.86188,142.9607562,82.340067
1053.869197,163.1206216,92.13076386
1054.876336,184.4856231,105.6079916
1055.883298,207.0109935,122.9744758
1056.890082,230.7275383,144.2247878
1057.89669,255.6977167,169.5262699
1058.90312,281.9348578,199.4355668
1059.909373,309.290951,234.7242939
1060.915448,337.3467227,275.8843141
1061.921347,365.3581987,322.673422
1062.927068,392.2923197,373.97022
1063.932613,416.9391186,427.8669977
1064.93798,438.0639646,481.834719
1065.943171,454.5680627,532.9860828
1066.948184,465.6317292,578.5105434
1067.953021,470.8106514,616.1409134
1068.957681,470.060738,644.4063895
1069.962164,463.6914451,662.5876252
1070.96647,452.2715963,670.5001678
1071.9706,436.5227135,668.3350993
1072.974553,417.2305261,656.6820232
1073.978329,395.192547,636.6008254
1074.981929,371.2104473,609.5253681
1075.985352,346.1216537,577.0081238
1076.988598,320.8419436,540.5605381
1077.991668,296.3840357,501.8012938
1078.994562,273.8290267,462.7771643
1079.99728,254.2408431,426.0150651
1080.99982,238.5342662,394.0475336
1082.002185,227.335541,368.6992523
1083.004374,220.8866862,350.6515913
1084.006386,219.02906,339.5155626
1085.008222,221.2680398,334.2679344
1086.009882,226.8840468,333.70044
1087.011365,235.0395314,336.5689083
1088.012673,244.8464537,341.4460679
1089.013805,255.3865274,346.5991147
1090.01476,265.7036327,350.1843263
1091.01554,274.8043298,350.7166992
1092.016144,281.6926028,347.4940616
1093.016572,285.437819,340.6986621
1094.016824,285.2574606,331.1213203
1095.016901,280.5963458,319.6299752
1096.016801,271.1905218,306.6187235
1097.016526,257.1089641,291.6976134
1098.016076,238.7734213,273.8204853
1099.015449,216.956265,251.906119
