Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4
603.7432463,56.54621415,16.00982074,40.43480376
604.8308626,44.49794354,12.68382534,38.10703511
605.9182825,33.93571155,8.746501381,41.68125401
607.005506,25.56553075,3.376343605,42.6915585
608.092533,20.04253896,-3.41,33.46
609.1793638,17.9034973,-9.27,29.29072003
610.2659982,19.4969672,-10.42,20.95668856
611.3524364,24.92586555,-4.29,20.77153885
612.4386785,34.0197278,8.927452681,20.73600837
613.5247244,46.34470142,26.60477798,13.64709204
614.6105742,61.24567883,45.65308091,28.64107282
615.6962279,77.9079016,64.31835756,28.75698767
616.7816857,95.42643056,82.56064443,20.83423607
617.8669475,112.8768613,100.8584528,22.85940758
618.9520134,129.3856422,118.8494339,19.54
620.0368834,144.1979558,135.1399424,26.70698683
621.1215577,156.7339705,148.2062117,15.52847435
622.2060361,166.6199511,157.4200533,1.320659149
623.2903189,173.6885358,163.6476597,6.477184942
624.374406,177.9564083,169.2596411,-6.48
625.4582975,179.5934799,176.9538524,-11.23
626.5419934,178.8922137,187.4732229,2.662274815
627.6254937,176.2377463,198.3468841,5.845052588
628.7087986,172.0764766,205.3460637,10.13837771
629.7919081,166.882431,205.1078125,9.672071585
630.8748222,161.123346,196.5752095,4.945073695
631.9575409,155.2288536,181.3816961,9.119071942
633.0400644,149.5606295,163.8036378,3.07
634.1223926,144.3827958,149.1055727,-7.40
635.2045256,139.8356379,140.1858955,1.823461411
636.2864635,135.9241258,135.7212845,9.995705606
637.3682063,132.5329743,132.1453469,16.63957339
638.449754,129.4666217,127.0977154,14.5326574
639.5311067,126.4985724,120.4653226,10.78843274
640.6122644,123.4150207,112.773729,34.73571984
641.6932273,120.0476045,103.790993,28.18310228
642.7739952,116.2948939,92.88161616,18.40767381
643.8545684,112.1308319,79.99876413,28.68404704
644.9349467,107.5997561,66.00262968,26.08295138
646.0151304,102.8022356,52.21852199,35.64649082
647.0951194,97.87784957,39.77036806,39.95609615
648.1749137,92.98996342,29.33905915,38.51652346
649.2545135,88.3159259,21.48905158,34.1779449
650.3339187,84.04292776,16.92960257,32.39537583
651.4131294,80.36478923,16.00089964,44.94720805
652.4921457,77.47268479,17.7260121,52.29247109
653.5709676,75.53734816,19.75,57.16
654.6495951,74.68757611,19.66864179,63.1266528
655.7280284,74.99177792,16.38321761,53.57393553
656.8062674,76.44550544,10.60329873,45.40046158
657.8843121,78.96483127,4.613217601,47.75830351
658.9621627,82.3863582,1.425332424,31.58371137
660.0398192,86.47727702,2.78404973,33.48885369
661.1172816,90.95917287,7.450323576,54.91705664
662.19455,95.54371664,12.19773715,45.77751336
663.2716245,99.96899609,14.65725766,36.39
664.348505,104.0225462,14.51590861,30.47487796
665.4251916,107.5470844,12.49,23.06254886
666.5016843,110.436582,9.666350084,23.72314854
667.5779833,112.6309742,7.894719467,16.98301617
668.6540886,114.1116139,9.552003683,18.25207135
669.7300001,114.8973466,16.03443106,18.29052464
670.805718,115.0434995,26.39176529,23.8701695
671.8812423,114.6461011,37.71446883,26.62342774
672.956573,113.8488678,47.37,15.00601724
674.0317103,112.8467129,55.10229701,13.74568676
675.106654,111.881783,62.84001541,12.70378844
676.1814044,111.2324941,72.63524019,26.40640326
677.2559614,111.1970568,84.79058552,40.19505081
678.330325,112.0723563,97.59062721,48.19419161
679.4044954,114.1298889,108.4719191,57.74311262
680.4784725,117.5900023,115.3737871,53.3842174
681.5522565,122.5939432,117.1928395,47.26510342
682.6258473,129.1753371,113.9286411,42.00187027
683.6992451,137.2371079,107.4525667,39.53936802
684.7724497,146.5399995,101.562761,33.07954388
685.8454614,156.7054837,99.48528044,35.00144524
686.9182802,167.233622,100.6973638,40.33289608
687.990906,177.5355195,101.1938997,39.70893251
689.063339,186.978382,97.6119819,40.31100847
690.1355791,194.9391287,90.78772308,28.37652341
691.2076265,200.86015,84.9228147,22.10154539
692.2794812,204.298832,83.43582609,34.01167583
693.3511432,204.9638075,85.85125041,45.83606527
694.4226125,202.7345968,88.56760052,35.75894658
695.4938893,197.6634637,88.18305106,26.335866
696.5649736,189.9595562,84.16316118,25.019162
697.6358653,179.9581533,79.0582775,7.953375535
698.7065646,168.0814895,76.43481469,8.38
699.7770715,154.8006642,77.93130165,27.95626731
700.8473861,140.6080824,81.78234721,36.14541236
701.9175084,126.004376,84.21954307,38.08285474
702.9874384,111.4953351,82.35555598,31.45137084
704.0571762,97.58878366,75.92378021,21.21139043
705.1267218,84.78185058,66.7852845,20.71492756
706.1960753,73.5356447,57.12600154,16.15935165
707.2652367,64.24344966,47.97018531,13.35107487
708.3342061,57.20233271,39.36119743,16.57
709.4029835,52.59196025,31.85569115,10.37854143
710.471569,50.45743233,26.89744951,4.580575441
711.5399626,50.69655878,25.02,3.213725887
712.6081643,53.06012671,24.60,8.533504037
713.6761743,57.17244653,23.71321874,13.31288734
714.7439925,62.57057856,22.74178883,9.582563995
715.811619,68.75520213,23.62909547,17.84929578
716.8790538,75.2455829,26.60962896,29.38575062
717.946297,81.63111651,29.10405893,37.71953082
719.0133487,87.61094729,28.66578364,28.00688029
720.0802088,93.01230982,26.24941159,7.784276588
721.1468774,97.78198288,25.6990294,8.09
722.2133546,101.95501,30.02403011,-2.19
723.2796405,105.6140038,38.21706327,0.627019195
724.345735,108.85527,45.66196653,12.66597005
725.4116381,111.7734174,47.9741505,5.986369333
726.4773501,114.4653983,44.87612443,7.776051605
727.5428708,117.0447679,40.44483993,7.327539418
728.6082004,119.6536792,39.69350678,6.13003668
729.6733389,122.4630579,44.82453801,20.56022885
730.7382863,125.6580558,54.11335258,41.53123776
731.8030427,129.413497,63.61572226,43.94089208
732.8676081,133.8666671,69.91860148,51.57979624
