Wavelength,HS_V3S1_AAB_C2_S1_I1,HS_V3S1_AAB_C2_S1_I2,HS_V3S1_AAB_C2_S1_I1
661.1559884,27.77196294,-0.17067254,78.65497152
662.2330628,29.21216731,0.31779516,73.27789744
663.3099433,30.22592203,1.039479316,67.1464475
664.3866299,29.19622311,1.77926389,62.63974637
665.4631227,25.82954445,1.441102342,57.95678962
666.5394216,21.79890436,-0.066787712,52.9527316
667.6155269,19.07111296,-0.779903437,48.80903183
668.6914384,14.01761744,1.010615514,45.08945115
669.7671563,6.38091755,4.447250696,41.17440102
670.8426806,3.441008629,7.201296412,37.39714736
671.9180114,6.54269512,8.808539178,33.57952735
672.9931486,9.080668729,11.83175123,29.02996737
674.0680924,8.109675985,18.10881691,23.93539176
675.1428427,6.424318136,25.27722861,19.68100505
676.2173997,5.626847935,29.82145767,17.84848288
677.2917633,5.146137792,31.8714579,18.85842038
678.3659337,5.913769426,33.90473098,21.93639681
679.4399109,7.839726922,36.32414258,26.1782207
680.5136948,8.56139858,37.63407935,29.42873683
681.5872856,7.595823445,38.24455813,27.33064604
682.6606834,4.694086549,40.46016132,18.69612652
683.7338881,0.62654878,44.10787565,10.84425193
684.8068997,-1.118796554,45.73067947,12.66603084
685.8797185,-1.08081055,43.38134431,23.16723882
686.9523443,-1.53897035,38.98446795,33.37223128
688.0247773,-1.005416481,35.12924699,38.08306676
689.0970174,2.632060261,32.62353473,40.81183988
690.1690648,9.442582937,30.9131308,47.59743715
691.2409195,15.02512386,28.40778271,58.27936759
692.3125815,17.00784664,24.16590165,66.48554041
693.3840508,20.57210002,20.30192036,68.46545106
694.4553276,25.84651859,19.46863234,67.03250046
695.5264119,27.38040091,20.74164089,66.32286542
696.5973036,28.25708873,22.20086059,68.40151207
697.6680029,32.99242284,24.75989127,74.36067418
698.7385099,35.99690713,29.08446764,83.80552838
699.8088244,35.07072039,33.27509391,93.96529529
700.8789467,38.60531407,36.76877808,101.349793
701.9488767,45.6278615,41.12171319,103.9948754
703.0186145,45.33286136,45.81110619,102.8204039
704.0881601,40.48201135,48.73536124,101.1941537
705.1575136,38.81283977,50.68022254,101.5478126
706.226675,36.41169875,54.36532081,101.8296997
707.2956444,31.20897775,59.50175267,97.73719957
708.3644218,24.91824035,62.41127208,89.74460458
709.4330073,17.508059,60.21638293,84.30229563
710.5014009,12.94946951,54.07658352,85.20179516
711.5696026,11.1181538,48.48630553,88.07922547
712.6376126,8.280602699,46.92743312,87.86688355
713.7054308,8.576888946,48.44989255,87.32631121
714.7730573,14.04492392,49.37979878,92.23725708
715.8404921,17.33554513,47.46173006,100.3632319
716.9077353,14.91883721,43.89552976,102.1287421
717.974787,12.93557944,41.96227603,93.41763394
719.0416471,14.28194058,43.08636629,80.67953694
720.1083157,13.34259327,44.92393543,71.45961272
721.1747929,8.520640649,44.96877273,67.09187479
722.2410788,5.298417875,43.68494243,64.80646943
723.3071733,4.807223797,42.0595556,61.1322993
724.3730765,3.376660798,40.05332359,54.52741584
725.4387884,3.241213873,39.22048117,46.31096948
726.5043092,6.892442207,41.74904759,37.61470003
727.5696387,6.663405334,45.42447896,28.56656003
728.6347772,0.34944865,44.97738663,21.68840554
729.6997246,-1.167565297,39.96228297,20.6891137
730.764481,4.39218233,35.80616944,24.20924146
731.8290465,8.732631527,35.23433973,25.48088046
732.893421,10.77291014,34.73635165,20.63863128
733.9576046,13.76415196,31.43926994,13.46092864
735.0215973,16.90886185,27.15639903,8.834139384
736.0853993,18.20924803,24.2560388,6.712054091
737.1490106,17.85555516,22.94163861,6.579278823
738.2124311,18.87710584,22.99460581,10.9342412
739.275661,23.07086547,24.04927904,18.98892292
740.3387003,27.27572353,24.89917615,23.40605894
741.401549,27.11913595,25.44334644,19.33902829
742.4642072,24.572101,27.01236463,12.50245667
743.5266749,24.9094821,28.85304073,11.95437397
744.5889522,26.04150024,27.94578751,17.541436
745.6510392,24.06070709,24.0895081,21.32421599
746.7129358,20.30912443,21.06657812,19.01150496
747.7746421,15.3164497,20.65720088,13.34995823
748.8361581,10.48856859,20.01396561,9.014169652
749.897484,9.956414336,17.07347187,8.732014899
750.9586197,11.91218872,13.88990074,12.35354267
752.0195653,11.60503592,12.64519723,19.07801074
753.0803208,11.77450649,11.91181075,30.57787901
754.1408863,15.46946276,9.385391838,48.49692157
755.2012619,20.01166803,6.451285875,69.42147964
756.2614475,24.56655228,6.199515079,85.92488284
757.3214432,27.32539924,7.831269855,93.34141108
758.3812492,24.4602512,7.748627548,94.8871267
759.4408653,20.28684514,5.534099676,97.52581291
760.5002916,19.81080959,4.212117809,102.644403
761.5595283,18.38373609,5.31112317,105.7273015
762.6185753,15.71556845,8.091672316,104.0611512
763.6774327,18.48770201,11.87684841,98.78543062
764.7361006,23.09556447,15.07911131,91.13395691
765.7945789,22.33565487,15.64848135,81.69822938
766.8528678,19.41211563,14.74849382,72.68552213
767.9109672,20.23819382,15.0300086,67.09119776
768.9688772,24.09348086,16.22749928,64.87654616
770.0265979,25.33674362,17.21012305,62.63115355
771.0841294,23.43426284,18.91605247,56.565912
772.1414715,21.18286002,21.3916628,44.72364781
773.1986245,16.24621993,22.20349449,30.71441187
774.2555883,12.32791898,20.70206233,24.70843013
775.312363,16.94661059,19.31295601,33.36610963
776.3689486,23.86385025,18.93930787,50.74334257
777.4253452,25.69511128,18.02640356,65.39270395
778.4815529,25.69981317,16.61350543,73.10884167
779.5375716,25.36267163,16.59167568,78.38517203
780.5934014,23.88738623,18.00472356,85.55233557
781.6490423,21.93751588,18.70555256,92.49232788
782.7044945,17.23975358,17.56829564,95.00130026
783.7597579,9.873129215,15.73074372,93.79186134
784.8148327,6.34972694,15.14779937,92.08836648
785.8697187,7.770482507,16.56377555,89.94940142
786.9244161,5.270203839,18.48808942,86.98560883
787.978925,-0.257077631,19.47611088,86.38410361
789.0332454,2.278869513,20.32094125,90.01897493
790.0873772,9.260883697,21.94140624,93.53641701
791.1413206,11.57701261,23.99448735,92.17807627
792.1950757,12.87234121,26.26270016,88.06903106
793.2486423,16.89382072,28.35751307,86.29222311
794.3020207,19.79605506,29.41639705,87.01951792
795.3552108,18.74741609,29.46857334,85.87676672
796.4082127,18.21395538,29.07171642,79.26852305
797.4610265,21.37051859,28.67196911,68.22328899
798.5136521,22.8525034,29.32102588,59.0072517
799.5660896,22.62649727,31.02015239,57.03056481
800.6183391,25.80124206,31.22773429,58.58592824
801.6704006,27.61576604,29.05947399,53.81919759
802.7222742,23.64546625,28.32592072,39.90458961
803.7739599,19.83308965,31.84673944,26.05645815
804.8254577,20.02862934,36.47715587,21.70459068
805.8767677,21.607903,37.82239452,24.53092289
806.9278899,22.62447733,35.81816721,26.35521069
807.9788245,22.33532094,33.10160284,25.37464001
809.0295713,19.58002741,31.5712169,25.06046582
810.0801305,15.57123983,31.70204883,26.5738378
811.1305021,12.44314654,32.49433251,29.02602682
812.1806862,8.792535923,32.34352841,33.09158488
813.2306828,6.276275942,31.40764811,38.97927983
814.2804919,11.33792632,31.17600572,42.89031
815.3301136,21.20799113,31.52814622,41.53467738
816.379548,27.07625305,30.81219671,39.97110606
817.428795,30.60346433,28.21079057,47.7093417
818.4778548,37.87628621,24.62781748,66.71533189
819.5267273,45.65002431,21.6555741,89.62769217
820.5754126,48.195132,19.67897739,108.6222452
821.6239108,49.57402514,17.86039605,120.7449993
822.6722219,53.93344499,16.15761576,126.037514
823.720346,53.84799256,15.12163804,125.8335726
824.768283,47.14854886,14.14924977,123.9457458
825.8160331,43.5167769,12.68469758,124.7723395
826.8635963,44.52524941,11.96723918,128.3197376
827.9109725,44.06430422,12.5433113,131.4097338
828.958162,41.46922015,11.96674197,133.3256714
830.0051647,40.58726431,8.647010673,135.7069429
831.0519806,43.17277504,5.320587349,139.7074008
832.0986098,43.40283488,5.109213299,146.1224186
833.1450524,37.01417872,7.016452102,153.4834749
834.1913083,30.27105992,7.775634001,156.0093148
835.2373777,26.22540226,6.23500011,149.2947396
836.2832606,21.0540908,4.632999036,135.8216442
837.328957,16.94947848,5.973471839,120.3147923
838.3744669,17.06248903,10.55849951,104.213349
839.4197905,18.09858864,15.74675849,88.95583044
840.4649277,18.49451267,19.40287063,79.48926424
841.5098787,19.44207898,22.1140965,79.61126
842.5546433,20.49759402,25.36921185,87.11577053
843.5992218,21.31464465,29.42656702,95.45653795
844.6436141,20.73867328,33.26544166,97.18634573
845.6878203,17.67956643,35.4791902,88.13174462
846.7318404,14.37491307,35.55988757,72.05234381
847.7756744,11.7426499,34.57279113,57.74873688
848.8193225,8.835222093,33.88164868,49.73524316
