Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
747.7746421,19.83943166,15.90570984
748.8361581,17.98840057,11.66841045
749.897484,18.45306056,10.731212
750.9586197,24.13269308,13.02953762
752.0195653,31.10227399,17.43774299
753.0803208,43.30780817,25.08491449
754.1408863,63.40029811,37.39296207
755.2012619,83.96689901,52.10066905
756.2614475,102.3060226,64.16514873
757.3214432,115.6119642,70.88398463
758.3812492,119.5521126,74.6076305
759.4408653,120.9873391,79.4295731
760.5002916,124.5163847,86.48365988
761.5595283,125.3748039,93.96159358
762.6185753,123.289918,99.32897195
763.6774327,119.4747957,99.69727577
764.7361006,110.7028437,92.91395902
765.7945789,96.35027387,80.6604131
766.8528678,82.5823321,69.0740323
767.9109672,74.0077508,64.03215917
768.9688772,63.68998606,65.2651571
770.0265979,46.6160768,66.4001243
771.0841294,31.81360824,61.25583901
772.1414715,21.70552284,49.82352412
773.1986245,7.172798167,38.89222734
774.2555883,-7.882490546,36.14894048
775.312363,-10.81253555,42.30119853
776.3689486,-2.151143732,50.6459363
777.4253452,9.600521218,55.1458456
778.4815529,18.93747574,56.57857732
779.5375716,24.46214309,60.04978082
780.5934014,30.61674608,67.91451938
781.6490423,40.09882809,76.73994238
782.7044945,47.61392252,81.97686004
783.7597579,50.60794899,83.54064935
784.8148327,51.4183434,84.68179961
785.8697187,51.01843564,87.205221
786.9244161,53.7851444,89.95324457
787.978925,62.68232008,90.71430917
789.0332454,69.98712543,88.41538535
790.0873772,69.43678541,84.32163563
791.1413206,65.87911564,81.34745339
792.1950757,65.01987015,81.22684374
793.2486423,64.68229991,82.19417321
794.3020207,61.36491684,80.37352537
795.3552108,56.87272963,73.36851065
796.4082127,50.88368215,61.72322425
797.4610265,40.61161028,48.27830322
798.5136521,30.90114063,36.82547315
799.5660896,28.07984762,28.94177918
800.6183391,30.91048486,21.86893818
801.6704006,34.07322501,12.05250279
802.7222742,30.34708709,0.983878468
803.7739599,20.69813042,-4.765379229
804.8254577,18.92224877,-0.905571678
805.8767677,26.38621421,9.226547966
806.9278899,30.28282234,19.83689997
807.9788245,33.5985853,30.35300039
809.0295713,46.47048012,43.78416514
810.0801305,63.48728353,60.58956333
811.1305021,75.96577554,77.82758234
812.1806862,84.13445792,92.12450644
813.2306828,90.59599979,101.4398419
