Wavelength,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3
506.2194347,2.497565866,6.709443293,-5.690542492
507.3245286,-3.516656584,6.728417942,-9.363639448
508.4294218,-4.761735201,7.072822498,-6.597184162
509.5341143,1.257686987,9.365317906,-3.527202411
510.6386062,9.316892086,13.28253881,5.279311306
511.7428975,15.18792336,16.12557975,5.958192092
512.8469882,17.50934319,14.12932329,8.533904448
513.9508786,15.12711238,7.089752302,5.220462007
515.0545684,11.04644742,0.916112301,-6.114071787
516.158058,11.05820934,-0.132725841,1.46342612
517.2613472,14.52058677,0.54072376,1.474250983
518.3644361,16.5146893,0.148752509,-5.415396827
519.4673248,15.70222055,1.802847789,0.945718293
520.5700133,13.52630259,6.695719668,3.196218107
521.6725016,13.15301989,11.13662717,-1.137622369
522.7747899,17.75601581,12.53424303,7.6885061
523.8768782,24.01015099,11.55429798,14.64219156
524.9787665,24.34546079,10.20092596,8.820582895
526.0804548,17.88256776,10.36812647,9.349580367
527.1819433,13.27991624,12.47185458,6.87066168
528.2832319,18.80395675,15.16774318,9.456913883
529.3843207,31.93125055,17.00199539,22.5164757
530.4852098,43.28884876,17.78136442,25.57995954
531.5858992,47.54300426,17.55487659,23.05896803
532.6863889,45.31249781,15.28911394,19.40095045
533.7866791,41.3823278,10.50075232,16.80823959
534.8867697,42.0103366,5.208215456,16.4394478
535.9866608,48.17856657,2.284123999,13.89505527
537.0863525,55.57023114,2.126482483,10.11079927
538.1858447,59.71585634,1.793230379,8.954321919
539.2851376,57.69975628,-0.476386547,8.524999719
540.3842312,53.38117189,-0.062769937,-4.678610707
541.4831256,56.69619388,8.638937003,-4.78931117
542.5818207,68.52964202,22.7298159,6.725741479
543.6803167,79.28231154,35.56472219,6.975868054
544.7786136,84.98043547,46.35188191,14.7708961
545.8767114,88.29454044,56.19888058,25.83841714
546.9746102,89.53972258,62.95109511,27.19525653
548.07231,89.0874035,65.98811542,20.67027442
549.1698109,87.66809357,67.34383389,28.17326384
550.2671129,81.64467826,67.26909047,28.83728963
551.3642162,69.81784888,65.58505122,22.78009148
552.4611206,58.62687388,63.92696768,32.07071237
553.5578263,52.9764871,62.60766606,32.34575709
554.6543334,50.33855215,59.28288159,39.33116083
555.7506418,46.2652222,52.51153559,40.33861711
556.8467516,39.85062953,43.88164657,32.296457
557.942663,32.07371621,35.40728949,39.26735962
559.0383758,23.32631802,27.28814866,41.3895269
560.1338902,15.74686157,19.08366481,37.29289773
561.2292062,12.0413267,10.75588822,32.06047305
562.3243239,11.22723303,3.377377036,27.57727462
563.4192432,10.60678657,-0.42609238,27.4582858
564.5139644,8.342053769,-0.067627714,29.27124668
565.6084873,4.291087942,0.414137888,27.15933998
566.7028121,2.182281139,-2.327315304,18.92034048
567.7969388,6.335786146,-5.009585422,15.71726149
