Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2,HS_V4S3_AAB_C2_02_I3,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
498.4781534,11.3653837,-0.725145533,-0.651844541,48.83619802,44.20463029
499.5846537,7.798366976,3.862129079,1.228904763,44.18272189,45.54072813
500.6909529,10.4310078,3.80771106,4.357732335,43.36176427,43.65722787
501.7970511,17.59902987,9.26261344,12.5379963,43.13949444,35.45264708
502.9029483,22.97561128,4.494794193,16.92057442,35.21539319,23.05109796
504.0086446,22.86697157,3.548256766,17.19285497,25.27543463,12.22462877
505.1141401,21.30637351,9.404587997,16.82915801,20.09045308,6.033700075
506.2194347,20.87217944,8.636634333,11.84803354,15.81852102,3.113255521
507.3245286,20.22781099,11.36745963,8.827845342,10.12364978,1.964157674
508.4294218,19.11070424,14.23559567,9.073546546,8.084476343,2.560122074
509.5341143,18.5762139,18.05514012,10.49604558,12.19550041,4.145355249
510.6386062,21.36340205,12.7216123,9.904867977,17.79936305,5.21349819
511.7428975,20.7080932,7.946112036,12.55673932,20.4446842,4.933545965
512.8469882,14.07389523,12.17422546,14.93719108,17.44392932,2.610148759
513.9508786,10.26720063,12.79843113,11.19206344,5.727318776,-1.873964744
515.0545684,7.357804869,17.40421572,12.69544557,-6.701611389,-6.024215498
516.158058,5.620067417,21.69377013,17.29754442,-6.032135004,-6.623505303
517.2613472,10.02875119,20.52878763,16.33286159,2.464317262,-3.985025751
518.3644361,12.56202459,23.04746296,12.49447268,6.502600258,-1.493733852
519.4673248,11.20849096,26.70050281,8.33537785,7.742474941,-1.588785266
520.5700133,10.00730499,23.19689124,3.134691869,6.893649255,-3.358741833
521.6725016,4.960908919,23.09214155,4.051273184,3.308368019,-3.32973661
522.7747899,1.876678365,24.17607914,8.599963159,6.377196597,0.396161056
523.8768782,5.784033889,24.46776063,8.89653487,16.46708776,4.764870114
524.9787665,6.027111719,25.89574105,11.22749555,20.41465738,5.256612926
526.0804548,2.690021268,17.4767884,13.40182357,16.75477234,2.192586575
527.1819433,3.915779774,18.35139468,12.29651883,16.3421621,0.094018794
528.2832319,5.45140293,20.31429076,12.44887182,21.06411098,1.307681446
529.3843207,1.7557521,14.09241861,13.76230895,22.40271817,3.864300715
530.4852098,-3.226579914,14.88406284,14.17546202,18.65856286,5.556365053
531.5858992,-3.620397466,12.52310735,11.179485,16.93122235,6.668266111
532.6863889,0.10547882,15.69071178,8.961190843,17.81518611,7.879005841
533.7866791,3.769918217,19.67769943,12.4105735,16.29669738,8.119718992
534.8867697,6.438172792,19.71576241,14.67570734,13.53352434,6.07893071
535.9866608,11.02207918,19.90568529,15.63863243,12.52938839,2.715897959
537.0863525,14.31535526,15.15563803,15.37252851,11.38637454,0.594967166
538.1858447,10.7470005,18.50815161,11.12509015,6.346213516,0.388603336
539.2851376,6.952738563,24.02531521,9.006178057,-3.390272194,0.006786591
540.3842312,9.844229211,26.70741929,8.464111492,-9.922383987,-1.533540234
541.4831256,14.4953546,25.41943248,11.47129518,-4.477769166,-1.897317014
542.5818207,12.9545848,17.10845852,11.3115123,6.125946421,1.33328605
543.6803167,8.351843859,14.49329687,2.727751738,11.18999392,7.664002099
544.7786136,7.286539461,19.03637454,-0.084674807,13.08380633,14.79865648
545.8767114,2.971289758,19.79265194,-0.983354704,14.5666572,21.01048738
546.9746102,-0.370473176,22.85002659,2.343268808,13.85088532,26.12633658
548.07231,4.317631606,29.88926722,10.89254187,14.6477594,30.45117452
549.1698109,4.346008986,29.11029265,10.10232838,18.42555676,32.81900542
550.2671129,5.555365422,30.15408485,11.4940554,19.46949273,31.4851522
551.3642162,12.97522538,29.76362499,9.075363269,16.13720667,27.44977776
552.4611206,13.12298353,25.42385245,2.00946115,12.56460621,24.10592622
553.5578263,14.74773808,27.8772535,5.319063548,11.5818087,22.87176377
554.6543334,21.48113336,26.71901419,6.929836354,11.91777047,22.1484401
555.7506418,25.97697235,21.63152648,10.20021701,12.28703259,21.23523483
556.8467516,34.95300382,20.26071817,10.53071821,14.78521265,21.81197982
557.942663,44.12062422,24.45815498,9.566667296,16.66846556,24.30004597
559.0383758,46.33699317,28.89395776,20.66033498,11.12237363,26.15869199
560.1338902,45.59771009,24.46043949,29.53985562,1.733606854,25.35632557
561.2292062,45.65829916,22.00466459,32.53697487,-3.176576809,22.94668851
562.3243239,48.87919313,19.12108629,39.03937593,-4.658256107,21.54854184
563.4192432,49.92131515,13.13048807,45.59561781,-6.36548609,22.84587399
564.5139644,46.9665216,11.37774802,43.61504999,-6.674327405,26.18329273
565.6084873,48.12361775,7.139311309,43.37564489,-3.882679038,29.37109082
566.7028121,51.09854773,6.354793365,43.62023551,-0.313262964,32.05400148
567.7969388,49.02587917,3.052898158,42.36592342,1.933920285,37.76625047
568.8908675,43.31567198,0.369797335,43.50633438,6.61645336,50.3133698
569.9845981,38.48180862,10.16117277,38.03498893,17.05014558,67.75764485
571.0781308,33.72756798,11.59589598,37.21857735,26.46984481,82.73680604
572.1714656,24.74770932,9.442536053,35.59872901,26.88802568,89.8096098
573.2646026,18.1858335,14.99480247,29.325262,21.8293367,89.92651425
574.3575417,13.81229673,13.59940209,28.61246051,20.4508297,87.3662282
575.4502831,8.020826884,10.42791354,24.19629351,25.76350411,85.14857447
576.5428267,11.87882471,11.53896666,19.31039747,33.30273975,84.08918858
577.6351727,13.21061719,11.52499241,12.86518878,38.67261331,83.68061065
578.7273211,3.646225541,10.46718822,8.195018638,42.52158631,82.43933828
579.8192719,3.255103857,9.583288056,9.084251242,46.16629945,79.32546089
580.9110251,7.142729711,9.776108561,6.683326127,49.00412535,75.68793524
582.0025809,5.075840006,11.18623249,7.117387118,51.13964523,73.33679193
583.0939393,1.059064191,13.87597229,5.763284943,50.73938315,70.62662329
584.1851003,-6.018491825,12.31935563,8.35233619,43.69947354,63.93628786
585.276064,-11.83417294,7.717483434,16.14417674,32.53546574,53.13713859
586.3668304,-13.26246063,5.277404027,17.76232105,25.34906984,42.05471153
587.4573995,-11.66841433,4.662838657,21.13232864,23.93260449,33.4838164
588.5477715,-6.785220023,2.95876678,21.7047437,25.08249126,27.20111949
589.6379463,-1.556943599,-1.087625369,18.99418007,26.8833885,22.75784568
590.727924,3.274948279,-0.276825169,14.6963366,27.58232192,20.96188419
591.8177047,9.900852448,5.597440665,13.43884922,28.90826721,22.36651973
592.9072884,16.29924392,10.93534329,17.5591318,33.46498475,26.49382555
593.9966751,21.13922752,9.797699787,18.42129287,38.99914893,32.77853761
595.085865,23.15349337,8.651987989,18.03485064,45.21494385,39.85913958
596.1748579,22.05036414,10.12383599,11.30686008,51.56373743,43.7344061
597.2636541,23.58349943,5.901778517,5.650345237,50.61995271,40.83147297
598.3522535,23.74917478,4.394036939,5.319444686,40.29569264,34.02192334
599.4406563,18.43537368,4.68624568,2.42218637,31.47378569,31.034524
