Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2,HS_V4S3_AAB_C2_02_I3
872.7719955,11.70485673,16.24179786,17.24515724
873.811193,13.73683558,23.49092225,22.09177708
874.8502055,14.91585343,32.9405384,20.4495608
875.8890333,17.90494999,40.62498496,15.74204172
876.9276762,14.17630262,48.78743137,16.90038356
877.9661343,4.471475389,50.35969033,16.80423077
879.0044077,5.71748379,50.08524775,12.9253241
880.0424965,8.111428085,52.48531824,16.12561955
881.0804006,3.696907509,50.9307554,25.34010036
882.1181201,7.049262335,52.02301842,23.34010569
883.1556551,13.56130514,60.02488236,14.81420657
884.1930056,12.82652719,61.02088442,11.0841831
885.2301717,9.290040665,59.79227352,5.695576898
886.2671533,5.581995822,58.8083224,8.32207994
887.3039505,4.202457943,58.10108533,8.97112351
888.3405634,5.922830056,62.48731268,-0.205518959
889.3769921,7.357705475,54.34507403,2.765155394
890.4132365,11.6648533,43.47885814,0.823485522
891.4492967,18.6761375,45.54536038,-2.723012755
892.4851727,21.64295768,47.63478376,6.094862459
893.5208646,23.15382741,55.96426981,9.106084156
894.5563725,28.36358737,60.7350279,9.590812606
895.5916964,33.89000245,51.41236648,14.24118527
896.6268362,37.55641567,46.18926355,21.41363416
897.6617922,40.79442891,48.76682047,26.42047758
898.6965642,43.10811118,56.45892565,27.2868735
899.7311524,45.38601375,56.42560291,23.38501199
900.7655568,43.08373112,51.04288464,23.78741743
901.7997774,34.0288142,47.34562742,27.90931681
902.8338143,33.5286026,42.33222939,30.93311104
903.8676675,40.40582512,47.22269165,41.64347454
904.9013371,38.78397857,53.23311454,48.26013798
905.9348231,33.86829417,51.507238,51.79018479
906.9681256,30.27928864,56.55230086,48.28754461
908.0012446,26.77215652,61.56784181,40.35205204
909.0341801,24.63075457,56.54942327,46.43741402
910.0669322,21.55673245,56.86920549,49.96395717
911.0995009,20.19812849,53.13473793,51.33590548
912.1318863,16.78831627,46.49201071,50.10422869
913.1640883,8.250733407,45.87237516,41.82679964
914.1961072,7.334107422,36.33801253,44.48501969
915.2279429,15.52421072,35.27885051,50.42584657
916.2595954,18.22628905,37.8750244,52.16314754
917.2910647,14.14774991,29.81456909,55.2584886
918.3223511,15.91245741,30.67758149,52.69022518
919.3534543,21.76917531,24.65400311,44.6858258
920.3843747,25.07035706,13.56008222,43.49887556
921.415112,31.10127974,17.45452622,42.60384766
922.4456665,35.40058527,21.59632023,36.33263186
923.4760381,34.43738088,20.60610416,30.33181601
924.5062269,35.97728091,11.59518464,23.54841933
925.5362329,36.03721449,7.880839245,26.61657752
926.5660562,33.6086281,11.52669276,30.46762819
927.5956968,36.66303884,14.39009983,28.57801534
928.6251548,39.63549259,24.06025459,30.99252019
929.6544302,35.67898302,24.88658805,27.8178094
930.683523,29.87162882,21.80475966,26.49789979
931.7124333,28.49336858,31.25487514,25.30983071
932.7411612,29.88891985,42.33120944,22.77070218
933.7697066,28.85410496,45.84741662,30.42662753
934.7980697,26.23857653,50.8613389,34.22734289
935.8262504,21.44062085,50.13896138,34.70589452
936.8542488,15.28094839,48.31069497,33.52587999
937.8820649,14.83599237,57.26815607,29.36425633
938.9096989,16.43933355,56.79486799,37.10705076
939.9371506,14.67214706,59.09400013,41.43800649
940.9644203,13.86346472,58.99086071,28.17194628
941.9915079,13.86809736,49.80802458,22.98659138
943.0184134,10.68276639,54.41095286,22.53498852
944.0451369,8.778240399,55.85791009,14.04048457
945.0716785,15.05766477,54.61980134,16.9875496
946.0980382,19.72880806,57.23372335,23.49471519
947.124216,14.17935094,52.75290647,20.92308684
948.1502119,13.45569217,47.77259184,21.24739631
949.1760261,19.75644989,45.96575566,24.78471475
950.2016586,17.83409932,44.89394534,24.68169566
951.2271093,14.80184889,46.84200184,24.20511568
952.2523784,18.4149964,52.85880982,26.54601943
953.2774659,18.37068033,51.76663879,30.55182654
954.3023718,14.68025087,50.28407925,32.34017766
955.3270962,14.04806962,57.55901111,35.36239757
956.3516391,17.63316116,60.57952314,40.93734457
957.3760006,24.15569284,57.76957735,41.37123819
958.4001806,27.50975502,50.63680967,43.30734329
959.4241793,25.084376,47.00656393,43.35827316
960.4479967,23.35167209,52.60383486,37.66124362
961.4716329,26.00462977,59.12373717,31.13598881
962.4950878,28.69935847,64.37534246,25.64251465
963.5183615,30.47363001,66.43377685,23.48293565
964.541454,33.37895241,69.12023146,14.75609238
965.5643655,33.8858462,71.76154644,5.410512528
