Wavelength,AAB_AS_S1_I17
1932.061819,52.4054106
1931.2053,48.92081637
1930.348637,44.78857736
1929.49183,39.96451816
1928.63488,32.92910921
1927.777786,27.64164528
1926.920548,21.36167207
1926.063166,11.84852244
1925.20564,8.803710545
1924.347971,10.91588058
1923.490157,12.40685652
1922.632199,14.69057959
1921.774098,13.00065106
1920.915852,6.143843497
1920.057462,4.842526711
1919.198928,10.85408641
1918.34025,11.6152015
1917.481428,4.904282085
1916.622461,1.59928902
1915.763351,3.689621063
1914.904096,4.273754979
1914.044696,5.306438006
1913.185153,12.47760361
1912.325465,20.85390657
1911.465633,24.90752921
1910.605656,24.98044316
1909.745535,22.41820502
1908.885269,22.13400581
1908.024859,29.31327475
1907.164304,36.62059341
1906.303605,37.57241507
1905.442761,44.3252608
1904.581772,52.67639061
1903.720639,48.12506536
1902.859361,43.16042462
1901.997938,42.78199712
1901.136371,40.26680038
1900.274658,39.04461418
1899.412801,41.45759462
1898.550799,43.63635449
1897.688652,38.54201222
1896.826361,36.75153388
1895.963924,43.57034524
1895.101342,44.67039444
1894.238615,49.00614761
1893.375744,58.86945731
1892.512727,59.75083616
1891.649565,58.39483723
1890.786258,55.62613987
1889.922805,49.40453651
1889.059208,49.47320058
1888.195465,55.80178966
1887.331577,62.91935095
1886.467544,61.25379413
1885.603365,52.00641747
1884.739041,48.08426839
1883.874572,42.30578884
1883.009957,35.40327404
1882.145197,37.14102326
1881.280291,34.3913009
1880.41524,30.54481703
1879.550043,36.06794297
1878.684701,37.42506256
1877.819213,34.21057978
1876.95358,35.96601269
1876.0878,38.82510511
1875.221875,37.94271383
1874.355805,40.59882766
1873.489588,49.15062529
1872.623226,47.08661403
1871.756718,41.69233024
1870.890064,49.6048778
1870.023264,53.11784472
1869.156318,51.6370423
1868.289226,59.94617957
1867.421989,66.68882433
1866.554605,66.47996904
1865.687075,66.32177822
1864.819399,70.32135129
1863.951577,76.6043342
1863.083609,78.4783465
1862.215495,80.35985508
1861.347234,84.70133096
1860.478828,89.5829963
1859.610275,97.86442896
1858.741575,97.12658243
1857.87273,84.06151848
1857.003738,81.98559899
1856.134599,87.33205743
1855.265314,76.0409733
1854.395883,66.79896631
1853.526305,79.09371556
1852.656581,81.47241387
1851.78671,69.47565591
1850.916692,74.99103758
1850.046528,84.84119693
1849.176218,79.28175683
1848.30576,75.51358131
1847.435156,78.65408759
1846.564405,76.96583387
1845.693508,71.08463505
1844.822463,68.77452543
1843.951272,70.742131
1843.079934,68.95461093
1842.208448,63.46020632
1841.336816,63.28154221
1840.465037,61.61690919
1839.593111,50.95546165
1838.721038,40.24464963
1837.848818,29.83306226
1836.976451,18.67258402
1836.103937,15.29911699
1835.231275,12.82165429
1834.358467,5.145893255
1833.485511,8.379806548
1832.612408,19.78964464
1831.739157,20.53977154
1830.86576,21.7956498
1829.992215,30.0975265
1829.118522,27.69052756
1828.244682,20.20246518
1827.370695,22.54654129
1826.49656,26.28164426
1825.622278,26.26024067
1824.747848,28.99235354
1823.87327,32.6722771
1822.998545,33.12163132
1822.123673,29.2410387
1821.248652,25.08064805
1820.373484,27.4281683
1819.498169,28.70649267
1818.622705,26.00228525
1817.747094,26.56135569
1816.871334,23.43318858
1815.995427,16.3683203
1815.119372,15.31875463
1814.24317,17.7116369
1813.366819,19.27269029
1812.49032,19.96009824
1811.613673,21.13981909
1810.736878,21.25519488
1809.859935,14.2173484
1808.982844,6.652708111
1808.105605,6.272383085
1807.228218,7.810503154
1806.350682,11.18507829
1805.472998,14.85852109
1804.595166,13.77730035
1803.717185,9.367203095
1802.839057,1.29860687
1801.960779,-2.095817281
1801.082354,4.702503998
1800.20378,8.313713438
1799.325057,8.242782159
1798.446186,10.72087115
1797.567167,12.00166893
1796.687999,19.34845185
1795.808682,34.3047768
1794.929216,42.78434854
1794.049602,46.78071978
1793.16984,55.98202646
1792.289928,62.94825665
1791.409868,66.11111223
1790.529659,74.6482895
1789.649301,78.88309246
