Wavelength,HS_V2S1_AAB_C4_S2_I2
995.1502092,58.06461064
996.1677073,55.18963295
997.1850256,50.59827179
998.2021641,46.17452454
999.219123,42.32713575
1000.235902,35.77260151
1001.252502,25.02432788
1002.268922,14.54436054
1003.285162,9.726203931
1004.301223,9.901630441
1005.317105,9.743582505
1006.332807,5.961605637
1007.348329,0.836049668
1008.363673,0.535708802
1009.378837,9.246431724
1010.393822,23.67614877
1011.408627,37.55642632
1012.423254,52.54215625
1013.437701,74.6104241
1014.45197,98.81659035
1015.466059,112.2448228
1016.479969,112.2553755
1017.4937,108.0611182
1018.507253,106.5501909
1019.520626,107.806382
1020.533821,110.7287535
1021.546837,114.2888338
1022.559674,116.2654296
1023.572333,115.4140893
1024.584812,112.234027
1025.597114,107.5792079
1026.609236,102.9650833
1027.62118,98.76973172
1028.632946,91.2835243
1029.644533,76.53586347
1030.655942,56.51699796
1031.667172,38.84843685
1032.678224,31.03939793
1033.689098,33.12950799
1034.699793,36.3882344
1035.710311,34.60875988
1036.72065,31.69727868
1037.730811,30.57254661
1038.740794,26.21640981
1039.750599,18.76476899
1040.760225,17.96890855
1041.769674,27.49498903
1042.778945,39.91289721
1043.788039,49.92080524
1044.796954,58.76097511
1045.805692,66.14768139
1046.814251,69.5110687
1047.822633,69.70719575
1048.830838,69.32521372
1049.838865,68.01708637
1050.846714,64.64776504
1051.854386,59.99912214
1052.86188,54.26886385
1053.869197,46.49647455
1054.876336,37.8598126
1055.883298,30.90924365
1056.890082,24.3781781
1057.89669,12.98866383
1058.90312,-4.317191459
1059.909373,-19.15126003
1060.915448,-21.47121529
1061.921347,-9.955466089
1062.927068,10.05131617
1063.932613,35.41408322
1064.93798,65.77363854
1065.943171,98.44667636
1066.948184,129.3518012
1067.953021,156.2821958
1068.957681,177.9521533
1069.962164,193.3741342
1070.96647,203.0159833
1071.9706,208.4279949
1072.974553,209.8205028
1073.978329,204.878986
1074.981929,193.8471436
1075.985352,182.8672356
1076.988598,174.4659089
1077.991668,160.6204216
1078.994562,134.5608596
1079.99728,102.2408352
1080.99982,75.25861579
1082.002185,59.41972659
1083.004374,52.60648628
1084.006386,48.72616635
1085.008222,44.86062715
1086.009882,44.66392301
1087.011365,51.53726874
1088.012673,63.76285522
1089.013805,78.77798829
1090.01476,94.33323611
1091.01554,105.0054513
1092.016144,105.3177801
1093.016572,97.23733114
1094.016824,89.29930572
1095.016901,87.41641632
1096.016801,90.70505264
1097.016526,94.90523096
1098.016076,95.69094693
1099.015449,91.48464694
1100.014648,84.44412239
1101.01367,75.95789412
1102.012517,65.73054967
1103.011189,59.05778043
1104.009685,65.9568717
1105.008006,86.92653756
1106.006152,107.99536
1107.004122,115.5492797
1108.001917,110.6733697
1108.999537,105.6255363
1109.996982,109.572074
1110.994251,120.770997
1111.991346,131.4124851
1112.988265,136.3821634
1113.98501,136.4195037
1114.981579,135.6535379
1115.977974,137.7030423
1116.974193,142.4519665
1117.970238,145.4190845
1118.966108,141.6507329
1119.961804,131.1635175
1120.957324,118.0866679
1121.95267,104.7912986
1122.947841,92.16202112
1123.942838,83.74617919
1124.93766,82.3553919
1125.932308,86.01002441
1126.926781,92.01553675
1127.921079,99.05767159
1128.915204,104.909441
1129.909154,109.754033
1130.902929,118.6856521
1131.896531,135.210396
1132.889958,158.2211139
1133.883211,187.4710975
1134.876289,224.0030896
1135.869194,264.6868553
1136.861924,303.9083527
1137.854481,340.3405671
1138.846864,375.6769423
1139.839072,406.2324443
1140.831107,421.5460454
1141.822968,416.1031074
1142.814655,399.8241426
1143.806168,389.3213638
1144.797507,387.3612778
1145.788673,378.8792174
1146.779665,351.7130331
1147.770483,313.0232244
1148.761128,277.7441181
1149.751599,247.999196
1150.741897,213.1433364
1151.732021,167.8092117
1152.721972,122.1006834
1153.71175,90.33417453
1154.701354,75.03402344
1155.690785,68.68705781
1156.680042,67.02608092
1157.669126,72.13415337
1158.658037,84.21162364
1159.646775,98.67545558
1160.63534,111.7862778
1161.623732,122.4757388
1162.611951,128.9049675
1163.599996,128.1406487
1164.587869,119.4442464
1165.575569,107.2610783
1166.563096,99.36748243
1167.55045,98.81223633
1168.537632,99.21754333
1169.52464,91.33568393
1170.511476,74.47529366
1171.498139,59.13239244
1172.48463,53.95710784
1173.470948,52.7168076
1174.457093,43.63394579
1175.443066,28.02857792
1176.428867,17.56347689
1177.414495,17.96372246
1178.399951,26.27533981
1179.385234,37.82181129
1180.370345,47.95633211
1181.355283,52.08842531
1182.34005,49.45847672
1183.324644,46.54076352
1184.309066,53.27921875
1185.293316,72.79316901
1186.277394,96.27462554
1187.2613,111.3485358
1188.245034,116.1399919
1189.228596,121.7088436
1190.211986,137.2347738
1191.195204,157.9122949
1192.17825,172.5644764
1193.161125,177.5400106
1194.143827,178.0417174
1195.126358,178.9270036
1196.108718,177.7552883
1197.090905,168.4823447
1198.072921,151.0057213
1199.054766,132.451167
1200.036439,119.192721
1201.01794,112.5947073
1201.99927,110.867663
1202.980429,110.6196017
1203.961416,108.1865876
1204.942232,103.439035
1205.922877,103.9275661
1206.90335,121.4348444
1207.883652,157.7538753
1208.863783,195.8302725
1209.843743,214.3282834
1210.823532,211.9724932
1211.80315,208.1429544
1212.782596,216.9639213
1213.761872,231.3426867
1214.740977,236.360196
1215.719911,228.3767607
1216.698674,215.9360805
1217.677266,206.2420681
1218.655688,195.1933206
1219.633938,174.4843414
1220.612018,146.2468666
1221.589928,122.4650828
1222.567667,111.4255404
1223.545235,111.8483717
1224.522632,116.7136261
1225.499859,118.2696535
1226.476916,114.0695215
1227.453802,109.6176212
1228.430518,111.7978487
1229.407064,121.7752425
1230.383439,135.0214208
1231.359644,143.9247226
1232.335678,141.5739717
1233.311543,127.9473817
1234.287237,110.7614353
1235.262761,97.03755429
1236.238115,87.04008552
1237.2133,78.76176442
1238.188314,73.00361893
1239.163158,71.53197644
1240.137832,74.11984354
1241.112336,77.08881665
1242.086671,73.29812997
1243.060836,58.90924223
1244.034831,40.66870208
1245.008656,29.97441089
1245.982311,31.43471709
1246.955797,40.88867515
1247.929113,49.74807369
1248.90226,51.5579978
1249.875237,49.80892689
1250.848045,54.82806322
1251.820683,69.20642367
1252.793152,84.52691974
1253.765451,95.17061395
1254.737582,105.4637873
1255.709542,120.3046219
1256.681334,137.988365
1257.652956,154.0789852
1258.624409,165.213796
1259.595693,171.019927
1260.566808,176.510376
1261.537754,186.0595506
1262.508531,194.9804643
1263.479139,195.0713965
1264.449577,184.1746256
1265.419847,164.7533167
1266.389948,140.865271
1267.359881,120.158841
1268.329644,111.187366
1269.299239,114.4215687
1270.268665,119.5148399
1271.237922,115.9458641
1272.207011,105.1376389
1273.175931,96.86941966
1274.144682,95.10343701
1275.113265,94.70547629
1276.08168,92.07160738
1277.049926,92.07141809
1278.018003,101.9364467
1278.985912,121.3650836
1279.953653,141.250178
1280.921226,150.8434586
1281.88863,146.3339813
1282.855866,135.7533363
1283.822934,131.2076648
1284.789834,131.8141802
1285.756566,124.8665441
1286.723129,106.6353886
1287.689525,87.06938516
1288.655752,74.29149964
1289.621812,69.38742246
1290.587704,72.40381991
1291.553428,79.94769119
1292.518984,82.64146741
1293.484372,76.13148295
1294.449592,67.25428467
1295.414645,60.93785009
1296.37953,51.53086436
1297.344247,34.79599541
1298.308797,17.99246092
1299.27318,11.41345844
1300.237394,16.84759588
1301.201441,28.9094774
1302.165321,43.27958383
1303.129034,57.90310479
1304.092578,69.00890026
1305.055956,75.38294006
1306.019166,84.05985152
1306.982209,99.34176293
1307.945085,111.9372298
1308.907794,113.8044708
1309.870335,113.1195498
1310.83271,119.1784228
1311.794917,126.2506802
1312.756957,125.7974996
1313.718831,119.6901503
1314.680537,112.4267858
1315.642076,104.8509696
1316.603449,98.36180707
1317.564654,92.67716915
1318.525693,83.05673145
1319.486565,68.95799783
1320.447271,56.96880021
1321.407809,50.05404996
1322.368181,44.19176254
1323.328387,37.41583745
1324.288426,33.35481262
1325.248298,35.14916114
1326.208004,40.51734295
1327.167543,44.4852447
1328.126916,45.85887641
1329.086122,46.29172821
1330.045162,44.01063467
1331.004036,37.19818866
1331.962744,30.58056925
1332.921285,28.92921253
1333.87966,29.29390237
1334.837869,26.80027152
1335.795912,21.17166075
1336.753788,13.56160206
1337.711499,5.262563572
1338.669043,2.218373483
1339.626422,11.70233539
1340.583635,31.66335889
1341.540682,51.02850077
1342.497562,60.99256333
1343.454278,60.42481252
1344.410827,54.28290672
1345.36721,51.33388898
1346.323428,57.56375313
1347.279481,69.60468348
1348.235367,80.63076744
1349.191088,90.47224859
1350.146643,102.4011253
1351.102033,113.806031
1352.057258,119.3944477
1353.012316,122.3354512
1353.96721,131.8351901
1354.921938,148.4660513
1355.876501,162.8677085
1356.830898,168.8147412
1357.785131,165.9854452
1358.739198,153.8880605
1359.693099,135.7266275
1360.646836,122.7143731
1361.600408,123.2024695
1362.553814,132.2511369
1363.507055,138.6440147
1364.460132,136.5670986
1365.413043,126.946177
1366.36579,113.78536
1367.318371,102.3180069
1368.270788,96.51283242
1369.22304,95.09608924
1370.175127,91.19391539
1371.12705,79.60239777
1372.078808,64.30383935
1373.030401,53.61294632
1373.981829,48.54559181
1374.933093,44.62356986
1375.884192,43.95519996
1376.835127,53.42709675
1377.785897,72.54694128
1378.736503,94.51015419
1379.686945,115.9914269
1380.637222,138.5649669
1381.587335,165.3073728
