Wavelength,AAB_4 ATP_10^-3M_750_5_5_M_S1_I1,AAB_4 ATP_10^-3M_750_5_5_M_S1_I2,AAB_4 ATP_10^-3M_750_5_5_M_S1_I3,AAB_4 ATP_10^-3M_750_5_5_M_S1_I4,AAB_4 ATP_10^-3M_750_5_5_M_S1_I5
872.425486044092,-1.854710822524936,-50.64343945889888,-97.08767278693938,-99.2581117869959,5.375462780783749
876.725250261385,-85.07788242618199,-129.1618509210307,-191.63320658683153,-188.02192310918429,-85.93777205063924
881.018539401459,-93.95300518300544,-75.83231391114302,51.616475899331675,50.01138179905848,-96.81326580410519
885.305364626767,-8.611214480031492,-57.590919827897125,-15.153273476116993,-15.402013686397027,-10.201294382127486
889.585737091185,142.85824265560348,34.048413836549656,-114.94138057521494,-102.9831246904196,151.29676792037708
893.859667940127,286.95983770066164,288.8842195742245,321.1007631593339,328.0765625203916,311.45935645708624
898.127168310677,344.8250256344194,404.9978757422309,510.4892896253501,519.2518848015907,369.61332424396414
902.388249331707,314.6064000261015,229.92428395246654,125.13994241247704,145.9661578929428,317.96818204228987
906.642922124003,279.0091856857211,92.2690070842666,6.70900961580179,28.150243024401107,266.6847970724877
910.891197800389,299.7282160364365,205.14843623522745,243.16573026074133,267.65445176700274,297.95729973544985
915.133087465836,342.84511767070165,353.65920958282595,316.73698258096647,349.2077710302229,362.1946608915605
919.368602217606,330.8498799882382,323.2525683641968,236.04594766424748,272.6220568461232,356.4421900247637
923.597753145354,236.77583308829284,163.67168068365578,150.3127504902283,184.39676311140988,251.20100573655662
927.820551331259,109.12392953700225,22.695613682479163,-27.758784292326176,8.33331607390285,110.79855835712095
932.037007850138,22.40745247159711,-24.287837020322286,-109.260786088279,-70.15081287290735,20.72602438540723
936.247133769581,17.632047204647876,-6.570960793057296,2.4978084896387713,32.5104043606555,19.456171690428164
940.450940150044,81.66252417846911,38.23884046860684,-10.950978928665364,21.558651496894058,88.45615163108904
944.648438045002,162.18301561500937,133.28167505445862,30.82606400067128,66.3588167925146,174.61038427678386
948.839638501038,196.14137249010048,222.76019417960595,233.84563619889738,260.80044063013486,211.61498625319734
953.024552557976,150.40800142934455,173.79418191198937,158.4797627522255,188.10818755003461,160.48521570609748
957.203191249007,52.545113483255825,20.667828878550097,-59.558333057532536,-31.73428260503477,52.34021850648763
961.375565600785,-32.063191882980234,-70.15127779111376,-86.14542466029012,-66.93519370858009,-36.81344506011012
965.541686633571,-58.785324727011385,-55.54048198021884,-51.144407138715735,-34.97096882614728,-60.03786240221802
969.701565361323,-31.253389804631986,-11.367679766698302,-41.930166005248346,-30.24317242935293,-28.153345371937597
973.855212791839,16.355173697026192,21.149709518171736,3.300284173272015,10.364766985469442,20.18803418194242
978.002639926852,48.97595582048295,44.70856620137409,46.09313134991812,50.06041397706506,52.49600774165218
982.143857762165,48.78576785519326,53.08095117057256,33.61280345947773,37.64849383136619,53.42583627275236
986.278877287752,22.30956084253343,38.639345919878636,27.984388609847684,30.4891691207045,26.588129821307575
990.407709487881,-1.2593084771102419,9.942295948283519,6.021769154399115,6.182441813407367,-2.5568607948461413
994.53036534123,14.148073773367585,-3.0942154191972193,-34.36302998492922,-29.12138856195297,5.949882557376029
998.646855820994,80.11895269362515,41.03470754621701,40.64334954188611,45.445611375995,73.95633965230229
1002.75719189501,158.50762459673183,151.8748025395366,133.49415773919395,138.8796895742164,166.25659798725388
1006.86138452586,179.15477719305656,251.04364104499402,191.70754427307054,204.73649270297014,199.17459295754776
1010.95944467101,102.9369239763507,186.86116314355098,220.628106341688,231.50087242417203,116.53593070602219
1015.05138328288,-25.452511104279665,-55.114499003894736,-35.661200635752714,-21.326016780925407,-32.438259964696336
1019.13721130899,-107.22599033655362,-209.35573100741175,-297.0254851427051,-275.16875927230245,-122.80770714302287
1023.21693969209,-90.25651946729451,-87.94999859538176,-99.84122473671451,-79.5302895115333,-91.1186463204201
1027.2905793702,-18.96374274658305,88.43636613298527,155.76506544148813,177.5561443097828,-4.263087426991037
1031.3581412768,32.973710839461404,66.53753901776965,51.66454984298587,72.40918538189369,42.65558346014497
1035.41963634092,45.20719051950553,-29.391527851840173,-105.78664873019335,-86.5938659428465,41.23096906643351
1039.47507548723,40.65367985985873,3.581615361666337,14.962035593177617,29.03851378692918,36.126854289556306
1043.52446963617,33.3741696340945,81.58391014849111,114.29313890374078,122.21319532514016,37.753510492717986
1047.56782970403,27.694202340973433,60.23563869296271,-7.308897410515058,5.042625121883518,32.375206178656825
1051.60516660314,45.01816746471733,6.798705356240305,-18.84081367426424,-14.147699955988486,39.93884606436476
1055.63649124187,109.31355288071214,49.308979353002066,40.63619780275559,40.60867750401313,99.86179602065383
1059.66181452483,204.7501355004916,190.71518821573284,113.23081042131614,119.49805767717415,204.8362123481828
1063.68114735294,270.00909334541933,314.02986135142316,303.4828128092389,299.44291849311077,282.64642967083677
1067.69450062355,249.26225429655773,293.44310671876525,262.8716450305292,260.8182261851659,261.06594715571197
1071.70188523054,149.79718177849227,138.49480723074743,66.95593100003853,70.85267023189849,147.74354569799064
1075.70331206442,37.05732475244825,-18.8569150013078,-8.834594290614262,-15.508766880250509,25.388551966324645
1079.69879201248,-28.803883565788865,-62.6034870054777,-109.87944484571854,-110.25552735492212,-33.72259093161786
1083.68833595885,-42.82535339251371,-0.18098182731759493,-51.87638051743349,-50.36848219898144,-33.22129464226903
1087.67195478464,-38.711909767707304,24.745013178336286,78.34726223608713,72.70587939315476,-25.910005236724068
1091.64965936803,-33.02638386645556,-52.03120486025425,-65.01571797773144,-63.052404557227,-31.43615021716856
1095.62146058439,-8.513921805901049,-75.9414113971164,-131.25855873663687,-130.7833237224807,-13.995949042433189
1099.58736930637,40.3841106560415,39.23812605174141,63.19520320263895,61.86998208517921,44.4002270702093
1103.54739640402,78.5270080938068,132.42682207315104,185.39345090627717,186.71473975222486,97.46370853033808
1107.5015527449,68.62459496704292,88.72169019592911,83.81001019251048,80.72691603393794,92.06086124167871
1111.44984919419,19.51178240751588,10.900690354033742,-32.07040324394782,-29.36085971502554,36.90842750193298
