Wavelength,AAB_Blank_I1,AAB_Blank_I2,AAB_Blank_I3,AAB_Blank_I4,AAB_Blank_I5,AAB_Blank_I6,AAB_Blank_I7,AAB_Blank_I8,AAB_Blank_I9,AAB_Blank_I10,AAB_Blank_I11,AAB_Blank_I12,AAB_Blank_I13,AAB_Blank_I14,AAB_Blank_I15
412.3896217,-4.134317414835287,44.97865820251683,-59.67160771842549,-31.243108256568764,120.46270518564558,-54.54761870324504,78.50271257432652,92.22833048316443,-63.144384762035514,121.17453313059957,17.805852400256796,-38.1447088780868,0.7246842688764872,19.10362634723552,9.267554115222481
417.3876683,-82.01853224370646,-20.42386670815614,-94.09963737340897,-161.04831557924902,122.66866663201859,-181.4611951229268,-30.185350724756944,96.94286087135144,-133.17660761761823,126.93635908435161,-158.1498989410862,-198.6015589770058,-1.575583618986741,-37.718640667556656,13.365016691978013
422.3780697,-50.12415222580344,32.06453183352387,-57.591450708647834,-45.17952444845144,124.80533491705154,-48.35500875719843,20.236395381408926,101.85640219098804,-82.20954104049531,132.84719659126148,-1.4747061436407165,-34.35360215546273,72.93551713628821,10.32575967251094,17.606901599464265
427.3608386,136.2744308521467,205.36682294855524,117.33656264337134,82.99267254935513,126.61314561315848,71.59080000248765,221.33283636773598,106.60444178391421,11.25668031735102,138.508076066168,207.34566719559558,158.9712741574111,230.41818589205167,164.40511374582547,21.511270830140433
432.3359876,367.57591045659615,397.3972214389538,283.19032574814867,250.91564701000294,127.75763161887886,255.37991574100755,442.9222603693943,110.75766115299766,234.31864931436456,143.44435203825927,411.48149746166155,323.4887101761659,406.5209544348287,344.8200431723329,24.571886593085267
437.3035295,468.0074482070885,488.18459033132865,514.173030103966,517.0531244872569,127.921679480021,523.9312921984421,539.8029272054891,113.91842245291568,479.0413458881777,147.20789893910222,699.064179614426,565.6789448360094,503.31110570688895,451.5162972757664,26.36198888464709
442.2634769,380.66511761340223,439.32716886793503,439.631528024283,410.9153652829013,126.89832533067948,444.7622563721388,472.5980124071097,115.81546092591468,378.62834090046704,149.47761516236002,588.8282419337258,431.2065903423925,471.66518448968003,438.07888236691235,26.633179308386843
447.2158423,225.07442897177978,311.3226666786811,-8.111917440312101,72.85613857773279,124.64757530594204,68.56363314763982,334.7831566177978,116.36359011532961,107.9416787091425,150.12263922834416,149.0059438386864,68.20747488254123,355.2081509510629,337.7284831614855,25.372849989740317
452.1606383,132.79672598971047,188.90946011777044,64.88952183277426,89.89318564953994,121.29971702147351,109.20246358212137,231.18718952795007,115.67070445795136,90.27031437118445,149.21019732484734,111.27572376062582,70.51005448913638,235.87543340182762,219.45310443570114,22.798660175771303
457.0978776,96.20787691255296,105.1642180536834,122.86800456013476,106.38896014653447,117.1143701947003,234.48658382641872,160.16672670055723,113.99915675031372,138.29387016938594,146.96777886859755,238.52040798222572,89.0912137641539,151.75524595325533,124.75437702199261,19.297742472908425
462.0275727,39.98268157208789,46.58236314903017,-65.54976693316598,-47.1749604253228,112.41705955818821,56.777158867333085,72.40193935544764,111.70042310140401,42.365472114297404,143.72180866523425,92.44285559750713,-26.26005020047058,93.91080189125383,54.50441745974802,15.3379837496841
