Wavelength,BC_4 ATP_10^-3M_750_5_5_M_S3_I1,BC_4 ATP_10^-3M_750_5_5_M_S3_I2,BC_4 ATP_10^-3M_750_5_5_M_S3_I3,BC_4 ATP_10^-3M_750_5_5_M_S3_I4,BC_4 ATP_10^-3M_750_5_5_M_S3_I5
442.662846924002,270.4331851830949,326.69420548702413,340.09076403627,288.3500916711569,135.95294510414192
447.615212332628,66.51668343181029,76.62883464818321,206.95414336462167,37.31870535052253,129.71256748014392
452.560008402459,14.413755844492172,-48.39533035356552,71.96420630301805,40.70499144149292,109.32575235743647
457.497247699466,66.78180101253767,8.630954289952353,11.217326079738502,126.81684231051528,81.50718959049215
462.42694276741,35.43573295099408,-2.936642485326288,10.240045565716848,19.922526933286804,53.24176585465551
467.349106127996,17.541685307803718,14.146466246866046,15.613420849980308,12.693556246937096,29.86402844894286
472.263750281081,-4.11518724014897,29.64328475837275,4.893893823572078,10.492202949442504,13.93852896810371
477.170887704813,-68.20940113090916,-40.17899057002477,-1.7380829027948579,-113.55326243301838,5.171490127772742
482.070530855812,-8.380746363810296,-49.984345063373304,10.444614487735763,-78.46017981946999,1.4135525036281535
486.962692169351,100.61010027031985,9.40543584432499,18.40155458299779,34.56521560700912,0.1423891164399862
491.847384059509,46.0720004042757,38.54356486588931,1.4835628399920537,33.16069802493262,-0.248619154772598
496.724618919354,-56.939972492007115,-3.4198316025706657,-20.622528723153355,20.82840821600813,-0.23027993635892585
501.594409121106,9.351953106715378,-32.87120298804912,-24.592700963394066,37.026951598117435,0.12359591334349318
506.456767016303,155.6377953819684,56.036047402143126,-21.694795674893374,50.4656314827205,0.5516482104246023
511.311704935972,102.12729275833445,53.61443137927205,-24.262720998034084,-22.030398426767086,0.9281795091808362
516.159235190789,-64.9907095610879,-72.85810922039214,-13.580949190656014,-125.77438103012771,1.8206191256779505
520.999370071249,29.476626293062424,15.95799956511714,17.478474476880116,27.771981119190748,4.3486018593266635
525.832121847836,242.8128677107114,152.79185507073095,33.4358413124999,200.99002966717967,9.601645297836
530.657502771179,177.95516981665455,30.827361920297356,16.76703262717366,32.20609287264772,18.280025358631733
535.475525072219,18.079555310085457,-15.481268642318813,13.770251531215106,-46.42660450533312,30.441442883070863
540.286200962379,37.85205051181053,132.04359593482266,67.35336534905707,75.37472513467429,44.906503538205655
545.089542633712,146.9781382708955,157.2572811219302,139.52847708298856,28.067537523558354,59.15029268125144
549.885562259076,269.98728100081735,209.79521834280007,147.18640471800484,76.11362784190213,70.4558025558887
554.67427199229,222.7734902294018,267.6331654912046,67.33346218927889,155.34806641827748,77.62654356913549
559.455683968295,-45.0530930379924,-0.9714469972492239,-17.883475674886153,-88.41195660124998,81.59724233417163
564.229810303319,-50.045121348501944,-58.93550713354478,-10.280978793054647,-76.25644729170106,84.09107740975487
568.996663095024,207.8839382678459,281.0231702271883,76.24511314746735,233.60880648984423,85.55062439907618
573.756254422682,169.25021615135068,246.88432997379294,137.0305108924336,133.3316988388012,84.60461150529002
578.508596347321,-5.782572165237607,29.344078825159002,118.02748288098705,-48.629988360509024,79.43213587672442
583.253700911884,38.92152529226214,138.74618469293608,58.27996539882638,70.77280290284646,69.1753658376012
587.991580141394,54.17082974350054,153.4248803182098,12.267124653515967,99.09264733067238,54.27607094098734
592.722246043097,-2.668766425386707,3.8145368442949987,-0.47563465095860735,37.975803181948045,36.27957248425329
597.445710606635,48.181479322772084,35.18183201142125,7.296033500600432,60.656145352213514,17.723235056039044
602.161985804183,36.93201665023241,75.14784647204527,7.880148635799467,24.118610463171386,2.148015618053144
606.871083590626,-60.2500910539387,-45.90360958513294,-9.238747335603733,-51.217661207300736,-6.100387538230965
611.573015903688,-33.81549715880604,-129.95528619571823,-24.507502336622466,-59.04688507854195,-2.8104944221444583
616.267794664109,17.840405394378696,-57.910873302829586,-17.59773419944822,-20.92569205878156,14.606426088915924
620.955431775774,-38.642461341588366,-1.463616270865792,13.805935053360413,-5.418708313668773,45.675715912638125
