Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
597.4497067480988,1mM,0.001,529.0857948423952,529.0857948423952,0.0
601.3753934402472,1mM,0.001,579.94599700153,579.94599700153,0.0
605.3010801323954,1mM,0.001,689.9834314496788,689.9834314496788,0.0
609.2267668245437,1mM,0.001,700.3595565025058,700.3595565025058,0.0
613.152453516692,1mM,0.001,652.5610350862013,652.5610350862013,0.0
617.0781402088403,1mM,0.001,592.4851550022253,592.4851550022253,0.0
621.0038269009887,1mM,0.001,637.2115255332525,637.2115255332525,0.0
624.9295135931369,1mM,0.001,913.8023016868898,913.8023016868898,0.0
628.8552002852852,1mM,0.001,1245.2991197131485,1245.2991197131485,0.0
632.7808869774335,1mM,0.001,1621.4001168228147,1621.4001168228147,0.0
636.7065736695818,1mM,0.001,1979.20758317062,1979.20758317062,0.0
640.63226036173,1mM,0.001,2102.7870863582853,2102.7870863582853,0.0
644.5579470538784,1mM,0.001,1905.385418169277,1905.385418169277,0.0
648.4836337460266,1mM,0.001,1518.9144842255855,1518.9144842255855,0.0
652.409320438175,1mM,0.001,1064.6292635831014,1064.6292635831014,0.0
656.3350071303232,1mM,0.001,643.0665872099605,643.0665872099605,0.0
660.2606938224715,1mM,0.001,434.2109438043661,434.2109438043661,0.0
664.1863805146198,1mM,0.001,345.53067234164496,345.53067234164496,0.0
668.1120672067681,1mM,0.001,292.60702433754784,292.60702433754784,0.0
672.0377538989163,1mM,0.001,269.29396439424437,269.29396439424437,0.0
675.9634405910647,1mM,0.001,214.83933453589472,214.83933453589472,0.0
679.8891272832129,1mM,0.001,197.92539333306067,197.92539333306067,0.0
683.8148139753612,1mM,0.001,230.2517850481239,230.2517850481239,0.0
687.7405006675095,1mM,0.001,283.7701453397255,283.7701453397255,0.0
691.6661873596578,1mM,0.001,474.5319496361145,474.5319496361145,0.0
695.5918740518061,1mM,0.001,768.0054686384867,768.0054686384867,0.0
699.5175607439544,1mM,0.001,1064.834174978838,1064.834174978838,0.0
703.4432474361026,1mM,0.001,1383.5176657316233,1383.5176657316233,0.0
707.368934128251,1mM,0.001,1607.241084509984,1607.241084509984,0.0
711.2946208203992,1mM,0.001,1745.7676944503526,1745.7676944503526,0.0
715.2203075125475,1mM,0.001,1808.5222775395632,1808.5222775395632,0.0
719.1459942046959,1mM,0.001,1628.741828350053,1628.741828350053,0.0
723.0716808968441,1mM,0.001,1318.4076758800265,1318.4076758800265,0.0
726.9973675889925,1mM,0.001,976.747278291855,976.747278291855,0.0
730.9230542811407,1mM,0.001,689.0510676373026,689.0510676373026,0.0
734.848740973289,1mM,0.001,626.393467597441,626.393467597441,0.0
738.7744276654373,1mM,0.001,658.8703250293565,658.8703250293565,0.0
742.7001143575856,1mM,0.001,707.4537897012902,707.4537897012902,0.0
746.6258010497338,1mM,0.001,684.1527051551845,684.1527051551845,0.0
750.5514877418822,1mM,0.001,495.75291798392533,495.75291798392533,0.0
754.4771744340304,1mM,0.001,340.7324333696054,340.7324333696054,0.0
758.4028611261788,1mM,0.001,151.9528285322909,151.9528285322909,0.0
762.328547818327,1mM,0.001,53.93888950277438,53.93888950277438,0.0
766.2542345104753,1mM,0.001,105.12401971113223,105.12401971113223,0.0
770.1799212026236,1mM,0.001,58.86131402849901,58.86131402849901,0.0
774.1056078947719,1mM,0.001,109.51586038369582,109.51586038369582,0.0
778.0312945869201,1mM,0.001,104.35227671313534,104.35227671313534,0.0
781.9569812790685,1mM,0.001,50.759394863023836,50.759394863023836,0.0
785.8826679712167,1mM,0.001,117.68984219118828,117.68984219118828,0.0
789.808354663365,1mM,0.001,267.9606356148889,267.9606356148889,0.0
793.7340413555133,1mM,0.001,497.9660623681239,497.9660623681239,0.0
797.6597280476616,1mM,0.001,787.9855873222291,787.9855873222291,0.0
801.58541473981,1mM,0.001,1213.0674544377055,1213.0674544377055,0.0
805.5111014319582,1mM,0.001,1532.2083895850583,1532.2083895850583,0.0
809.4367881241064,1mM,0.001,1718.9568838622984,1718.9568838622984,0.0
813.3624748162548,1mM,0.001,1778.4132559009026,1778.4132559009026,0.0
817.288161508403,1mM,0.001,1686.1357528541266,1686.1357528541266,0.0
821.2138482005513,1mM,0.001,1514.9850196360153,1514.9850196360153,0.0
825.1395348926997,1mM,0.001,1257.5995178426972,1257.5995178426972,0.0
829.0652215848479,1mM,0.001,946.127744353532,946.127744353532,0.0
832.9909082769963,1mM,0.001,673.692440975147,673.692440975147,0.0
836.9165949691445,1mM,0.001,492.1397068236633,492.1397068236633,0.0
840.8422816612928,1mM,0.001,321.9629242693846,321.9629242693846,0.0
844.7679683534411,1mM,0.001,250.46932248507434,250.46932248507434,0.0
848.6936550455894,1mM,0.001,238.17766041974397,238.17766041974397,0.0
852.6193417377376,1mM,0.001,235.64644491138094,235.64644491138094,0.0
856.545028429886,1mM,0.001,192.21353953604344,192.21353953604344,0.0
860.4707151220342,1mM,0.001,192.03417449363562,192.03417449363562,0.0
864.3964018141826,1mM,0.001,294.40859191839786,294.40859191839786,0.0
868.3220885063308,1mM,0.001,358.8486892964505,358.8486892964505,0.0
872.2477751984791,1mM,0.001,407.9558688566183,407.9558688566183,0.0
876.1734618906274,1mM,0.001,369.6521503069813,369.6521503069813,0.0
880.0991485827757,1mM,0.001,373.2277108483109,373.2277108483109,0.0
884.0248352749239,1mM,0.001,331.0090885030546,331.0090885030546,0.0
887.9505219670723,1mM,0.001,179.1101058368369,179.1101058368369,0.0
891.8762086592205,1mM,0.001,140.30323797691094,140.30323797691094,0.0
895.8018953513689,1mM,0.001,166.20373828720366,166.20373828720366,0.0
899.7275820435171,1mM,0.001,298.97818597177087,298.97818597177087,0.0
903.6532687356654,1mM,0.001,508.6233388744948,508.6233388744948,0.0
907.5789554278138,1mM,0.001,767.3813293940548,767.3813293940548,0.0
911.504642119962,1mM,0.001,987.4157729980759,987.4157729980759,0.0
915.4303288121102,1mM,0.001,1188.8456463960165,1188.8456463960165,0.0
919.3560155042586,1mM,0.001,1349.578682248385,1349.578682248385,0.0
