file,type,concentration_M,concentration_label,replicate,accumulation,peak_392.32_height,peak_1078.5_height,peak_1589.62_height
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep3_acc3.csv,sample,1e-13,100fM,3,3,2517.991234390034,2516.564550712803,1783.8475873913767
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep3_acc4.csv,sample,1e-13,100fM,3,4,2315.184710726072,2396.0509163584984,1484.5903258935225
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_100fM_rep3_acc5.csv,sample,1e-13,100fM,3,5,2860.953222988716,2589.130858341723,1489.0842520643444
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep1_acc1.csv,sample,1e-14,10fM,1,1,1972.5454288771639,2000.3075086775978,2358.4813213258976
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep1_acc2.csv,sample,1e-14,10fM,1,2,1078.479775119857,2198.093047545755,1895.343412480354
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep1_acc3.csv,sample,1e-14,10fM,1,3,2351.6055597492186,1645.9119466962616,1920.1324106066515
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep1_acc4.csv,sample,1e-14,10fM,1,4,2627.1064024087314,1576.4771477698303,1995.2539683471764
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep1_acc5.csv,sample,1e-14,10fM,1,5,2656.905615699322,1975.4915927689162,1985.9509246066095
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep2_acc1.csv,sample,1e-14,10fM,2,1,7384.164097691635,5665.452293695127,2590.684152375721
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep2_acc2.csv,sample,1e-14,10fM,2,2,6487.6977342005775,5193.299602331192,2500.5337754553884
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep2_acc3.csv,sample,1e-14,10fM,2,3,6006.520521073551,4987.869139384208,2270.316904931324
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep2_acc4.csv,sample,1e-14,10fM,2,4,5683.241264945623,4612.906314348902,2226.6070636739505
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep2_acc5.csv,sample,1e-14,10fM,2,5,5569.7815199849465,4341.9602948495285,2281.1082429062735
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep3_acc1.csv,sample,1e-14,10fM,3,1,3165.5274283099293,2551.061497065164,1620.8422842544942
