type,concentration_M,concentration_label,replicate,peak_392.32_height_mean,peak_392.32_height_std,peak_392.32_height_count,peak_1078.5_height_mean,peak_1078.5_height_std,peak_1078.5_height_count,peak_1589.62_height_mean,peak_1589.62_height_std,peak_1589.62_height_count
sample,1e-06,1µM,1,5755.659565965419,440.5755081710762,5,7065.079851478299,644.3435448466503,5,2589.642723072627,131.6067466942483,5
sample,1e-06,1µM,2,4414.511262335252,120.32455557441898,5,3363.030331666737,253.64183274928163,5,1800.7547026367806,106.59416428262219,5
sample,1e-06,1µM,3,8690.540509738117,299.2973304094985,5,7532.986205120431,539.4601266907893,5,3344.362157340245,168.4598670380201,5
sample,1e-05,10µM,1,546.8475022365666,328.69097484603054,5,4207.01416865186,2933.958486407194,5,11415.836080975132,2367.177134436912,5
sample,1e-05,10µM,2,9802.404240711989,63.17615909973932,5,28647.220750727363,661.9788678295333,5,11070.03114259355,309.5051640580779,5
sample,1e-05,10µM,3,24172.972071853423,565.4011078063785,5,20781.215961086622,1443.5593300702,5,9746.587574905678,422.2674531027805,5
sample,0.0001,100µM,1,11704.397133767425,354.6600248567966,5,22311.194234766408,736.048268957178,5,8772.900365935731,512.6835350681275,5
sample,0.0001,100µM,2,14147.237789674691,1063.373963414728,5,14843.775067941871,1196.5695045825842,5,6412.3899519313745,594.3264571993541,5
sample,0.0001,100µM,3,517.5765059330186,45.89362226178561,5,2549.3192753305984,278.25179663461853,5,13923.207302506144,577.1171759130216,5
sample,0.001,1mM,1,567.5000531084916,119.86027093459776,5,2516.756609852269,135.95926637099583,5,14475.742310396477,269.65578806169736,5
sample,0.001,1mM,2,7662.552913008537,1530.96745093757,5,21557.672876565666,700.9765658358957,5,20740.156197152508,1365.54910860915,5
sample,0.001,1mM,3,12892.055106161664,1049.2967808737271,5,26076.135843698212,1359.7621838237667,5,19993.74243890252,329.9961307382907,5
