#Wave,#Intensity2
883.3966904,36732
884.4340409,36809
885.4712069,36807
886.5081885,36579
887.5449858,36693
888.5815987,36592
889.6180273,36525
890.6542717,36571
891.6903319,36685
892.7262079,36969
893.7618999,36839
894.7974077,37112
895.8327316,36364
896.8678715,36875
897.9028274,37192
898.9375994,37255
899.9721876,37657
901.006592,37430
902.0408126,37137
903.0748495,37391
904.1087028,37829
905.1423724,37632
906.1758584,37177
907.2091608,37384
908.2422798,37385
909.2752153,37329
910.3079674,37166
911.3405361,37244
912.3729215,37314
913.4051236,37210
914.4371424,37065
915.4689781,36982
916.5006306,37397
917.5321,37031
918.5633863,36762
919.5944896,36753
920.6254099,36875
921.6561473,36823
922.6867017,36652
923.7170733,36557
924.7472621,36174
925.7772682,36113
926.8070915,36210
927.8367321,36390
928.8661901,36009
929.8954654,35978
930.9245583,35446
931.9534686,35639
932.9821964,35197
934.0107419,35901
935.0391049,35138
936.0672856,35137
937.095284,35190
938.1231002,34988
939.1507341,35124
940.1781859,34925
941.2054555,34716
942.2325431,34602
943.2594486,34592
944.2861722,34563
945.3127137,34768
946.3390734,34804
947.3652512,34806
948.3912472,34414
949.4170614,34829
950.4426938,34710
951.4681446,35001
952.4934137,35008
953.5185012,34957
954.5434071,34785
955.5681315,34805
956.5926744,35330
957.6170358,35192
958.6412159,35148
959.6652146,35053
960.689032,35079
961.7126681,34907
962.736123,35051
963.7593967,35113
964.7824893,35080
965.8054007,35053
966.8281311,34786
967.8506805,34982
968.8730489,35043
969.8952364,35121
970.917243,35041
971.9390687,34795
972.9607137,34587
973.9821778,34855
975.0034613,35045
976.0245641,34973
977.0454862,35001
978.0662278,34782
979.0867888,35192
980.1071693,35333
981.1273693,35145
982.1473889,34994
983.1672281,34909
984.186887,34936
985.2063656,34855
986.2256639,35053
987.244782,35025
988.26372,35085
989.2824778,34703
990.3010555,34691
991.3194532,34782
992.3376709,34871
993.3557086,35067
994.3735665,34925
995.3912444,34389
996.4087425,34471
997.4260608,34385
998.4431994,34632
999.4601582,34697
1000.476937,34346
1001.493537,34174
1002.509957,34270
1003.526197,34558
1004.542258,34383
1005.55814,34725
1006.573842,34466
1007.589365,34200
1008.604708,34472
1009.619872,34412
1010.634857,34473
1011.649663,34716
1012.664289,34280
1013.678737,33965
1014.693005,34260
1015.707094,34183
1016.721004,34395
1017.734736,33991
1018.748288,34093
1019.761662,33865
1020.774856,34083
1021.787872,34265
1022.800709,34265
1023.813368,33955
1024.825848,34101
1025.838149,34582
1026.850271,34111
1027.862216,34411
1028.873981,34194
1029.885568,34501
1030.896977,34142
1031.908207,34159
1032.919259,34593
1033.930133,34797
