#Wave,#Intensity
1916.08038162367,9331
1915.22098236647,9408
1914.36143877836,9473
1913.50175082833,9569
1912.64191848538,9566
1911.78194171848,9395
1910.9218204966,9374
1910.06155478871,9378
1909.20114456375,9546
1908.34058979067,9516
1907.4798904384,9594
1906.61904647587,9504
1905.75805787198,9433
1904.89692459565,9527
1904.03564661577,9502
1903.17422390122,9515
1902.31265642088,9654
1901.45094414362,9582
1900.5890870383,9622
1899.72708507376,9570
1898.86493821884,9496
1898.00264644238,9638
1897.14020971319,9715
1896.27762800009,9643
1895.41490127188,9605
1894.55202949734,9648
1893.68901264527,9637
1892.82585068443,9589
1891.96254358359,9621
1891.0990913115,9750
1890.23549383691,9664
1889.37175112855,9718
1888.50786315516,9778
1887.64382988544,9615
1886.77965128811,9677
1885.91532733186,9650
1885.05085798538,9873
1884.18624321734,9699
1883.32148299643,9684
1882.4565772913,9690
1881.5915260706,9631
1880.72632930297,9737
1879.86098695704,9733
1878.99549900144,9847
1878.12986540477,9724
1877.26408613565,9677
1876.39816116266,9764
1875.5320904544,9662
1874.66587397942,9790
1873.79951170631,9761
1872.93300360362,9808
1872.06634963988,9818
1871.19954978365,9834
1870.33260400344,9801
1869.46551226778,9819
1868.59827454517,9769
1867.73089080412,9842
1866.8633610131,9825
1865.99568514061,9847
1865.12786315511,9824
1864.25989502506,9790
1863.39178071891,9724
1862.52352020511,9898
1861.65511345209,9753
1860.78656042827,9817
1859.91786110207,9853
1859.04901544188,9792
1858.1800234161,9568
1857.31088499312,9802
1856.44160014131,9813
1855.57216882904,9962
1854.70259102465,9793
1853.83286669651,9924
1852.96299581294,9757
1852.09297834227,9673
1851.22281425283,9810
1850.35250351291,9844
1849.48204609082,9808
1848.61144195484,9842
1847.74069107326,9931
1846.86979341434,9819
1845.99874894634,9778
1845.12755763752,9800
1844.25621945611,9938
1843.38473437035,9945
1842.51310234845,9862
1841.64132335864,9778
1840.76939736911,9756
1839.89732434805,9751
1839.02510426364,9819
1838.15273708407,10022
1837.2802227775,9939
1836.40756131207,10054
1835.53475265593,9839
1834.66179677723,9845
1833.78869364407,9846
1832.91544322459,9868
1832.04204548688,9987
1831.16850039904,9880
1830.29480792916,9847
1829.42096804532,9872
1828.54698071557,9814
1827.67284590798,9911
1826.79856359061,9849
1825.92413373147,10013
1825.04955629861,9935
1824.17483126005,9935
1823.29995858378,9835
1822.42493823782,9803
1821.54977019015,9865
1820.67445440874,10001
1819.79899086158,9995
1818.92337951662,9866
1818.04762034182,10002
1817.17171330511,9906
1816.29565837442,9880
1815.41945551768,9986
1814.5431047028,9963
1813.66660589768,9991
1812.78995907022,9986
1811.91316418829,10001
1811.03622121978,9958
1810.15913013253,9954
1809.28189089441,10028
1808.40450347327,10048
1807.52696783692,10142
1806.64928395321,9877
1805.77145178994,9992
1804.89347131492,9901
1804.01534249594,10119
1803.13706530079,10109
1802.25863969724,10056
1801.38006565306,10116
1800.501343136,10198
1799.62247211382,9941
1798.74345255425,10043
1797.86428442501,10151
1796.98496769382,10073
1796.10550232839,10084
1795.22588829641,10057
1794.34612556557,10137
1793.46621410356,10068
1792.58615387802,10093
1791.70594485664,10186
1790.82558700705,10120
1789.94508029688,10131
1789.06442469378,10206
1788.18362016535,10242
1787.30266667921,10130
1786.42156420296,10226
1785.54031270417,10282
1784.65891215045,10312
1783.77736250934,10385
1782.89566374841,10142
1782.01381583522,10279
1781.13181873729,10299
1780.24967242217,10199
1779.36737685736,10241
1778.48493201039,10428
1777.60233784874,10377
1776.71959433992,10331
1775.83670145139,10249
1774.95365915064,10341
1774.07046740512,10371
1773.18712618228,10537
1772.30363544956,10393
1771.4199951744,10450
1770.53620532421,10408
1769.65226586641,10295
1768.76817676839,10339
1767.88393799755,10487
1766.99954952127,10413
1766.11501130693,10425
1765.23032332187,10394
1764.34548553346,10404
1763.46049790903,10351
1762.57536041591,10542
1761.69007302144,10584
1760.80463569292,10378
1759.91904839764,10523
1759.03331110291,10464
1758.147423776,10499
1757.26138638419,10446
1756.37519889474,10580
1755.4888612749,10547
1754.60237349191,10533
1753.71573551301,10544
1752.82894730541,10560
1751.94200883633,10593
1751.05492007297,10484
1750.16768098251,10628
